题号,问题,选项A,选项B,选项C,正确答案
1,巴洛克晚期较为重要的键盘乐器是？创作中心在哪国？,管风琴，德国,羽管键琴，意大利,古钢琴，法国,A
2,巴洛克时期管风琴最重要的体裁是？,托卡塔,前奏曲,赋格曲,A
3,巴洛克时期托卡塔这一体裁最具代表性的作曲家是？,布克斯特胡德,巴赫,弗雷斯科巴尔迪,A
4,巴洛克时期的三四个声部的复调音乐体裁是？,赋格曲,奏鸣曲,组曲,A
5,巴洛克时期的托卡塔、前奏曲的模仿部分发展出了什么？,赋格曲,协奏曲,变奏曲,A
6,巴洛克时期一种重要的器乐体裁，三或四声部的复调作品指的是？,赋格曲,托卡塔,前奏曲,A
7,众赞歌的体裁都有哪些？,管风琴众赞歌、众赞经文歌、众赞变奏曲、众赞幻想曲、众赞前奏曲,独唱众赞歌、合唱众赞歌、众赞咏叹调,管风琴众赞歌、协奏曲众赞歌、奏鸣曲众赞歌,A
8,古钢琴都有哪两种？,楔槌键琴（击弦）、羽管键琴（拨弦）,钢琴、弦琴,竖琴、小型键琴,A
9,巴洛克时期最常用的古钢琴是哪种？,羽管键琴（拨弦古钢琴）,楔槌键琴（击弦古钢琴）,小型键琴,A
10,古钢琴在17世纪末和18世纪初的主要体裁有？,组曲、主题与变奏,协奏曲、交响曲,奏鸣曲、幻想曲,A
11,巴洛克键盘音乐中的组曲由哪四种风格化的舞曲构成？,阿拉曼德、萨拉班德、吉格、库朗特,小步舞曲、加伏特、布列舞曲、波兰舞曲,弗拉门戈、华尔兹、探戈、爵士,A
12,阿拉曼德舞曲是什么速度？,中速,快速,慢速,A
13,阿拉曼德舞曲是什么拍子？,两拍子,三拍子,四拍子,A
14,阿拉曼德舞曲是属于哪国？,德国,法国,意大利,A
15,萨拉班德舞曲是哪国的？,墨西哥·西班牙,法国,德国,A
16,萨拉班德舞曲是什么速度？,慢速,中速,快速,A
17,萨拉班德舞曲是几拍子的舞曲？,三拍子,两拍子,四拍子,A
18,吉格舞曲是哪国的？,英国,法国,意大利,A
19,吉格舞曲是什么速度？,快速,中速,慢速,A
20,吉格舞曲通常是什么拍子？,12/8或者6/8,3/4,4/4,A
21,库朗特舞曲是什么速度？,中速,慢速,快速,A
22,库朗特舞曲是几拍子？,三拍子,两拍子,四拍子,A
23,库朗特舞曲是属于哪国的？,法国,德国,意大利,A
24,巴洛克时期，中速两拍子德国古钢琴舞曲是指？,阿拉曼德舞曲,萨拉班德舞曲,吉格舞曲,A
25,巴洛克时期，慢速三拍子的古钢琴舞曲指的是？,萨拉班德舞曲,库朗特舞曲,阿拉曼德舞曲,A
26,巴洛克时期，英国古钢琴舞曲是？,吉格舞曲,萨拉班德舞曲,阿拉曼德舞曲,A
27,巴洛克时期，中速三拍子的法国古钢琴舞曲是？,库朗特舞曲,阿拉曼德舞曲,萨拉班德舞曲,A
28,古钢琴体裁的组曲是由谁创立的核心的结构？,弗罗贝格,库普兰,巴赫,A
29,哪位作曲家把法国的风格带到德国，确立了组曲的标准乐章？,德国·弗罗贝格,法国·库普兰,意大利·斯卡拉蒂,A
30,巴洛克组曲中的每首舞曲一般用同种调性，其曲式结构是？,二部曲式,三部曲式,奏鸣曲式,A
31,巴洛克时期的帕萨卡利亚、恰空，以什么为基础进行变奏？,固定低音,固定旋律,固定和声进行,A
32,巴洛克古钢琴组曲重要的作曲家是？哪个国家？,法国库普兰,德国巴赫,意大利斯卡拉蒂,A
33,库普兰的重要的创作是？,四卷羽管键琴组曲,六首勃兰登堡协奏曲,四季小提琴协奏曲,A
34,库普兰的四卷羽管键琴组曲的特点有？,奇怪的标题、旋律大量装饰音、宫廷贵族气息,严谨的复调结构、严肃的宗教风格、古板的结构,民间舞曲风格、简洁的旋律、通俗易懂,A
35,由法国库普兰撰写的古钢琴组曲文献是？,《羽管键琴的演奏艺术》,《巴洛克音乐理论》,《和声学》,A
36,在巴洛克时期，第一位创作不同于组曲的键盘独奏奏鸣曲的是谁？,德国的约翰·库瑙,意大利的斯卡拉蒂,法国的库普兰,A
37,巴洛克时期，德国作曲家约翰·库瑙所创作的不同于组曲的器乐体裁是？,键盘独奏奏鸣曲,协奏曲,变奏曲,A
38,巴洛克时期的奏鸣曲分为？,功能分类（教堂/室内）和织体分类（独奏/三重）,速度分类（快/慢）和调性分类（大调/小调）,地区分类（意大利式/德国式）和形式分类（单乐章/多乐章）,A
39,巴洛克的教堂奏鸣曲通常有几个乐章？速度布局是怎样的？,四个乐章，慢快慢快,三个乐章，快慢快,两个乐章，快慢,A
40,巴洛克教堂奏鸣曲的第二乐章常用什么手法？,赋格式的模仿手法,咏叹调式的抒情手法,舞曲式的节奏手法,A
41,巴洛克的室内奏鸣曲是？,舞曲构成的组曲,复调构成的奏鸣曲,单乐章结构的奏鸣曲,A
42,在巴洛克时期，由舞曲构成的组曲是指？,室内奏鸣曲,教堂奏鸣曲,独奏奏鸣曲,A
43,巴洛克的三重奏鸣曲所使用的乐器有？,两个高音乐器和通奏低音乐器,三个相同的乐器,一个独奏乐器和小型乐队,A
44,为两个高音乐器和通奏低音乐器而作的巴洛克奏鸣曲是？,三重奏鸣曲,独奏奏鸣曲,大协奏曲,A
45,巴洛克的独奏奏鸣曲所使用的乐器有？,独奏乐器（常为小提琴）和通奏低音乐器,两个高音乐器和通奏低音乐器,独奏乐器和弦乐队,A
46,巴洛克时期的博洛尼亚乐派代表人物是？,科雷利,维瓦尔第,泰勒曼,A
47,巴洛克时期受瑞典女王克里斯蒂娜保护的作曲家是？,科雷利,维瓦尔第,亨德尔,A
48,巴洛克时期的科雷利的第一位保护人是？,瑞典女王克里斯蒂娜,罗马教皇,法国路易十四,A
49,第一位用大小调体系创作的作曲家是？,科雷利,巴赫,亨德尔,A
50,巴洛克时期的协奏曲分为？,大协奏曲和独奏协奏曲,三重协奏曲和双协奏曲,教堂协奏曲和室内协奏曲,A
51,巴洛克时期，由一个独奏者小组和一个弦乐队组成的协奏曲是？,大协奏曲,独奏协奏曲,三重协奏曲,A
52,巴洛克时期，由一个单独的独奏者和乐队组成的协奏曲是？,独奏协奏曲,大协奏曲,三重协奏曲,A
53,巴洛克协奏曲最后的形式也是影响最深远的形式是？,独奏协奏曲,大协奏曲,交响协奏曲,A
54,巴洛克晚期的哪两位作曲家将大协奏曲推向高峰？,巴赫和亨德尔,维瓦尔第和科雷利,泰勒曼和库普兰,A
55,最早写独奏协奏曲的是？,托雷利,科雷利,维瓦尔第,A
56,最早写独奏协奏曲的托雷利是哪国作曲家？,意大利,德国,法国,A
57,巴洛克晚期的独奏协奏曲有何特点？,三个乐章（快慢快）、首尾乐章用回归曲式,四个乐章（慢快慢快）、末乐章用变奏曲式,两个乐章（快慢）、首乐章用奏鸣曲式,A
58,巴洛克独奏协奏曲代表人物是？代表作品是？,维瓦尔第，《四季》,科雷利，《合奏协奏曲》,巴赫，《勃兰登堡协奏曲》,A
59,维瓦尔弟创作的协奏曲共有多少首？,500多首,200多首,100多首,A
60,西方音乐史上被誉为红发神父的是？,维瓦尔第,亨德尔,巴赫,A
61,维瓦尔第是哪个城市的人？,威尼斯,罗马,佛罗伦萨,A
62,维瓦尔弟创作的协奏曲有何特点？,三个乐章（快慢快）、首尾乐章用回归曲式、慢乐章有咏叹调的旋律,四个乐章、自由即兴风格、强调乐器间的对话,两个乐章、复杂的复调结构、注重宗教色彩,A
63,巴洛克音乐的典型织体被称为什么？,通奏低音,复调音乐,和声复调,A
64,巴洛克典型的织体是？,通奏低音,严格的赋格,清唱剧式织体,A
65,西方音乐史上大小调体系的调性和声开始成熟的时期是？,17世纪下半叶,16世纪初期,18世纪中期,A
66,第一部音乐理论著作《和声学》的作者是？是在哪年出版的？,拉莫，1722年,巴赫，1750年,亨德尔，1730年,A
67,1722年，法国作曲家理论家拉莫出版了他的哪部音乐理论著作？,《和声学》,《音乐的奉献》,《键盘演奏法》,A
68,哪部著作首次总结近代功能和声基础理论？是谁在哪年出版的？,1722年拉莫《和声学》,1750年巴赫《赋格的艺术》,1725年维瓦尔第《四季理论》,A
69,歌剧《双子星座》的作者是？,拉莫,亨德尔,维瓦尔第,A 
