题号,问题,选项A,选项B,选项C,正确答案
1,舒曼曾被聘为哪个学校的教授？,莱比锡音乐学院,柏林音乐学院,维也纳音乐学院,A
2,西方音乐历史中，哪位作曲家因练习不当，失去了当钢琴家的机会？,舒曼,李斯特,肖邦,A
3,舒曼创办的音乐杂志是名字？,《新音乐杂志》,《音乐评论》,《艺术与审美》,A
4,在《新音乐杂志中》积极推荐和维护了哪两位作曲家？,肖邦、勃拉姆斯,莫扎特、贝多芬,舒伯特、瓦格纳,A
5,在《新音乐杂志》中，舒曼假想了一个艺术团体组织，在文章中各抒己见。这个艺术团体是？,大卫同盟,浪漫主义协会,音乐进步社,A
6,大卫同盟的核心人物有哪些？,尤塞比乌斯（敏感）、弗洛列斯坦（冲动）、拉罗大师（成熟理性）,莫扎特（天才）、贝多芬（力量）、巴赫（精确）,肖邦（诗意）、李斯特（激情）、瓦格纳（戏剧）,A
7,1840年，舒曼和谁结婚了？,他老师维克的女儿克拉拉,一位歌剧女演员,一位贵族家庭的女儿,A
8,克拉拉·舒曼的身份是？,钢琴家,歌剧演员,小提琴演奏家,A
9,克拉拉·舒曼在音乐方面的造诣有？,她是一位钢琴家、舒曼死后为舒曼宣传其音乐作品及思想,她是一位作曲家、创作了多部交响曲,她是一位音乐理论家、出版了多部教学著作,A
10,克拉拉·舒曼是一位杰出的什么乐器演奏家？,钢琴家,小提琴家,大提琴家,A
11,舒曼创作歌曲的高峰期是什么时候？,1840年，舒曼与克拉拉结婚年，也是他的歌曲年,1830年，他创办《新音乐杂志》的年份,1850年，他担任杜塞尔多夫乐团指挥的时期,A
12,舒曼的两部著名的声乐套曲是？,《妇女的爱情生活》、《诗人之恋》,《冬之旅》、《美丽的磨坊女》,《四首严肃的歌》、《摇篮曲》,A
13,艺术歌曲《两个禁卫兵》的作者是？,舒曼,舒伯特,勃拉姆斯,A
14,艺术歌曲《月夜》的作者是？,舒曼,舒伯特,勃拉姆斯,A
15,舒曼的著名交响乐作品是？,《第一交响曲》（春天）,《第二交响曲》（悲怆）,《第三交响曲》（英雄）,A
16,舒曼题献给肖邦的一部钢琴套曲是？,《克莱斯勒偶记》,《狂欢节》,《童年情景》,A
17,《克莱斯勒偶记》是哪位作曲家的什么体裁的作品？,舒曼的钢琴套曲,勃拉姆斯的交响曲,舒伯特的声乐套曲,A
18,《童年情景》是哪位作曲家的什么体裁的什么作品？,舒曼的钢琴套曲,勃拉姆斯的交响曲,舒伯特的声乐套曲,A
19,舒曼的钢琴套曲著名的有哪些？,《狂欢节》《童年情景》《蝴蝶》,《幻想曲》《即兴曲》《练习曲》,《船歌》《夜曲》《前奏曲》,A
20,浪漫主义高峰时期的一位古典作曲家是指哪位作曲家？,勃拉姆斯,舒曼,肖邦,A
21,勃拉姆斯的创作中不涉及什么作品，写的比较多的是？,不写歌剧，不写标题音乐；古典交响乐写的比较多,不写钢琴协奏曲，不写艺术歌曲；室内乐写的比较多,不写管弦乐，不写声乐套曲；钢琴曲写的比较多,A
22,没有写过歌剧的著名作曲家有？,巴赫、勃拉姆斯,莫扎特、威尔第,柏辽兹、瓦格纳,A
23,勃拉姆斯出生于？,德国·汉堡,奥地利·维也纳,匈牙利·布达佩斯,A
24,勃拉姆斯第一部交响曲创作用了多少年？,20多年,5年,10年,A
25,哪位作曲家的作品忠于古典精神但又充满浪漫主义气息？,勃拉姆斯,舒曼,瓦格纳,A
26,在浪漫主义作曲家中，性格深沉含蓄，具有抒情内省气质的是？,勃拉姆斯,舒曼,李斯特,A
27,舒曼与勃拉姆斯是什么关系？,师生关系,亲戚关系,竞争对手关系,A
28,克拉拉·舒曼与勃拉姆斯是什么关系？,舒曼去世后，他俩保持了亲密的友谊,他们是表兄妹关系,他们曾经是音乐竞争对手,A
29,舒曼在《新音乐杂志》哪一篇论文中赞赏了勃拉姆斯？,《新的道路》,《德国音乐的未来》,《古典与现代》,A
30,勃拉姆斯用近20年创作的一部交响曲是？,《第一交响曲》,《第四交响曲》,《德意志安魂曲》,A
31,勃拉姆斯共多少部交响曲？,4部,9部,6部,A
32,勃拉姆斯的第四部交响曲中，末乐章采用了什么体裁？,帕萨卡利亚形式的大变奏曲,奏鸣曲式,回旋曲式,A
33,勃拉姆斯的声乐作品《德意志安魂曲》的歌词来自于哪？,马丁·路德翻译的德文《圣经》,歌德的诗歌,中世纪的宗教文本,A
34,勃拉姆斯著名的声乐作品是？,《德意志安魂曲》,《冬之旅》,《诗人之恋》,A
35,勃拉姆斯著名的一首艺术歌曲是？,《摇篮曲》,《魔王》,《月夜》,A
36,《徒然的小夜曲》的作者是？,勃拉姆斯,舒曼,舒伯特,A
37,《四首严肃的歌》是谁的代表作？,勃拉姆斯,舒曼,舒伯特,A 
