题号,问题,选项A,选项B,选项C,正确答案
1,浪漫主义时期德国歌剧的代表人物有？,韦伯、瓦格纳,斯特劳斯、马勒,舒伯特、勃拉姆斯,A
2,代表着德国浪漫主义歌剧的开端是哪部作品？,《魔弹射手》,《唐豪森》,《帕西法尔》,A
3,德国歌剧《魔弹射手》的特点有？,德国民族的特点、采用神话故事、德国旋律,意大利曲式结构、历史题材、法国和声,俄国民间故事、现实主义手法、东欧风格,A
4,德国歌剧《魔弹射手》序曲的开始处使用什么来描绘德国的黑森林？,四支圆号,小提琴独奏,钢琴伴奏,A
5,德国歌剧《魔弹射手》用什么表现魔鬼？,小号、长号、单簧管、圆号的减音程和半音和声,弦乐组的颤音和竖琴的琶音,木管乐器的高音和定音鼓的连奏,A
6,德国歌剧《魔弹射手》序曲是什么曲式？,奏鸣曲式,回旋曲式,变奏曲式,A
7,韦伯有一部著名的钢琴作品是？,《邀舞》,《月光》,《春之声》,A
8,在音乐史上最有影响、最有争议的音乐家是？,瓦格纳,贝多芬,斯特拉文斯基,A
9,瓦格纳出生于哪儿？,德国·莱比锡,奥地利·维也纳,匈牙利·布达佩斯,A
10,瓦格纳第一部成熟的歌剧是？,《漂泊的荷兰人》,《魔弹射手》,《唐·璜》,A
11,瓦格纳最后两部重要的德国浪漫主义歌剧是？,《唐豪森》《罗恩格林》,《特里斯坦与伊索尔德》《帕西法尔》,《莱茵的黄金》《女武神》,A
12,瓦格纳1849年参与了什么起义，失败后遭到通缉被迫流亡？,德累斯顿起义,柏林革命,维也纳抗议,A
13,瓦格纳从哪一部作品后，开始把他的作品称为乐剧？,《罗恩格林》,《特里斯坦与伊索尔德》,《尼伯龙根的指环》,A
14,瓦格纳《尼伯龙根的指环》包括？,《莱茵的黄金》《女武神》《齐格弗里德》《诸神的黄昏》,《唐豪森》《罗恩格林》《特里斯坦与伊索尔德》《帕西法尔》,《漂泊的荷兰人》《纽伦堡的民歌手》《罗恩格林》《女武神》,A
15,瓦格纳的《尼伯龙根的指环》的故事背景是？,中世纪北欧神话传说,古希腊悲剧,中世纪骑士传说,A
16,瓦格纳认为他的乐剧是？,综合的艺术品,纯音乐表现,民族主义象征,A
17,瓦格纳的《特里斯坦与伊索尔德》渗透了什么哲学思想？,叔本华的悲观主义哲学思想,黑格尔的辩证法思想,康德的先验唯心主义思想,A
18,瓦格纳1864年得到赦免回国，是得到了谁的支持与保护？,巴伐利亚的路德维希二世,普鲁士的威廉一世,奥地利的弗兰茨·约瑟夫一世,A
19,瓦格纳在哪儿建造了自己的剧院？,拜罗伊特,慕尼黑,柏林,A
20,瓦格纳最后一部乐剧是？,《帕西法尔》,《特里斯坦与伊索尔德》,《诸神的黄昏》,A
21,瓦格纳在他最后一部乐剧《帕西法尔》中体现了什么？,返回了基督教的神秘主义,延续了北欧神话的传统,完成了政治寓言的表达,A
22,瓦格纳的乐剧特征有？,北欧神话为基础、综合艺术、打破意大利歌剧分曲结构、主导动机、无终旋律、半音和声、配器大师,意大利咏叹调为核心、单一艺术形式、保留传统歌剧结构、单一主题、古典和声、简洁配器,古典神话题材、强调声乐技巧、独立唱段、无导动机、固定节奏、传统和声、轻型管弦乐,A
23,主导动机是哪位作曲家的作曲技法？,瓦格纳,莫扎特,威尔第,A
24,瓦格纳在拜罗伊特完成了什么作品？,《纽伦堡的民歌手》,《特里斯坦与伊索尔德》,《莱茵的黄金》,A
25,瓦格纳的在流亡期间创作了什么作品？,乐剧《特里斯坦与伊索尔德》,《尼伯龙根的指环》全部,《帕西法尔》,A
26,瓦格纳第一部乐剧是？,《特里斯坦与伊索尔德》,《女武神》,《罗恩格林》,A 
