题号,问题,选项A,选项B,选项C,正确答案
1,移风易俗，莫善于乐是我国古代哪位思想家的音乐思想？,孔子,老子,墨子,A
2,尽善尽美是我国古代哪位思想家的言论？,孔子,孟子,荀子,A
3,我国古代哪位思想家强调音乐的社会，肯定音乐对于建立正常秩序、改造社会风气的作用？,孔子,庄子,墨子,A
4,王与民同乐是我国古代哪位思想家的音乐思想？,孟子,孔子,荀子,A
5,我国古代哪位思想家在音乐方面强调人民的重要性？,孟子,老子,管子,A
6,仁言不如仁声之入人深也是我国古代哪位思想家的思想？,孟子,墨子,庄子,A
7,谁反对墨子非乐的音乐思想，并记载于他的哪部著作？,荀子《乐论篇》,孟子《性善论》,韩非子《说难》,A
8,反应墨家关爱劳动人民的思想是什么？,非乐,乐教,和乐,A
9,谁对于儒家音乐思想有系统的总结，认为音乐能够配合统治者的文治武功，感化人心？,荀子,孔子,董仲舒,A
10,主张非乐（即反对音乐）的是我国古代哪位思想家？,墨子,庄子,韩非子,A
11,饥者不得食，寒者不得衣，老者不得息我国古代哪位思想家的言论？,墨子,荀子,商鞅,A
12,大音希声是我国古代哪位思想家的思想？,老子,孟子,庄子,A
13,老子主要思想记载于他的哪本著作？,《道德经》即《老子》,《太平经》,《周易》,A
14,谁将音乐分为天籁、地籁、人籁的是谁？他崇尚什么？,庄子，崇尚天籁,老子，崇尚人籁,列子，崇尚地籁,A
15,天籁是谁的思想？,庄子,墨子,韩非子,A
16,儒家音乐美学思想专著是？,《乐记》,《诗经》,《礼记》,A
17,《乐记》现存多少篇？,11篇,9篇,13篇,A
18,我国最早的一部具有比较完整体系的音乐美学著作是？,《乐记》,《诗经》,《乐府》,A
19,《乐记》的作者在历史上的两种说法是？,公孙尼子和汉儒,孔子和孟子,老子和庄子,A
20,凡音之起，由人心生也，人心之动，物使之然也。是哪家的思想？记录于哪本书籍？,儒家《乐记》,道家《庄子》,墨家《墨子》,A
21,治世之音安以乐，其政和；乱世之音怨以怒，其政乖；亡国之音哀以思，其民困。是哪家的思想？,儒家,道家,墨家,A
22,强调音乐与政治、音乐与社会密切关系的是我国古代的哪部著作？,《乐记》,《论语》,《吕氏春秋》,A
23,主张使用音乐与礼制相配合，为统治者的文治武功服务的著作是？,《乐记》,《史记》,《孟子》,A
24,我国历史上对于音乐美感认识有较深层次的论述的著作是？,《乐记》,《周易》,《诗经》,A
25,先秦儒家音乐美学思想的集大成者指的是哪本著作？,《乐记》,《论语》,《左传》,A 
