题号,问题,选项A,选项B,选项C,正确答案
1,古希腊时期的音乐特点有？,单音织体、支声复调、音乐与诗歌节奏一致,复调织体、和声织体、音乐与舞蹈节奏一致,自由节奏、复杂和声、多声部织体,A
2,古希腊时期的音乐理论奠基人是？,毕达哥拉斯,亚里士多德,柏拉图,A
3,在古希腊时期谁提出了四音音阶的音乐理论？,亚里斯多西诺斯、克里奥尼德斯,毕达哥拉斯、柏拉图,欧里庇得斯、索福克勒斯,A
4,古希腊时期，谁提出音乐教化作用学说？,柏拉图、亚里士多德,毕达哥拉斯、亚里斯多西诺斯,埃斯库罗斯、欧里庇得斯,A
5,古希腊时期代表性的音乐作品是？,《塞基洛斯墓志铭》《美索梅德斯的缪斯赞美诗》,《普罗米修斯》《俄狄浦斯王》,《伊利亚特》《奥德赛》,A
6,古希腊时期镌刻在石碑上的一首酒歌是？,《塞基洛斯墓志铭》,《美索梅德斯的缪斯赞美诗》,《奥林匹亚颂歌》,A
7,古希腊文明兴起于哪个地方？,克里特岛,伯罗奔尼撒半岛,马其顿地区,A
8,已知最早的欧洲音乐是？,古希腊音乐,古罗马音乐,埃及音乐,A
9,希腊语中的音乐指的是哪个单词？,mousike,musica,melodia,A
10,古希腊时期常用的两种乐器是？,里拉琴、阿夫洛斯管,竖琴、长笛,鼓、铃,A
11,古希腊时期最重要的弦乐器是？它的变体是？,里拉琴、基萨拉琴,竖琴、七弦琴,提琴、鲁特琴,A
12,古希腊时期体型较大，用于专业演奏的弦乐器是？,基萨拉琴（又称为七弦琴）,里拉琴,竖琴,A
13,古希腊时期的里拉琴被用于？,崇拜日神阿波罗的仪式,军事游行,民间庆典,A
14,古希腊，主要用于崇拜日神仪式的乐器是？,里拉琴,阿夫洛斯管,鼓,A
15,古希腊时期常用的管乐器是？,阿夫洛斯管,长笛,单簧管,A
16,阿夫洛斯管一共有几根管？,两根,一根,三根,A
17,阿夫洛斯管常用于什么？,崇拜酒神狄奥尼索斯的仪式、用于古希腊悲剧,军事行进、婚礼庆典,宗教仪式、私人宴会,A
18,在古希腊时期，最受欢迎的戏剧形式是？,古希腊悲剧,古希腊喜剧,古希腊田园剧,A
19,古希腊悲剧三大代表作家是？代表作是？,埃斯库罗斯《普罗米修斯》、索福克勒斯《俄狄浦斯王》、欧里庇得斯《美狄亚》,荷马《伊利亚特》《奥德赛》、赫西俄德《神谱》,亚里士多德《诗学》、柏拉图《理想国》、亚里斯多芬《青蛙》,A
20,约公元1世纪，在古希腊时期有一首刻在墓碑上的酒歌是？,《塞基洛斯墓志铭》,《美索梅德斯的缪斯赞美诗》,《奥林匹亚颂歌》,A
21,是谁发明了最早的水力管风琴，后被罗马人沿用？,希腊人,埃及人,巴比伦人,A
22,最古老的键盘乐器是？源于何时何地？,管风琴、源自公元前3世纪的古希腊,拨弦古钢琴、源自公元5世纪的拜占庭,击弦键琴、源自公元前8世纪的埃及,A
23,到目前为止大约有多少个古希腊音乐作品或作品片段先后被发现？,40个,100个,10个,A 
