题号,问题,选项A,选项B,选项C,正确答案
1,乐府始建于哪个朝代？兴盛于哪个朝代？,始于秦，兴于汉,始于西周，兴于秦,始于汉，兴于魏晋,A
2,乐府兴于哪位皇帝？衰于哪位皇帝？,兴于汉武帝，衰于汉哀帝,兴于汉高祖，衰于汉平帝,兴于汉宣帝，衰于汉元帝,A
3,张骞出使西域带回的胡曲是？,《摩柯兜勒》,《天竺舞曲》,《月氏之音》,A
4,汉代李延年的职位是？,协律都尉,太乐令,鼓吹校尉,A
5,李延年根据西域音乐创作的作品是？,《新声二十八解》,《胡旋十二曲》,《西域乐舞》,A
6,汉代协律都尉李延年根据什么创作了《新声二十八解》？,西域音乐《摩柯兜勒》,北方少数民族音乐,宫廷祭祀音乐,A
7,李延年根据张骞带回的哪部胡曲撰写了《新声二十八解》？,《摩柯兜勒》,《大宛舞曲》,《安息乐》,A
8,乐府的主要任务是？,采集民歌、加工分类,创作宫廷音乐、祭祀乐舞,教习古乐、传承礼仪,A
9,相和歌形成的过程是？,徒歌（清唱）、但歌（一人唱三人和）、相和歌（丝竹更相和，执节者歌）,独歌（独唱）、齐歌（齐唱）、和歌（合唱）,单声、二重唱、多声部,A
10,相和歌是什么乐器伴奏？,笙笛琴瑟琵琶筝,鼓角铙钲,磬钟编铎,A
11,相和歌发展的高级形式是？,相和大曲,鼓吹曲,角觝戏,A
12,相和大曲的结构有？,艳、曲、趋（乱）,序、中、尾,引、歌、舞,A
13,相和大曲中的舞蹈段落是？,艳,曲,趋,A
14,相和大曲中的声乐部分是？,曲,艳,趋,A
15,相和大曲中的过渡器乐段落是？,解,曲,艳,A
16,相和大曲中的高潮段落是？,趋（乱）,艳,解,A
17,相和歌发展到魏晋南北朝时期又称？,清商乐,燕乐,西凉乐,A
18,相和三调是？,平调、清调、瑟调,高调、中调、低调,宫调、商调、角调,A
19,清商三调是？,平调、清调、瑟调,宫调、商调、角调,徵调、羽调、变宫调,A
20,汉代的鼓吹乐分为？主奏乐器分别是？,鼓吹和横吹，鼓吹：排箫、笳，横吹：鼓、角,雅乐和俗乐，雅乐：琴瑟，俗乐：排箫、笙,宫廷乐和民间乐，宫廷乐：编钟编磬，民间乐：鼓笛,A
21,东汉时被用于军中的鼓吹乐被称为？,短箫铙歌,长笛鼓吹,高檐曲,A
22,短箫铙歌的主奏乐器是什么？,排箫和铙,笙和笛,鼓和角,A
23,汉代俗乐的主要内容有？,相和歌、鼓吹乐、百戏,琴歌、编钟乐、竽歌,角觝、钟鼓乐、歌舞,A
