题号,问题,选项A,选项B,选项C,正确答案
1,黄自四大弟子有？,陈田鹤、江定仙、贺绿汀、刘雪庵,刘天华、赵元任、萧友梅、聂耳,马思聪、朱践耳、丁善德、江文也,A
2,30年代最具有代表性的知识分子是指谁？,黄自,赵元任,聂耳,A
3,黄自曾在哪儿留学？,美国·耶鲁大学音乐学院,法国·巴黎音乐学院,德国·柏林音乐学院,A
4,黄自在美毕业创作的音乐作品是？,管弦乐作品《怀旧》,交响曲《思乡》,钢琴曲《故园春晓》,A
5,美国交响乐队演出的第一部中国作品是？,管弦乐作品《怀旧》,交响诗《黄河》,交响曲《长城》,A
6,黄自《怀旧》的对象是谁？,他的未婚妻陈宗娥,他的母亲,他的祖国,A
7,上海国立音乐专科学校担任理论作曲和教务主任的是？,黄自,萧友梅,马思聪,A
8,黄自的作品《抗敌歌》《旗正飘飘》是什么类型的作品？,爱国歌曲,艺术歌曲,学生歌曲,A
9,爱国歌曲《抗敌歌》的作曲者是？,黄自,聂耳,贺绿汀,A
10,爱国歌曲《旗正飘飘》的作曲者是？,黄自,冼星海,丁善德,A
11,黄自的《花非花》《春思曲》《玫瑰三愿》《点绛唇》《南乡子》是什么类型的作品？,艺术歌曲,爱国歌曲,儿童歌曲,A
12,黄自《西风的话》是什么类型的作品？,学生歌曲,艺术歌曲,民歌改编,A
13,艺术歌曲《花非花》的作曲是？,黄自,赵元任,江文也,A
14,艺术歌曲《春思曲》的作曲是？,黄自,贺绿汀,聂耳,A
15,艺术歌曲《玫瑰三愿》的作曲是？作词是？,龙七词、黄自曲,黄自词曲,田汉词、黄自曲,A
16,艺术歌曲《点绛唇》的作曲是？,黄自,刘雪庵,贺绿汀,A
17,艺术歌曲《南乡子》的作曲是？,黄自,赵元任,青主,A
18,学生歌曲《西风的话》的作曲是？,黄自,江定仙,陈田鹤,A
19,黄自根据唐朝诗人白居易同名长诗创作了我国第一部清唱剧是什么？,《长恨歌》,《琵琶行》,《梁祝》,A
20,中国第一部清唱剧是？,黄自·《长恨歌》,贺绿汀·《白毛女》,马思聪·《江姐》,A
21,《长恨歌》的作词是谁？,韦瀚章,白居易,田汉,A
22,著名唱段《山在虚无缥缈间》是黄自哪部音乐作品的选段？,清唱剧《长恨歌》,歌剧《白毛女》,交响曲《思乡》,A
23,黄自的创作风格特点是？,作曲成熟、意境典雅、中国古典文化、复调民族化,热情奔放、革命浪漫、民族气息、西方技法,抒情优美、民歌风格、强烈节奏、现代技法,A
24,管弦乐序曲《怀旧》是黄自什么时期创作的？,20年代,30年代,40年代,A
25,民国歌曲《本事》是由谁作曲？,黄自,聂耳,冼星海,A 
