题号,问题,选项A,选项B,选项C,正确答案
1,1725年在哪儿出现了最早的公众音乐会？,巴黎,伦敦,维也纳,A
2,古典主义早期有哪三种风格？,洛可可风格、华丽风格、善感风格,古典风格、浪漫风格、表现风格,巴洛克风格、宫廷风格、教堂风格,A
3,洛可可风格源自于哪儿？以谁的什么作品为代表？,源于法国，以大库普兰为代表的古钢琴作品,源于意大利，以维瓦尔第为代表的小提琴协奏曲,源于德国，以巴赫为代表的管风琴作品,A
4,18 世纪体现法国宫廷艺术趣味的风格是？,洛可可风格,古典风格,巴洛克风格,A
5,华丽风格在音乐织体上指的是什么风格？风格来自于哪儿？,主调风格，源于意大利,复调风格，源于德国,宫廷风格，源于法国,A
6,善感风格的代表人物是？,C·P·E·巴赫（巴赫的二儿子，人称柏林巴赫),J·S·巴赫（约翰·塞巴斯蒂安·巴赫）,W·A·莫扎特（沃尔夫冈·阿玛迪斯·莫扎特）,A
7,在前古典主义时期出现了一种常用的分解和弦的重复音型是？,阿尔贝蒂低音,巴洛克风格的赋格,古典风格的终止式,A
8,古典主义时期在意大利出现了一种歌剧风格叫喜歌剧，它来源于什么？,幕间剧,民间歌曲,宗教音乐,A
9,喜歌剧的特点是？,现实生活题材，咏叹调简单，曲调悦耳，键盘乐器伴奏宣叙调,神话题材，咏叹调复杂，曲调严肃，管弦乐伴奏宣叙调,宗教题材，咏叹调庄严，曲调复杂，合唱伴奏宣叙调,A
10,古典主义时期，意大利喜歌剧的代表性的作品是？,《女仆做夫人》,《魔笛》,《唐璜》,A
11,意大利的喜歌剧《女仆做夫人》在法国引起的著名争论是？,法国喜歌剧之争,巴黎歌剧院争议,意法音乐家冲突,A
12,《女仆作夫人》是什么的幕间剧？,正歌剧《高傲的囚徒》的幕间剧,正歌剧《费加罗的婚礼》的幕间剧,正歌剧《魔笛》的幕间剧,A
13,《女仆作夫人》的作曲家是？,意大利·佩尔格莱西,德国·莫扎特,法国·卢梭,A
14,法国的卢梭支不支持意大利喜歌剧？他做出了什么贡献？,支持，写了一部法国喜歌剧《乡村卜者》,不支持，写了一部批判意大利喜歌剧的文章,支持一部分，写了一部半意大利半法国风格的歌剧,A
15,英国的喜歌剧形式是？代表作是？,英国民谣剧，《乞丐歌剧》,英国正歌剧，《魔笛》,英国清唱剧，《弥赛亚》,A
16,《乞丐歌剧》的脚本和作曲分别是？,诗人盖伊，作曲家佩普什,诗人莎士比亚，作曲家亨德尔,诗人拜伦，作曲家普赛尔,A
17,古典早期德国喜歌剧的类型是？,歌唱剧,正歌剧,浪漫歌剧,A
18,18世纪的哪位诗人的脚本被作曲家大量谱曲，并成为正歌剧标准格式？,梅塔斯塔西奥,莫里哀,歌德,A
19,18世纪哪位作曲家对正歌剧进行了改革？,格鲁克,莫扎特,亨德尔,A
20,格鲁克对正歌剧改革的代表作品是？,《奥菲欧与尤里迪西》,《费加罗的婚礼》,《唐璜》,A
21,《奥菲欧与尤里迪西》的作者是？,格鲁克,莫扎特,亨德尔,A
22,格鲁克对正歌剧都进行了哪些改革？,序曲和剧情结合，减少炫技，增加音乐的整体感，更多使用乐队宣叙调,增加华彩段落，强调声乐技巧，减少管弦乐的参与,增加复调写作，强调配器技巧，减少宣叙调的使用,A
23,古典时期哪位作曲家克服了过去正歌剧中音乐和剧情严重脱节的现象？,格鲁克,海顿,亨德尔,A
24,古典主义风格器乐的奠基者是？,C·P·E·巴赫（巴赫的二儿子，人称柏林巴赫),约瑟夫·海顿,沃尔夫冈·莫扎特,A
25,交响曲的前身是？,歌剧序曲,教堂奏鸣曲,协奏大曲,A
26,在古典主义时期，歌剧序曲也形成了一套标准的形式，其意大利序曲速度是？,快慢快,慢快慢,中快中,A
27,法国序曲的速度布局是？,慢快慢,快慢快,中快中,A
28,开始创作独立序曲的意大利作家是？,萨马蒂尼,斯卡拉蒂,维瓦尔第,A
29,萨马蒂尼创作的独立序曲被称为？,辛弗尼亚,协奏大曲,组曲,A
30,在古典主义时期交响乐的发展中，有哪些著名乐派？,曼海姆乐派，北德乐派,意大利乐派，法国乐派,维也纳乐派，英国乐派,A
31,在古典主义时期，欧洲最好的管弦乐队是？是谁建立的？,德国曼海姆乐派，约翰·施塔米茨,意大利威尼斯乐队，维瓦尔第,法国宫廷乐队，吕利,A
32,曼海姆乐派的音乐有什么特点？,擅长渐强渐弱，首次使用对比性副部主题，用小步舞曲做第三乐章,擅长复调写作，首次使用无调性，用萨拉班德舞曲做第二乐章,擅长节奏变化，首次使用民族音乐素材，用华彩段落做终曲,A
33,古典时期，哪个乐派创作的交响曲以腓德烈大帝的宫廷为中心？代表人物是？,北德乐派，C·P·E巴赫,意大利乐派，斯卡拉蒂,维也纳乐派，海顿,A
34,古典主义时期最重要的室内乐题材是？,弦乐四重奏,钢琴三重奏,木管五重奏,A
35,协奏曲中运用最常用的曲式是？,回归曲式,奏鸣曲式,变奏曲式,A
36,Concerto的中文释义是？,协奏曲,交响曲,奏鸣曲,A
37,Symphony的中文释义是？,交响乐,协奏曲,序曲,A
38,Sonata的中文释义是？,奏鸣曲,交响曲,序曲,A
39,Overture的中文释义是？,序曲,奏鸣曲,交响曲,A
40,Harpsichord的中文释义是？,羽管键琴（拨弦古钢琴）,大键琴（击弦古钢琴）,管风琴,A
41,Clavichord的中文释义是？,楔槌键琴（击弦古钢琴）,羽管键琴（拨弦古钢琴）,管风琴,A
42,Quartet的中文释义是？,弦乐四重奏,木管五重奏,铜管四重奏,A
43,Chamber的中文释义是？,室内乐,交响乐,歌剧,A 
