题号,问题,选项A,选项B,选项C,正确答案
1,马勒出生于？,波西米亚的犹太家庭,维也纳的贵族家庭,柏林的工人家庭,A
2,1897年，马勒被任命到哪儿担任院长和指挥，并且时期达到了欧洲一流的演出水准？,维也纳宫廷歌剧院,柏林爱乐乐团,巴黎歌剧院,A
3,我是一个三重无家可归的人出自谁之口？,马勒,理查德·施特劳斯,勃拉姆斯,A
4,哪位作曲家利用夏天的演出季节休息期集中精力作曲？,马勒,理查德·施特劳斯,德彪西,A
5,马勒一共有几部交响曲，几部声乐套曲？,9部交响曲、5部声乐套曲,7部交响曲、3部声乐套曲,12部交响曲、2部声乐套曲,A
6,马勒的《第二交响曲》又称？,复活,命运,英雄,A
7,马勒为德国民歌集谱写配乐的作品是哪一部？,《儿童的奇异号角》,《林中之歌》,《流浪者之歌》,A
8,被誉为是千人交响曲的是哪一部作品？,马勒《第八交响曲》,马勒《第二交响曲》,理查德·施特劳斯《阿尔卑斯交响曲》,A
9,马勒著名的声乐交响曲《大地之歌》歌词选自哪？,中国唐诗德译本,德国浪漫主义诗歌,法国象征主义诗集,A
10,马勒的《大地之歌》是什么体裁的作品？,声乐交响曲,纯器乐交响曲,歌剧,A
11,马勒用我国唐诗的德译诗词谱曲的作品是哪部作品？,《大地之歌》,《亡儿之歌》,《流浪之歌》,A
12,马勒的声乐套曲著名的有哪两部？,《亡儿之歌》《流浪之歌》,《儿童的奇异号角》《大地之歌》,《五首吕克特诗歌》《第八交响曲》,A
13,马勒的交响曲中，哪一部没有使用声乐？,《第五交响曲》,《第二交响曲》,《第八交响曲》,A
14,谁的交响曲常引用其艺术歌曲的旋律，而艺术歌曲又都是用交响乐队伴奏的？,马勒,理查德·施特劳斯,贝多芬,A
15,晚期浪漫主义著名的代表人物有哪两位？,马勒、理查德·施特劳斯,德彪西、拉威尔,舒曼、勃拉姆斯,A
16,音诗是哪位作曲家首创的体裁？,理查德·施特劳斯,李斯特,马勒,A
17,勃拉姆斯和瓦格纳的后继者指的是哪位作曲家？,理查德·施特劳斯,马勒,勋伯格,A
18,理查德·施特劳斯是哪国作曲家？,德国,奥地利,法国,A
19,理查德·施特劳斯代表性的两部交响曲是？,《阿尔卑斯交响曲》《家庭交响曲》,《幻想交响曲》《哥特式交响曲》,《英雄交响曲》《田园交响曲》,A
20,理查德·施特劳斯三部代表性的歌剧是？,《莎乐美》《埃莱克特拉》《玫瑰骑士》,《唐豪瑟》《罗恩格林》《特里斯坦与伊索尔德》,《费加罗的婚礼》《魔笛》《唐·乔万尼》,A
21,歌剧《莎乐美》是根据谁的脚本创作的？,王尔德,莎士比亚,歌德,A
22,理查德·施特劳斯所创作的交响诗中，具有哲学性的是哪些作品？,《死与净化》《查拉图斯特拉如是说》,《唐·璜》《堂吉柯德》,《蒂尔·艾伦施皮格尔恶作剧》《英雄的生涯》,A
23,理查德·施特劳斯所创作的交响诗中，具有叙事性的是哪些作品？,《唐·璜》《堂吉柯德》《蒂尔·艾伦施皮格尔恶作剧》,《死与净化》《查拉图斯特拉如是说》,《家庭交响曲》《阿尔卑斯交响曲》,A
24,理查德·施特劳斯《查拉图斯特拉如是说》是根据什么改编？,尼采,歌德,荷马,A 
