题号,问题,选项A,选项B,选项C,正确答案
1,表现主义是指？首先出现在什么地方？,德奥地区兴起的一个文学艺术流派，首先出现在绘画领域,法国地区兴起的一个文学艺术流派，首先出现在音乐领域,俄罗斯地区兴起的一个文学艺术流派，首先出现在戏剧领域,A
2,表现主义开始于20世纪的什么时期？,20世纪早期,20世纪中期,20世纪晚期,A
3,哪种音乐风格主要表现孤独、痛苦、绝望等极端情感？,表现主义音乐,新古典主义音乐,印象派音乐,A
4,表现主义在音乐方面最显著的特征是？,无调性,强烈的民族风格,复杂的对位法,A
5,新维也纳乐派代表性作曲家有哪些？,勋伯格、贝尔格、韦伯恩,德彪西、拉威尔、萨蒂,斯特拉文斯基、普罗科菲耶夫、肖斯塔科维奇,A
6,首创无调性音乐的是谁？,勋伯格,巴托克,斯特拉文斯基,A
7,创作无调性音乐的手法是？,十二音体系,五声音阶,全音音阶,A
8,勋伯格晚期浪漫主义时期创作风格的代表作有？,《古勒之歌》《净化之夜》,《月迷彼埃罗》《五首管弦乐曲》,《一个华沙的幸存者》《莫西与阿伦》,A
9,勋伯格《净化之夜》的灵感来自于哪？,瓦格纳的《特里斯坦与伊索尔德》,莫扎特的《魔笛》,贝多芬的《田园交响曲》,A
10,勋伯格无调性音乐创作时期的代表作品有哪些？,《五首管弦乐曲》声乐套曲《月迷彼埃罗》,《净化之夜》《古勒之歌》,《一个华沙的幸存者》《莫西与阿伦》,A
11,声乐套曲《月迷彼埃罗》的人声采用了何种创作手法？,念唱,花腔,假声,A
12,勋伯格采用的十二音作曲技术是？,一个由全部十二个半音组成的音列或者序列，可以原型、逆行、倒影、或倒影逆行,一个由五个音组成的固定音列，只能按照固定顺序进行,一个由七个音组成的音阶，可以自由变换顺序,A
13,勋伯格第一首十二音作品是？,《五首钢琴小品》,《一个华沙的幸存者》,《净化之夜》,A
14,勋伯格十二音作品都有哪些？,《五首钢琴小品》《一个华沙的幸存者》歌剧《莫西与阿伦》,《净化之夜》《月迷彼埃罗》《古勒之歌》,《浦契涅拉》《诗篇交响曲》《c大调交响曲》,A
15,勋伯格所创作的十二音作品中，最有名的是哪一部？,《一个华沙的幸存者》,《净化之夜》,《月迷彼埃罗》,A
16,20世纪作曲家贝尔格是谁的学生？,勋伯格,斯特拉文斯基,巴托克,A
17,贝尔格所创作的最为著名的两部歌剧是？,《沃采克》《露露》,《莫西与阿伦》《华沙的幸存者》,《蓝胡子公爵的城堡》《耶奴法》,A
18,第一部大型无调性表现主义歌剧是谁的什么作品？,贝尔格《沃采克》,勋伯格《莫西与阿伦》,韦伯恩《孤岛》,A
19,20世纪最为重要的歌剧之一是指？,贝尔格《沃采克》,斯特拉文斯基《浪子的历程》,格什温《波吉与贝丝》,A
20,贝尔格的歌剧《沃采克》是根据什么改编而来？,德国作家毕希纳的戏剧,法国作家雨果的小说,俄国作家托尔斯泰的传记,A
21,在20世纪中，哪位作曲家代表了勋伯格手法冷结构的一面，且作品非常短小？,韦伯恩,贝尔格,巴托克,A
22,20世纪中，哪位作曲家使用点描主义进行创作？,韦伯恩,斯特拉文斯基,欣德米特,A
23,在西方音乐史上，有人把20世纪50年代称为什么？,后韦伯恩时代,后表现主义时代,新古典主义时代,A
24,20世纪的匈牙利民族主义音乐的代表人物有？,巴托克、科达伊,勋伯格、贝尔格,斯特拉文斯基、普罗科菲耶夫,A
25,巴托克除了作曲家的身份以外，还是最早的一位？,民族音乐学家,电子音乐家,交响乐指挥家,A
26,巴托克曾经和谁一起收集出版匈牙利和东欧民歌？,科达伊,勋伯格,斯特拉文斯基,A
27,巴托克的作品中，哪一部作品探索了不协和音与调性模糊的界限？,《为弦乐、打击乐和钢片琴而作的音乐》,《蓝胡子公爵的城堡》,《管弦乐协奏曲》,A
28,巴托克晚期的作品中，较为著名的作品《管弦乐协奏曲》一共有几个乐章？,5个,3个,7个,A
29,巴托克较为著名的歌剧是哪一部？,《蓝胡子公爵的城堡》,《沃采克》,《波吉与贝丝》,A
30,巴托克的《管弦乐协奏曲》是他哪一时期创作的作品？,晚期,早期,中期,A
31,管弦乐《匈牙利民歌孔雀变奏曲》的作者是？,科达伊,巴托克,雅纳切克,A
