题号,问题,选项A,选项B,选项C,正确答案
1,古琴曲《高山流水》见于哪本书籍？,《神奇秘谱》,《太古遗音》,《琴操》,A
2,古琴曲集《神奇秘谱》的作者是？,明·朱权,宋·郭沔,清·张孔山,A
3,我国最早刊印的琴曲集是？是哪个朝代？,明代·《神奇秘谱》,唐代·《琴谱》,宋代·《碧海幽琴》,A
4,《神奇秘谱》中所收录古琴曲《高山流水》的结构是？,不分段,三段式,套曲结构,A
5,《神奇秘谱》所收录的《高山流水》是什么器乐的作品？,古琴曲,笛曲,琵琶曲,A
6,清代张孔山传谱的《流水》由于充分运用了滚、拂等手法，所以该作品也被称为？,《七十二滚佛流水》,《浣溪沙流水》,《江河万里》,A
7,古琴曲《高山流水》讲的是什么？,伯牙和钟子期的故事（伯牙弹琴，钟子期听琴）,屈原投江的故事,嵇康临刑前的故事,A
8,古琴曲《广陵散》诞生于何时？别称为？,东汉末年，《广陵止息》,唐朝初期，《广陵遗韵》,宋代，《广陵吟》,A
9,古琴曲《广陵散》见于哪本书籍？,《神奇秘谱》,《琴谱》,《大还阁琴谱》,A
10,古琴曲《广陵散》内容与什么有关？,蔡邕《琴操》中所记载的《聂政刺韩王》,屈原投江自尽,伯牙与钟子期的故事,A
11,《广陵散》是哪一时期的古琴曲？,东汉末年,魏晋南北朝,隋唐,A
12,哪位古人临死之前演奏琴曲《广陵散》？（临刑东市，颜色不异是谁？）,嵇康,阮籍,蔡邕,A
13,中国第一部记录古琴曲的著作是？作者是？,蔡邕《琴操》（只记内容不记谱）,朱权《神奇秘谱》,郭茂倩《乐府诗集》,A
14,《酒狂》是哪一时期的古琴曲？,魏晋南北朝时期,唐代,宋代,A
15,古琴曲《酒狂》的作者是谁？,阮籍（竹林七贤之一）,嵇康,陶渊明,A
16,《酒狂》乐曲打谱为古琴音乐中罕见的几拍子？,三拍子,二拍子,七拍子,A
17,哪首古琴曲是用罕见的三拍子所打谱的？,《酒狂》,《梅花三弄》,《潇湘水云》,A
18,我国最古老的文字谱记载的是哪部古琴曲？,《碣石调·幽兰》,《广陵散》,《高山流水》,A
19,古琴曲《碣石调·幽兰》传自谁之手？,南朝梁代·秋明,东晋·桓伊,唐代·颜师古,A
20,古琴曲《碣石调·幽兰》现存的曲谱是哪个朝代的手抄本？,唐朝,宋朝,明朝,A
21,古琴曲《碣石调·幽兰》的记谱方式是？,文字谱,减字谱,工尺谱,A
22,古琴曲《碣石调·幽兰》讲述了什么？,孔子怀才不遇,隐士采兰修道,贤人归隐山林,A
23,古琴曲《梅花三弄》原本是一首谁创作的笛曲？,东晋·桓伊,南宋·郭沔,唐代·颜师古,A
24,笛曲《梅花三弄》的作者是谁？,桓伊,陈康士,朱权,A
25,古琴曲《梅花三弄》由谁从笛曲改编成了琴曲？,唐代琴人·颜师古,宋代·郭沔,明代·朱权,A
26,古琴曲《梅花三弄》中的三弄是指？,同一主题在不同段落出现三次,描写梅花的三种姿态,三种不同的演奏技法,A
27,古琴曲《离骚》是谁根据屈原同名长诗而作的？,唐代琴人·陈康士,明代·朱权,宋代·郭沔,A
28,根据王维《送元二使安西》而作的古琴曲是？,《阳关三叠》,《梅花三弄》,《潇湘水云》,A
29,与劝君更尽一杯酒，西出阳关无故人有关的是哪一首古琴曲？,《阳关三叠》,《梅花三弄》,《平沙落雁》,A
30,琴歌《胡笳十八拍》的歌词使用了谁的什么作品？,蔡文姬（蔡琰）《悲愤诗》,王维《送元二使安西》,屈原《离骚》,A
31,古琴曲《潇湘水云》最早刊载于？,明代朱权《神奇秘谱》,唐代《琴谱》,清代《古音正宗》,A
32,古琴曲《潇湘水云》作者是？,南宋琴家·郭沔,东晋·桓伊,明代·朱权,A
33,古琴流派浙派的创始人、代表人物是？,南宋琴家·郭沔,明代·朱权,清代·张孔山,A
34,南宋古琴家郭沔的哪部作品表达了潇湘两水交汇处泛舟时所发出的感怀之情？,《潇湘水云》,《平沙落雁》,《梅花三弄》,A
35,古琴曲《平沙落雁》最早见于明崇祯时期的哪部著作？,《古音正宗》,《神奇秘谱》,《琴操》,A
36,明崇祯时期，《古音正宗》中刊印的古琴代表作是？,《平沙落雁》,《阳关三叠》,《高山流水》,A 
