题号,问题,选项A,选项B,选项C,正确答案
1,中国近代以来建立的第一所独立的高等专业音乐学院是？,1927·上海·国立音乐院,1919·北京·北京大学音乐传习所,1938·延安·鲁迅艺术学院,A
2,标志中国专业音乐教育进入新历史阶段的事件是？,1927·上海国立音乐院的创立,1919·北京大学音乐传习所的成立,1949·中央音乐学院的建立,A
3,上海国立音乐学院的院长、教务主任是谁？,院长蔡元培、教务主任萧友梅,院长黄自、教务主任青主,院长赵元任、教务主任刘天华,A
4,上海国立音乐学院在1929年改名为？校长是？,改名为国立音乐专科学校、萧友梅任校长,改名为国立音乐学院、青主任校长,改名为上海音乐学院、刘雪庵任校长,A
5,《梁山伯与祝英台》是一部什么体裁的作品？,小提琴协奏曲,交响诗,民族管弦乐合奏曲,A
6,小提琴协奏曲《梁山伯与祝英台》作曲家是谁？,何占豪、陈钢,马思聪,俞丽拿,A
7,何占豪和陈钢的小提琴协奏曲《梁山伯与祝英台》是根据我国的哪一个戏曲剧种改编而来？,越剧,京剧,黄梅戏,A
8,何占豪和陈钢的小提琴协奏曲《梁山伯与祝英台》为什么而作？,中华人民共和国十周年献礼,中国共产党成立四十周年献礼,上海音乐学院建校三十周年献礼,A
9,小提琴协奏曲《梁祝》包含几个乐章？什么曲式？,1个、奏鸣曲式,3个、协奏曲式,2个、变奏曲式,A
10,小提琴协奏曲《梁祝》首演于哪年？,1959年,1949年,1966年,A
11,小提琴协奏曲《梁祝》的首演者是？,俞丽拿,盛中国,林耀基,A
12,歌曲《吊吴淞》是谁的作品？,应尚能,刘雪庵,周淑安,A
13,歌曲《长城谣》是谁的作品？,刘雪庵,应尚能,青主,A
14,歌曲《长城谣》的首唱者是谁？,周小燕,郭兰英,王昆,A
15,歌曲《红豆词》的曲作者是谁？,刘雪庵,青主,黄自,A
16,电影歌曲《何日君再来》是谁的作品？,刘雪庵,黄自,聂耳,A
17,国立音专最早的声乐教授有哪两位？,周淑安、应尚能,刘雪庵、黄自,青主、查哈罗夫,A
18,第一个将美声唱法带入中国的是？,周淑安,应尚能,刘雪庵,A
19,《纺纱歌》是谁的作品？,周淑安,应尚能,刘雪庵,A
20,上海国立音乐学院罗致一批具有较高音乐造诣和丰富教学经验的中外音乐家，其中有著名的俄籍钢琴家被誉为是全亚洲最好的钢琴老师的是谁？,查哈罗夫,罗嘉帕罗夫,柴可夫斯基,A
21,上海国立音乐学院罗致一批具有较高音乐造诣和丰富教学经验的中外音乐家，其中有国乐导师是谁？,朱英,刘天华,江文也,A
22,上海国立音乐学院罗致一批具有较高音乐造诣和丰富教学经验的中外音乐家，其中青主是谁？,著名的音乐理论家,著名的作曲家,著名的钢琴家,A
23,上海国立音乐学院罗致一批具有较高音乐造诣和丰富教学经验的中外音乐家，其中留学美国后归来的本国音乐家是谁？,黄自,青主,刘天华,A
24,上海国立音乐院在教学管理方面采用了什么？,西欧专业教育专业体制,苏联音乐教育体系,美国学分制,A
25,上海国立音乐学院分别开设了什么方向的教学体制？5点,理论作曲、键盘乐器、乐队乐器、声乐、国乐,作曲、指挥、声乐、钢琴、民乐,理论、作曲、演奏、声乐、民族音乐,A
26,国立音乐院对民歌加工改变创造的一个社团是？,山歌社,国乐改进社,新音乐研究会,A
27,国立音专的校刊是？,《音》,《乐艺》,《音乐》,A
28,国立音专学术刊物《乐艺》的主编是？,青主,萧友梅,黄自,A
29,杨立青曾担任哪个学校的院长？,上海音乐学院,中央音乐学院,中国音乐学院,A
30,丁善德是不是国立音专的毕业生？,是,不是,只是兼职教师,A
31,上海音乐学院的首任院长是？,蔡元培,萧友梅,黄自,A 
