题号,问题,选项A,选项B,选项C,正确答案
1,1922年刘天华被哪所机构聘为国乐导师？,北京大学音乐传习所,上海国立音专,北平艺术专科学校,A
2,刘天华共有几首琵琶曲？分别是？,3首：《虚籁》《歌舞引》《改进操》,5首：《虚籁》《歌舞引》《改进操》《幽思》《春秋》,2首：《虚籁》《歌舞引》,A
3,刘天华一共有几首二胡曲？,10首,8首,12首,A
4,刘天华著名的二胡曲有？,《病中吟》《光明行》《空山鸟语》《良宵》《烛影摇红》,《二泉映月》《江河水》《赛马》《听松》《幽兰逢春》,《春江花月夜》《梅花三弄》《夕阳箫鼓》《阳春白雪》《高山流水》,A
5,二胡曲《空山鸟语》的作者是？,刘天华,阿炳,华彦钧,A
6,对二胡这样一种普通的民间乐器进行了一系列改革的是哪位音乐家？,刘天华,刘半农,阿炳,A
7,刘天华的哪本著作整理了梅兰芳的乐谱集？,《梅兰芳歌曲谱》,《京剧曲谱集》,《民间音乐集成》,A
8,刘天华在北大创建的民乐社团是？,国乐改进社,民族乐团,国乐研究所,A
9,中国第一个以民乐改革的团体是？,国乐改进社,乐器改革会,民族乐器研究会,A
10,刘天华跟谁学习过二胡、琵琶？,周少梅,华彦钧,阿炳,A
11,刘天华跟学习过小提琴？,托诺夫,克莱斯勒,海菲兹,A
12,1915年刘天华在哪儿任教？,常州中学,北京大学,南京艺术学院,A
13,刘天华的艺术成就有？4点,参考西方演奏法练习曲、培养演奏家、创立记谱定弦法、开音乐会录唱片,创作交响乐、改革民族乐器、创办音乐学校、出版乐谱,融合中西方音乐、培养后代、普及国乐、推广京剧,A 
