题号,问题,选项A,选项B,选项C,正确答案
1,新秧歌运动在历史上的作用有？3点,文艺宣传、时代精神、吸收民歌戏曲,政治教育、经济发展、抗日宣传,民族团结、思想统一、军民互动,A
2,新秧歌运动的代表性作品有？3点,《夫妻识字》《兄妹开荒》《减租会》,《白毛女》《东方红》《黄河大合唱》,《小放牛》《北风吹》《小白菜》,A
3,新秧歌运动中，深受边区与解放区军民喜爱的作品《夫妻识字》是由哪位作曲家创作的？,马可,冼星海,李焕之,A
4,秧歌剧《兄妹开荒》由谁作曲？,安波,贺绿汀,马思聪,A
5,秧歌剧《减租会》由谁作曲？,刘炽,聂耳,马可,A
6,新歌剧《白毛女》取材于什么？,晋察冀解放区的传说故事,延安地区的民间故事,陕北地区的革命斗争,A
7,新歌剧《白毛女》讲的是谁的故事？阐述了什么真理？,杨白劳、黄世仁、白毛女的故事；旧社会把人变成鬼，新社会把鬼变成人,王二喜、王大娘、喜儿的故事；穷人翻身把家还,大春、小妹、地主的故事；旧社会苦，新社会甜,A
8,新歌剧《白毛女》的编剧作曲分别是？,编剧：贺敬之、丁毅；作曲：马可、张鲁、瞿维等,编剧：田汉、夏衍；作曲：冼星海、黄自,编剧：老舍、曹禺；作曲：贺绿汀、刘炽,A
9,新歌剧《白毛女》首演于何时何地？,1945年延安,1942年延安,1949年北京,A
10,新歌剧《白毛女》中喜儿的主题采用的音调是什么？,河北民歌《小白菜》,陕北民歌《兰花花》,山西民歌《捡麦根》,A
11,歌剧《白毛女》中的《北风吹》是以什么为素材创作的？,河北民歌《小白菜》,陕北民歌《信天游》,晋察冀民歌《小放牛》,A
12,新歌剧《白毛女》中杨白劳采用的是什么主题音调民歌？,山西民歌《捡麦根》,河北民歌《小白菜》,陕北民歌《兰花花》,A
13,《白毛女》首唱者是谁？,王昆,郭兰英,赵明,A
14,李焕之的《春节组曲》取材于？,陕甘宁地区的民间素材,晋察冀解放区的民间素材,华东解放区的民间素材,A
15,春节组曲第一乐章序曲—大秧歌又叫？,《春节序曲》,《喜庆序曲》,《红旗飘飘》,A
16,管弦乐《春节组曲》的作曲是？,李焕之,冼星海,马可,A
17,管弦乐《春节组曲》的第一乐章是？,序曲—大秧歌,阳春白雪,年年有余,A
18,解放区的音乐事业，在哪儿成立了什么学校？,延安·鲁迅艺术学院,延安·抗日军政大学,晋察冀·人民艺术学校,A
19,延安鲁迅艺术学院涌现出了一批新内容的民歌，其中最为代表性的两部作品是？,《东方红》《解放区的天》,《黄河大合唱》《白毛女》,《义勇军进行曲》《松花江上》,A
20,新秧歌运动期间的代表性歌剧作品是？,歌剧《白毛女》,歌剧《刘胡兰》,歌剧《江姐》,A
21,白毛女中《刀杀我，斧砍我》、《我要活》的音乐特点是？,秦腔的节奏特点,京剧的板式特点,河北梆子的声腔特点,A
22,歌剧《扬子江暴风雨》的作曲是？,聂耳,贺绿汀,冼星海,A
23,歌剧《军民进行曲》的作曲是？,冼星海,聂耳,刘炽,A
24,歌剧《秋子》的作曲是？,黄源洛,瞿维,张鲁,A
25,秧歌剧主要指的是哪种秧歌？特点是？,小场秧歌；特点：两三个角色，故事简单,大秧歌；特点：多人群舞，场面宏大,锣鼓秧歌；特点：打击乐伴奏，旋律鲜明,A
26,《延安文艺座谈会上的讲话》发表后，掀起了什么运动？,秧歌运动,收集整理民歌运动,创作新歌运动,A
27,新秧歌（秧歌运动）的特征有？2点,时代精神、陕北民歌,革命斗争、抗日情绪,群众性、教育性,A 
