题号,问题,选项A,选项B,选项C,正确答案
1,形状不规则的珍珠是指哪个音乐时期？,巴洛克,古典主义,浪漫主义,A
2,巴洛克时期的起止时间是？标志性事件是？,1600年-1750年，1600年第一部歌剧《尤里迪西》首演，1750年巴赫逝世,1650年-1800年，1650年第一部清唱剧上演，1800年贝多芬创作第一交响曲,1550年-1700年，1550年威尼斯乐派兴起，1700年协奏曲普及,A
3,巴洛克时期的歌剧最早可以追溯到什么？最佳直接的来源是？,最早可以追溯到中世纪的教仪剧，更加直接的来源是幕间剧,最早源于古希腊悲剧，直接来源是文艺复兴的牧歌剧,源于教堂音乐，直接来源是赞美诗,A
4,早期巴洛克歌剧的直接灵感来源是？,古希腊戏剧,中世纪骑士传说,宗教仪式,A
5,歌剧诞生于哪个城市？,意大利·佛罗伦萨,意大利·威尼斯,法国·巴黎,A
6,歌剧产生与哪一个创作小组有关？成员分别是？,佛罗伦萨的卡梅拉塔小组，以贵族巴尔迪伯爵为首，还有卡契尼、佩里、利路契尼、伽利略,威尼斯音乐学院，以蒙特威尔第为首，还有加布里埃利、维瓦尔第,罗马宗教音乐协会，以帕莱斯特里纳为首，还有维多利亚、阿莱格里,A
7,最早的歌剧诞生于哪儿？,佛罗伦萨的卡梅拉塔小组,威尼斯的圣马可教堂,罗马的教皇宫廷,A
8,早期歌剧的诞生直接导致了什么的诞生？特点是？,单声歌曲，由通奏低音乐器伴奏的宣叙性独唱歌曲,多声部合唱，由管风琴伴奏的宗教性合唱音乐,器乐协奏曲，由弦乐队伴奏的独奏乐器展示,A
9,巴洛克初期的代表作品是？作者是？,《新音乐》，卡契尼,《奥菲欧》，蒙特威尔第,《乞丐歌剧》，盖伊,A
10,最早的歌剧是？,《达芙妮》（失传）,《尤里迪西》,《奥菲欧》,A
11,最早的歌剧《达芙妮》创作于哪年？,1597年,1607年,1637年,A
12,最早的歌剧《达芙妮》的创作者是？,佩里和卡契尼,蒙特威尔第,吕利,A
13,最早的歌剧《达芙妮》的作词者是？,诗人利努契尼,诗人塔索,诗人但丁,A
14,最早被完整保留下来的第一部歌剧是？时间是？,1600年《尤里迪西》,1607年《奥菲欧》,1637年《波佩亚的加冕》,A
15,早期歌剧《尤里迪西》是为什么而作？,梅迪奇家族的宫廷婚礼,教堂礼拜仪式,市民阶层的娱乐活动,A
16,早期歌剧《尤里迪西》的创作者是？,佩里和卡契尼,蒙特威尔第和卡瓦利,吕利和兰博,A
17,早期歌剧《尤里迪西》的作词者是？,诗人利努契尼,诗人塔索,诗人但丁,A
18,早期歌剧《尤里迪西》创作于何时？,17世纪,16世纪,18世纪,A
19,蒙特威尔第的第一部取材于希腊神话的歌剧是？,《奥菲欧》,《波佩亚的加冕》,《乌利塞还乡记》,A
20,蒙特威尔第的第一部歌剧《奥菲欧》是为何而作？,曼图瓦宫廷,威尼斯圣卡西亚诺剧院,佛罗伦萨卡梅拉塔,A
21,蒙特威尔第的第一部歌剧《奥菲欧》的风格特点是？,连续不断的宣叙风格、对比性的段落、器乐的利托内罗与合唱,华丽的咏叹调、复杂的和声、大量的舞蹈场面,庄严的赋格、严格的对位、朴素的旋律,A
22,蒙特威尔第为圣卡西亚诺剧院创作的最后两部歌剧是？,《乌利塞还乡记》和《波佩亚的加冕》,《达芙妮》和《阿里安娜》,《奥菲欧》和《尤里迪西》,A
23,威尼斯第一座歌剧院是？,圣卡西亚诺剧院,凤凰剧院,拉斯卡拉歌剧院,A
24,圣卡西亚诺剧院的代表作曲家是？,蒙特威尔第、卡瓦利、切斯蒂,亨德尔、盖伊、普赛尔,吕利、拉莫、库普兰,A
25,欧洲最早的的公众歌剧院建立于哪里？代表作曲家是？,威尼斯的圣卡西亚诺，蒙特威尔第、卡瓦利、切斯蒂,佛罗伦萨的梅迪奇剧院，卡契尼、佩里、科尔西,巴黎的皇家音乐学院，吕利、拉莫、夏邦蒂埃,A
26,意大利歌剧序曲速度布局是？,快慢快,慢快慢,快快慢,A
27,意大利歌剧bel canto唱法是在哪个地方形成的？代表作曲家是？,威尼斯，卡瓦利和切斯蒂,那不勒斯，A·斯卡拉蒂和法里内利,佛罗伦萨，卡契尼和佩里,A
28,圣卡西亚诺剧院技艺高超的歌手通常是？,阉人歌手,女高音歌手,男低音歌手,A
29,最著名的阉人歌手是？,法里内利,卡鲁索,卡夫,A
30,圣卡西亚诺剧院形成了一种歌唱风格是？,美声风格,德国风格,法国风格,A
31,意大利拿波里风格歌剧代表人物是？,A·斯卡拉蒂,蒙特威尔第,亨德尔,A
