题号,问题,选项A,选项B,选项C,正确答案
1,舒伯特是哪个地区的作曲家？,奥地利,德国,匈牙利,A
2,浪漫主义的早期代表，年仅31岁便逝世的是哪位作曲家？,舒伯特,门德尔松,肖邦,A
3,被誉为艺术歌曲之王的作曲家是？,舒伯特,舒曼,沃尔夫,A
4,浪漫主义第一位德语艺术歌曲的作曲家是？,舒伯特,舒曼,勃拉姆斯,A
5,哪位作曲家的墓碑镌刻着音乐在这里埋下了丰富的宝藏，也埋下了美好的希望？,舒伯特,贝多芬,莫扎特,A
6,舒伯特的第一部杰作是？,艺术歌曲《纺车旁的格丽卿》,《未完成交响曲》,《冬之旅》,A
7,舒伯特《纺车旁的格丽卿》是根据谁的诗作完成的？,歌德,席勒,缪勒,A
8,舒伯特一生共创作了多少部作品？,上千部,几百部,几十部,A
9,舒伯特共创作了多少首艺术歌曲？,600多首,300多首,100多首,A
10,舒伯特共创作了多少部交响曲？,9部,12部,5部,A
11,舒伯特的两部著名的声乐套曲是？,《美丽的磨坊女》和《冬之旅》,《魔王》和《流浪者》,《鳟鱼》和《菩提树》,A
12,舒伯特声乐套曲《美丽的磨坊女》和《冬之旅》的词作都是谁？,缪勒,歌德,席勒,A
13,在舒伯特的艺术歌曲中较为有特色的三种体裁是哪些？,分节歌、修饰分节歌、通谱体歌曲,咏叹调、宣叙调、间奏曲,抒情诗、叙事诗、戏剧性独白,A
14,舒伯特的艺术歌曲《野玫瑰》是一部什么类型的艺术歌曲？,分节歌,修饰分节歌,通谱体歌曲,A
15,在舒伯特的艺术歌曲中，修饰分节歌的代表作品是？,《菩提树》《鳟鱼》,《魔王》《流浪者》,《野玫瑰》《水上音乐》,A
16,舒伯特的《菩提树》是什么歌曲类型？,修饰分节歌,分节歌,通谱体歌曲,A
17,舒伯特的《鳟鱼》是什么歌曲类型？,修饰分节歌,分节歌,通谱体歌曲,A
18,舒伯特的小型歌剧场景式歌曲的代表作有？,《流浪者》,《魔王》,《野玫瑰》,A
19,舒伯特的《流浪者》是什么歌曲类型？,小型歌剧场景式歌曲,分节歌,修饰分节歌,A
20,舒伯特的《魔王》是一部什么类型的作品？,通谱体歌曲,分节歌,修饰分节歌,A
21,舒伯特的《魔王》词作是谁？,歌德,缪勒,席勒,A
22,舒伯特的艺术歌曲的特点有哪些？,大小调之间的转换和三度关系调的转换、色彩化的和声、钢琴伴奏的描绘,单一调性、简单和声、固定节奏型伴奏,复杂的复调写作、大型管弦乐伴奏、多变的节拍,A
23,舒伯特的《菩提树》选自他的哪部作品？,《冬之旅》,《美丽的磨坊女》,《天鹅之歌》,A
24,舒伯特的著名钢琴五重奏是？,《鳟鱼五重奏》,《死亡与少女》,《伟大C大调》,A
25,舒伯特的《鳟鱼五重奏》哪个乐章用了歌曲《鳟鱼》的旋律？,第二乐章慢乐章,第三乐章快板,第一乐章奏鸣曲式,A
26,舒伯特《未完成交响曲》共有几个乐章？,两个,四个,三个,A
27,舒伯特《第八交响曲》的别称是？,《未完成交响曲》,《伟大》,《悲怆》,A
28,《未完成交响曲》是舒伯特第几交响曲？,《第八交响曲》,《第七交响曲》,《第九交响曲》,A
29,舒伯特《c大调交响曲》的别称是？,伟大,《未完成》,《田园》,A
30,舒伯特较为著名的器乐作品都有什么？,《音乐瞬间》《鳟鱼五重奏》9部交响曲,《即兴曲》《变奏曲》《奏鸣曲》,《波兰舞曲》《夜曲》《练习曲》,A
31,舒伯特的艺术歌曲之年是哪年？,1815年,1820年,1828年,A
32,艺术歌曲在浪漫主义时期的第一位大师是？,舒伯特,舒曼,沃尔夫,A
33,艺术歌曲之王是指哪位作曲家？,舒伯特,舒曼,勃拉姆斯,A 
