题号,问题,选项A,选项B,选项C,正确答案
1,明代四大声腔是什么？产生于何地？,海盐腔·浙江海盐、余姚腔·浙江余姚、弋阳腔·江西弋阳、昆山腔·江苏昆山,崑腔·江苏苏州、梆子腔·陕西、皮黄腔·安徽、花鼓腔·湖南,高腔·江西、徽调·安徽、京腔·北京、秦腔·陕西,A
2,明代浙江海盐的海盐腔的语言特点是？,使用官话,使用方言,使用吴语,A
3,使用官话的是哪个四大声腔？,海盐腔,弋阳腔,昆山腔,A
4,明代四大声腔中，风格优雅抒情、腔调婉转、词曲清雅的是什么？,海盐腔,弋阳腔,余姚腔,A
5,明代四大声腔中，吸收各地小调方言土语的声腔是？,弋阳腔,昆山腔,海盐腔,A
6,明代四大声腔中，保持古老的唱、和，即一人清唱，众人用假声翻高八度帮腔的声腔是？,弋阳腔,余姚腔,海盐腔,A
7,明代四大声腔中，哪一声腔用热情奔放，并用打击乐来衬托？,弋阳腔,昆山腔,余姚腔,A
8,明代四大声腔中，哪一声腔集南北曲之大成，吸收众多声腔的长处？,昆山腔,弋阳腔,海盐腔,A
9,昆曲和昆山腔的关系是？,昆曲，原名昆山腔，简称昆腔,昆曲是昆山腔的变体,昆曲是昆山腔的北方版本,A
10,昆曲诞生于何时何地？,明代江苏昆山一带,清代苏州地区,元代江南地区,A
11,昆曲的创始人是谁？,顾坚,魏良辅,梁辰鱼,A
12,谁改进了昆山腔？改成了什么？,魏良辅，水磨调,梁辰鱼，昆曲,顾坚，水磨腔,A
13,魏良辅改进的昆曲水磨调的伴奏乐器是什么？,笛、笙、三弦、琵琶等乐器,京胡、月琴、大鼓等乐器,唢呐、笙、大锣等乐器,A
14,昆山腔中影响最大且奠定昆山腔地位的剧目是？,梁辰鱼《浣纱记》,汤显祖《牡丹亭》,洪昇《长生殿》,A
15,梁辰鱼的昆曲《浣纱记》中，男女主人公分别是？,西施、范蠡（lǐ）,杨贵妃、唐玄宗,杜丽娘、柳梦梅,A
16,明代汤显祖的 临川四梦是？,《紫钗记》《牡丹亭》《南柯记》《邯郸记》,《长生殿》《桃花扇》《西厢记》《琵琶记》,《浣纱记》《长生殿》《西厢记》《桃花扇》,A
17,明代汤显祖的临川四梦属于什么剧种类型？,昆曲,京剧,梆子腔,A
18,明代汤显祖的昆曲临川四梦中，演出率最高的是？,《牡丹亭》,《紫钗记》,《南柯记》,A
19,昆曲《牡丹亭》的别称是什么？,《还魂记》,《梦中情》,《花前月下》,A
20,昆曲《牡丹亭》的男女主角分别是？,男主角：柳梦梅、女主角：杜丽娘,男主角：唐玄宗、女主角：杨贵妃,男主角：范蠡、女主角：西施,A
21,昆曲《长生殿》的作者是？主人公是？,清代·洪昇、杨贵妃、唐玄宗,明代·汤显祖、柳梦梅、杜丽娘,明代·梁辰鱼、西施、范蠡,A
22,根据唐玄宗与杨贵妃的故事编剧而成的昆曲作品是什么？,《长生殿》,《牡丹亭》,《桃花扇》,A
23,昆曲《桃花扇》的作者是？主人公是？,清代·孔尚任、李香君、侯方域,明代·汤显祖、杜丽娘、柳梦梅,清代·洪昇、杨贵妃、唐玄宗,A
24,我国哪个声腔在2001年被联合国教科文组织命名为人类口述和非物质遗产代表作？,昆曲,京剧,粤剧,A
25,在我国戏曲史上，清代花雅之争最终使什么衰落了？,昆曲,京剧,弋阳腔,A
26,奠定京剧形成基础的历史事件是？,乾隆八十寿辰，四大徽班进京献艺,嘉庆年间，三庆班的建立,嘉靖年间，昆山腔的盛行,A
27,乾隆八十寿辰，四大徽班进京献艺，奠定了京剧形成的基础，其中四大徽班是什么？,三庆、四喜、和春、春台,三和、四喜、春台、福寿,春台、四喜、三盛、和庆,A
28,京剧的两种唱腔是？统称为？,西皮、二黄、统称为皮黄腔,高腔、昆腔、统称为京腔,二簧、西调、统称为京调,A
29,梆子腔属于什么体？,板腔体,曲牌体,说唱体,A
30,梆子腔分为什么？,花音和苦音,高腔和低腔,文腔和武腔,A
31,梆子腔的主奏乐器是什么？,板胡、梆子,京胡、月琴,笛子、笙,A
32,秦腔属于梆子腔吗？,属于,不属于,部分属于,A
33,流行于北京天津一带的明清说唱是什么？,京韵大鼓,山东快书,河北梆子,A
34,明清时期的说唱形式有？,鼓词、子弟书、大鼓、弹词,昆腔、皮黄、高腔、梆子,笙歌、诗歌、曲牌、弦索,A
35,鼓词是哪一时期的说唱音乐体裁？,明清时期,唐宋时期,元代时期,A
36,子弟书是哪一时期的说唱音乐体裁？,明清时期,汉代时期,宋元时期,A
37,大鼓是哪一时期的说唱音乐体裁？,明清时期,唐代时期,元代时期,A
38,弹词是哪一时期的说唱音乐体裁？,明清时期,宋代时期,汉代时期,A
39,清代中叶在山东、河北一带兴起的一种说唱形式是？,大鼓,弹词,子弟书,A
40,京韵大鼓的伴奏乐器有哪些？代表人物是谁？,伴奏乐器：三弦、四胡、代表人物：刘宝全,伴奏乐器：琵琶、筝、代表人物：荣斋,伴奏乐器：板胡、梆子、代表人物：华秋苹,A
41,明清说唱形式弹词起源于什么？,宋代的陶真,元代的关汉卿,明代的汤显祖,A
42,弹词代表性的艺术家是谁？,陈遇乾、余秀山、马如飞（并称为陈、余、马三调）,刘宝全、荣斋、华秋苹,徐上瀛、叶堂、蒲松龄,A
43,《九宫大成南北词宫谱》的作者是？,清·允禄,明·汤显祖,清·叶堂,A
44,我国古代研究南北曲音乐较为丰富的曲谱是？,《九宫大成南北词宫谱》,《纳书楹曲谱》,《弦索备考》,A
45,戏曲谱集《纳书楹曲谱》的作者是？,清·叶堂,明·顾坚,清·华秋苹,A
46,我国古代一部重要的戏曲谱集是？,《纳书楹曲谱》,《琵琶谱》,《谿山琴况》,A
47,《华秋苹琵琶谱》（《琵琶谱》）的作者是？,清·华秋苹,清·叶堂,清·荣斋,A
48,我国最早刊印的琵琶谱是？,《华秋苹琵琶谱》,《李芳园琵琶谱》,《弦索备考》,A
