题号,问题,选项A,选项B,选项C,正确答案
1,巴洛克时期的时间范围是什么？其两个标志性事件是什么？,1600年-1750年，第一部完整歌剧《尤里迪西》首演和巴赫去世,1550年-1700年，蒙特威尔第的《奥菲欧》首演和亨德尔去世,1650年-1800年，维瓦尔第的《四季》首演和莫扎特出生,A
2,古典主义时期的时间范围是什么？其标志性事件是什么？,1750年-1827年，巴赫去世和贝多芬去世,1700年-1800年，巴赫去世和莫扎特去世,1770年-1850年，海顿出生和贝多芬去世,A
3,西方音乐史上浪漫主义时期指的是哪一个时期的音乐？,19世纪的音乐,18世纪末到19世纪初的音乐,19世纪末到20世纪初的音乐,A
4,维瓦尔第的代表作是？,《四季》,《水上音乐》,《弥赛亚》,A
5,莫扎特一生中创作了多少部交响曲？,41部,35部,50部,A
6,以下哪部作品是由贝多芬创作的？,《第九交响曲》（合唱）,《魔笛》,《四季》,A
7,浪漫主义音乐的特点是什么？,追求情感表达，主观性强，个性化的表达,强调形式美，理性和平衡,极端的不协和音响和无调性,A
8,巴赫的《十二平均律钢琴曲集》包含了多少首前奏曲和赋格？,48首,24首,36首,A
9,海顿被称为什么乐器类型的父亲？,弦乐四重奏,钢琴奏鸣曲,交响乐,C
10,以下哪位作曲家被称为音乐之父？,巴赫,莫扎特,贝多芬,A
11,西方音乐史划分为哪几个时期？,古希腊、古罗马、中世纪、文艺复兴、巴洛克、古典主义、浪漫/印象主义、20世纪,古代、中世纪、文艺复兴、巴洛克、新古典主义、现代,古代、中世纪、古典主义、浪漫主义、印象主义、表现主义、电子音乐,A
12,浪漫主义的特征包括哪些？,强调个人情感、曲式更大更自由、半音化、音乐和文学紧密联系、音乐的民族性,强调形式美、理性和平衡、简约的织体、音乐与科学紧密联系,重视对比、华丽的装饰音、数字低音、宗教文本为基础,A
13,酒神战胜日神说的是音乐史上的哪个时期？,浪漫主义时期,巴洛克时期,古希腊时期,A
14,20世纪最伟大的小提琴家是？,海菲兹,帕格尼尼,阿格里奇,A
15,19世纪最伟大的小提琴家是？,帕格尼尼,海菲兹,克莱斯勒,A
16,被称为圆舞曲之王的是？,小约翰·施特劳斯,老约翰·斯特劳斯,肖邦,A
17,《拉德茨基进行曲》的作者是？,老约翰·斯特劳斯,小约翰·施特劳斯,威尔第,A
18,《蓝色多瑙河》的作者是？,小约翰·施特劳斯,老约翰·斯特劳斯,勃拉姆斯,A
19,杜卡最有名的作品是？,《小巫师》,《海上钢琴曲》,《图画展览会》,A
20,小泽征尔、卡拉扬的职业是？,指挥家,钢琴家,作曲家,A
21,马勒的职业是？,作曲家、指挥家,小提琴家、教育家,钢琴家、音乐理论家,A
22,霍洛维茨和巴伦博伊姆的职业是？,钢琴家,指挥家,歌唱家,A
23,阿格里奇和波利尼的职业是？,钢琴家,小提琴家,指挥家,A
24,海菲兹和帕格尼尼的职业是？,小提琴家,钢琴家,歌唱家,A
25,玛利亚·卡拉斯和帕瓦罗蒂的职业是？,歌唱家,指挥家,小提琴家,A
26,《新鲜的草莓／巴黎的早昏／说到打谷脱粒》是什么体裁的作品？,经文歌,牧歌,巴拉塔,A
27,《愤怒的命运女神／盗贼们的阴谋／我们命该受苦》是谁的什么作品？,维特里的等节奏经文歌,蒙特威尔第的牧歌,兰迪尼的巴拉塔,A
28,《只有她能数天上的星》是谁的什么作品？,马肖的叙事歌,维特里的经文歌,拉索的经文歌,A
29,《我是一只风凰》是谁的什么作品？,雅克布·达·波隆尼业的牧歌,兰迪尼的巴拉塔,马肖的叙事歌,A
30,《爱神啊，把那个姑娘的爱给我吧》是谁的什么作品？,兰迪尼的巴拉塔,马肖的叙事歌,邓斯泰布尔的经文歌,A
31,《你是多么美丽，多么可爱》是谁的什么作品？,邓斯泰布尔的经文歌,阿卡代尔特的牧歌,蒙特威尔第的牧歌,A
32,《洁白而温顺的天鹅》是谁的什么作品？,阿卡代尔特的牧歌,雅克布·达·波隆尼业的牧歌,蒙特威尔第的牧歌,A
33,《残酷的牧羊女》是谁的什么作品？,蒙特威尔第的牧歌,兰迪尼的巴拉塔,马丁·路德的众赞歌,A
34,《意大利舞曲》是什么体裁的作品？,琉特琴曲,经文歌,巴拉塔,A
35,《上帝是我们的坚固堡垒》是谁的什么作品？,马丁·路德的众赞歌,拉索的经文歌,G·加布里埃利的作品,A
36,《女巫的预言》是谁的什么作品？,拉索的经文歌,维特里的经文歌,兰迪尼的巴拉塔,A
37,《坎佐纳》是谁的作品？,G·加布里埃利,李斯特,罗西尼,A
38,《玛捷帕》是谁的作品？选自哪儿？,李斯特的《超级练习曲》,肖邦的《练习曲》,穆索尔斯基的《展览会之画》,A
39,著名唱段刚才我听到一个声音，选自谁的什么作品？,罗西尼的《塞维利亚的理发师》,莫扎特的《费加罗的婚礼》,威尔第的《奥赛罗》,A
40,《挪威舞曲》是谁的作品？,格里格,西贝柳斯,德沃夏克,A
41,《瓦尔拉姆之歌》选自谁的什么作品？,穆索尔斯基的歌剧《包里斯·戈都诺夫》,柴可夫斯基的歌剧《叶甫盖尼·奥涅金》,格林卡的歌剧《鲁斯兰与柳德米拉》,A
42,古希腊文明兴起于何时何地？,公元前2000年希腊南端的克里特岛,公元前1000年雅典城邦,公元前3000年地中海沿岸,A
43,古希腊两种常用的乐器来自于哪儿？,小亚细亚,埃及,波斯,A
44,中世纪的时间范围是？,476年至15世纪,200年至1000年,1000年至1400年,A
45,罗马的宗教仪式在何时被西欧各地普遍采用，各种圣咏也开始罗马化？,9世纪,7世纪,11世纪,A
46,中世纪圣咏调式系统的目的是？于何时完成？,对已有的圣咏进行分类而不提供新的理论基础，11世纪完成,创建新的作曲方法，9世纪完成,改革宗教音乐的表现形式，12世纪完成,A
47,最早的圣咏手抄本是什么时候出现的？,9世纪,7世纪,11世纪,A
48,圣咏在什么时候用四线谱记谱？,11世纪,9世纪,13世纪,A
49,规多·达莱佐是什么时代的音乐家？,11世纪,9世纪,13世纪,A
50,现存最早的中世纪世俗音乐是什么？保存在哪儿？内容是什么？,《卡米纳·布拉纳》保存在德国博伊伦修道院的13世纪手稿中，内容是爱情、酒、教会,《特鲁瓦的诗集》保存在法国巴黎的12世纪手稿中，内容是骑士精神和爱情,《坎蒂加》保存在西班牙托莱多的14世纪手稿中，内容是宗教赞美诗,A
51,花腔奥尔加农和迪斯康特奥尔加农源于什么？,12世纪法国南部的圣马蒂亚复调（阿奎坦复调）,10世纪英国的圣埃蒂尔伍德复调,14世纪意大利的圣马可复调,A
