题号,问题,选项A,选项B,选项C,正确答案
1,西方音乐的历史最早可以追溯到哪个古代文明？,古希腊,古罗马,古埃及,A
2,古希腊音乐理论家亚里丝多塞诺斯使用测振器主要测量什么音乐要素？,音阶,音高,节奏,A
3,古希腊基督教会的主要仪式音乐形式是什么？,圣咏,弥撒,清唱剧,A
4,西方音乐史上最早出现的记谱法是什么？,符号谱,线条谱,数字谱,A
5,中世纪游吟诗人（troubadours）创作的歌曲主题主要是什么？,宫廷之恋,宗教赞美,战争英雄,A
6,中世纪多声部音乐中，同时演唱两个不同音高的现象被称为什么？,奥尔加农,迪斯康特,法尔索博尔多内,A
7,巴黎圣母院乐派中，迪斯康特技法的最杰出代表者是谁？,佩罗坦,莱昂宁,马肖,A
8,中世纪格列高利经文歌是由什么音乐形式演变而来的？,克劳苏拉,塔利亚,卡农,A
9,14世纪新艺术运动中，节奏不断重复的技法被称为什么？,塔利亚,克劳苏拉,奥尔加农,A
10,意大利中世纪作曲家兰迪尼创造的终止式其特点是什么？,下六度然后回三度至主音,下五度然后上八度,下七度然后上二度,A
11,早期文艺复兴时期英国最重要的作曲家是谁？,邓斯泰伯尔,道兰,帕赛尔,A
12,15世纪文艺复兴时期最重要的弥撒形式是什么？,定旋律弥撒,自由弥撒,模仿弥撒,A
13,西方音乐史上乐谱首次使用活字印刷技术出现在哪个时期？,文艺复兴,巴洛克,古典主义,A
14,下列哪位作曲家不属于晚期意大利牧歌的代表人物？,罗尔（中期）,玛伦齐奥,杰苏亚尔多,A
15,巴洛克时期两种风格（Prima Pratica和Seconda Pratica）理论的首倡者是谁？,蒙特威尔第,法国吕利,格鲁克,A
16,16世纪宗教改革运动在音乐上最重要的成就是创立了什么音乐形式？,众赞歌,弥撒,清唱剧,A
17,与天主教反宗教改革运动最密切相关的作曲家是谁？,帕莱斯特里那,拉索,乔斯坎,A
18,法国尚松（chanson）中描绘性风格的代表作曲家是谁？,雅内坎,帕莱斯特里那,比尔德,A
19,文艺复兴时期英国最重要的世俗音乐形式是什么？,琉特琴歌,牧歌,狂想曲,A
20,歌剧的诞生与佛罗伦萨哪个文艺学术团体密切相关？,卡梅拉塔,新艺术,佛兰德乐派,A
21,历史上最早完整保存下来的歌剧作品是哪一部？,《尤里迪茜》,《奥菲欧》,《波佩亚的加冕》,A
22,那波利歌剧乐派的代表人物是谁？,亚历山德罗·斯卡拉蒂,蒙特威尔第,亨德尔,A
23,巴洛克时期法国歌剧的正式名称是什么？,抒情悲剧,歌剧布法,正歌剧,A
24,巴洛克时期清唱剧（oratorio）这一名称的词源来自于什么场所？,祈祷室,教堂,礼拜堂,A
25,巴洛克时期古钢琴组曲中，哪一舞曲通常为慢速三拍子？,萨拉班德,库朗特,吉格,A
26,17世纪教堂奏鸣曲（sonata da chiesa）的典型速度安排是什么？,慢-快-慢-快,快-慢-快,慢-快-慢,A
27,巴洛克时期大协奏曲（concerto grosso）中的独奏者小组被称为什么？,主奏部,合奏部,对抗部,A
28,著名的《哈利路亚》合唱曲选自亨德尔的哪部作品？,《弥赛亚》,《受难曲》,《创世纪》,A
29,巴赫晚期主要在哪座城市生活和工作？,莱比锡,科滕,魏玛,A
30,巴赫《平均律钢琴曲集》中共包含多少首前奏曲与赋格？,48,24,96,A
31,古典主义早期意大利喜歌剧（opera buffa）的代表作是哪一部？,《女仆做夫人》,《费加罗的婚礼》,《魔笛》,A
32,早期交响曲通常由几个乐章组成？,三,四,五,A
33,18世纪曼海姆乐派的创始人是谁？,约翰·施塔米兹,海顿,莫扎特,A
34,海顿交响曲创作的顶峰之作被称为什么？,伦敦交响曲,巴黎交响曲,告别交响曲,A
35,莫扎特一生中最重要的创作时期是在哪座城市度过的？,维也纳,萨尔茨堡,慕尼黑,A
36,莫扎特一生中大约创作了多少部作品？,600多,300多,900多,A
37,莫扎特创作的最后一部歌剧作品是哪一部？,《魔笛》,《唐璜》,《费加罗的婚礼》,A
38,贝多芬一生中唯一创作的歌剧作品是哪一部？,《费德里奥》,《魔笛》,《唐璜》,A
39,贝多芬第九交响曲最重要的创新特点是什么？,末乐章使用独唱加合唱的人声,采用了钢琴独奏,融合了古典主义与浪漫主义的风格,A
40,下列哪部作品属于舒伯特的通谱体艺术歌曲？,《魔王》,《月光》奏鸣曲,《田园》交响曲,A
41,舒伯特创作的著名室内乐作品是哪一部？,《鳟鱼五重奏》,《死亡与少女》,《冬日之旅》,A
42,舒伯特的《未完成交响曲》由几个乐章组成？,二,三,四,A
43,门德尔松在音乐史上首创的音乐体裁是什么？,音乐会序曲,交响诗,标题音乐,A
44,门德尔松创作的48首重要钢琴作品集是什么？,《无词歌》,《小夜曲》,《船歌》,A
45,舒曼创作的重要艺术歌曲集包括哪一部？,《诗人之恋》,《冬日之旅》,《美丽的磨坊女》,A
46,肖邦因其钢琴创作风格而被音乐评论家称为什么？,钢琴诗人,钢琴王子,钢琴魔术师,A
47,李斯特的交响诗《前奏曲》受到哪位诗人作品的影响？,拉马丁,雨果,歌德,A
48,勃拉姆斯的《德意志安魂曲》是根据什么文本创作的？,德文《圣经》,拉丁文《圣经》,德国民歌,A
49,标志着德国浪漫主义歌剧开端的作品是哪一部？,《魔弹射手》,《罗恩格林》,《尼伯龙根的指环》,A
