题号,问题,选项A,选项B,选项C,正确答案
1,传说黄帝时期的哪位乐官取昆仑之竹并凤凰鸣叫创造了十二律音高？,伶伦,苍颉,仓颉,A
2,《吕氏春秋》记载的最早的一则关于作律的传说是？,伶伦作律,黄帝作乐,葛天氏乐舞,A
3,远古时期的《弹歌》记录于哪本书籍？,《吴越春秋》,《礼记》,《尚书》,A
4,《吴越春秋》记载的 断竹、续竹、飞土、逐宍反映了什么？该曲名为？,原始狩猎生活《弹歌》,原始农耕生活《八阕》,祭祀活动《蜡辞》,A
5,先秦时期的《弹歌》 断竹、续竹、飞土、逐宍选自哪本著作？,《吴越春秋》,《吕氏春秋》,《礼记》,A
6,先秦时期，《吕氏春秋》中昔葛天氏之乐反映了什么？该曲名为？,原始农牧生活《八阕》,原始狩猎生活《弹歌》,祭祀活动《蜡辞》,A
7,先秦时期的《八阕》昔葛天氏之乐选自哪本著作？,《吕氏春秋》,《吴越春秋》,《礼记》,A
8,先秦时期《八阕》 昔葛天氏之乐 反映了什么？,原始农牧生活,原始狩猎生活,祭祀活动,A
9,先秦时期《弹歌》 断竹、续竹、飞土、逐宍反映了什么？,原始狩猎生活,原始农牧生活,祭祀活动,A
10,先秦时期，古代祭歌《蜡辞》记录于哪本文献？,《礼记》,《吕氏春秋》,《吴越春秋》,A
11,先秦时期，古代祭歌《蜡辞》是哪个部落的音乐？,伊耆氏,葛天氏,黄帝氏,A
12,先秦时期《礼记》中记载的《蜡辞》是一首怎样的音乐？,古代祭歌,狩猎歌谣,农作歌曲,A
13,商代音乐的特点是？,巫风盛行,民间歌谣兴盛,宫廷音乐发达,A
14,我国音乐文化可考的历史可上溯至何时？,新石器时代,旧石器时代,商周时代,A
15,远古、夏商时期的乐器主要包括？,打击乐器、吹奏乐器,弹拨乐器、管风琴,弦乐器、键盘乐器,A
16,原始时期最早出现的乐器是？,打击乐器,吹奏乐器,弹拨乐器,A
17,山西襄汾陶寺夏文化遗址出土的鼍鼓是用什么材料制成的？,扬子鳄的皮,牛皮,木材,A
18,我国最早的打击乐器鼍鼓出土于哪儿？,山西襄汾陶寺夏文化遗址,河南安阳武官村,浙江余姚河姆渡,A
19,商代虎纹大石磬出土于哪儿？,河南安阳武官村,山西襄汾陶寺,湖南长沙,A
20,河南安阳武官村出土了什么？,商代虎纹大石磬,贾湖骨笛,编铙,A
21,河南安阳武官村出土的虎纹大石磬是哪个时期的？,商代,新石器时代,春秋战国,A
22,河南安阳武官村出土的虎纹大石磬是一种什么乐器？,石制的打击乐器,吹奏乐器,弹拨乐器,A
23,现存于故宫博物院的商代三枚一组的编磬铭文分别是？,永启、夭余、永余,大吉、祥瑞、永乐,天地、人和、至宝,A
24,故宫博物院的商代三枚一组的编磬出土于哪儿？,殷墟（河南安阳）,山西襄汾,浙江余姚,A
25,河南安阳妇好墓出土了什么乐器？,商代编铙,战国编钟,夏代骨笛,A
26,河南安阳妇好墓出土的商代编铙的数量特点是？,5件，且是唯一5件一组,3件一组,7件一组,A
27,河南安阳妇好墓出土的商代编铙是什么类型的乐器？,钟类乐器,陶制乐器,弦乐器,A
28,五件一组的商代编铙出土于？,河南安阳妇好墓,山西襄汾,浙江余姚,A
29,湖南出土的商代钟类乐器最大、最重的钟类乐器是？,兽面纹大铙,编磬,鼍鼓,A
30,湖南出土的兽面纹大铙是什么类型的乐器？,钟类乐器,石制乐器,骨制乐器,A
31,商代兽面纹大铙出土于哪儿？,湖南,河南,山西,A
32,贾湖骨笛距今多少年？,9000年,5000年,7000年,A
33,贾湖骨笛是用什么材料制成的？,丹顶鹤的翅骨,竹子,石头,A
34,贾湖骨笛保存最完整的是几音孔？,7音孔,5音孔,9音孔,A
35,我国现今已出土了多少支骨笛？,45支,30支,60支,A
36,贾湖骨笛出土于哪儿？,河南省舞阳县贾湖村,浙江余姚河姆渡,山西襄汾,A
37,贾湖骨笛属于哪种文化？,仰韶文化中的裴李岗文化,龙山文化,河姆渡文化,A
38,最早的陶钟出土于哪儿？,陕西龙山文化遗址,河南安阳小屯,浙江余姚河姆渡,A
39,距今7000年的骨哨和距今6000年的一吹孔埙出土于哪儿？,浙江余姚河姆渡,河南舞阳贾湖村,山西襄汾,A
40,浙江余姚河姆渡出土的骨哨距今多少年？,7000年,5000年,9000年,A
41,浙江余姚河姆渡出土的一吹孔埙距今多少年？,6000年,4000年,8000年,A
42,什么乐器在河南安阳小屯出土，并且已经在十一个音之间构成半音关系，只差一个音就能构成十二律？,陶埙,骨笛,编钟,A
43,只差一个音就能构成十二律的商代陶埙出土于？,河南安阳小屯,浙江余姚河姆渡,陕西龙山文化遗址,A
44,什么乐器是排箫的前身？,籥（yuè）,埙,琴,A
45,籥发展成了什么？,排箫,箜篌,琵琶,A
46,先秦时期的歌手都有谁？,师乙、秦青、韩娥,师旷、师涓、师襄,孔子、子贡、子路,A
47,余音绕梁，三日不绝是指战国时期哪位韩国民间歌手？,韩娥,秦青,师乙,A
48,不仅有政治见解，而且演奏技艺精湛是指春秋晋国哪位著名宫廷乐师？,师旷,师襄,伯牙,A
49,孔子曾与春秋卫国的哪位著名琴师学琴？,师襄,师旷,师涓,A
50,先秦时期的古琴演奏家有？,师旷、师涓、师襄、伯牙,韩娥、秦青、师乙,孔子、子贡、曾参,A
51,孔子的学生子贡曾向春秋哪位著名乐师和歌手学习过唱歌？,师乙,韩娥,秦青,A
52,言之不足，故长言之出自哪位春秋时期的著名乐师之口？,师乙,师旷,伯牙,A
53,《列子》记载过战国时期哪位著名歌手教人唱歌的故事？,秦青,韩娥,师乙,A 
