题号,问题,选项A,选项B,选项C,正确答案
1,钢琴曲《花鼓》的曲作者是？,瞿维,陈培勋,储望华,A
2,钢琴曲《翻身的日子》的作曲是？,储望华,丁善德,瞿维,A
3,钢琴曲《第一新疆舞曲》、《第二新疆舞曲》的作曲是？,丁善德,储望华,王建中,A
4,钢琴曲《卖杂货》的曲作者是？,陈培勋,瞿维,汪立三,A
5,我国第一部探索具有民族复调风格的钢琴作品是谁的什么作品？,罗忠镕《前奏曲与赋格五首》,黎英海《夕阳箫鼓》,朱践耳《序曲二号·流水》,A
6,钢琴曲《夕阳箫鼓》是由谁改编的？,黎英海,王建中,刘敦南,A
7,钢琴协奏曲《黄河》改编自哪部作品？,冼星海《黄河大合唱》,贺绿汀《游击队歌》,丁善德《新疆舞曲》,A
8,钢琴协奏曲《黄河》创作于哪一时期？,1970年左右（文革期间）,1949年新中国成立初期,1980年改革开放初期,A
9,钢琴协奏曲《黄河》共几个乐章？,四个乐章,三个乐章,五个乐章,A
10,钢琴协奏曲《黄河》的首演者是？,殷承宗,刘诗昆,傅聪,A
11,钢琴曲《东山魁夷画意》是谁的作品？,汪立三,赵晓生,王建中,A
12,钢琴曲《太极》是谁的作品？,赵晓生,刘敦南,朱践耳,A
13,赵晓生的《太极》运用了什么作曲技法？,太极作曲系统,十二音列技法,新古典主义技法,A
14,钢琴协奏曲《山林》是谁的作品？,刘敦南,朱践耳,储望华,A
15,钢琴曲《百鸟朝凤》是由谁改编的？,王建中,黎英海,赵晓生,A
16,钢琴曲《梅花三弄》是由谁改编的？,王建中,黎英海,汪立三,A
17,钢琴曲《彩云追月》是由谁改编的？,王建中,瞿维,刘敦南,A
18,钢琴曲《序曲二号·流水》的作者是？,朱践耳,赵晓生,罗忠镕,A 
