题号,问题,选项A,选项B,选项C,正确答案
1,维也纳古典乐派的两位代表性作曲家是？,海顿、莫扎特,巴赫、亨德尔,瓦格纳、李斯特,A
2,在艺术保护人制度下度过一生的最后一位作曲大师是？,海顿,莫扎特,贝多芬,A
3,海顿是哪国人？,奥地利,德国,意大利,A
4,被誉为交响曲之父、弦乐四重奏之父的是？,海顿,莫扎特,贝多芬,A
5,资助海顿的贵族家庭是？,埃斯特哈齐亲王,利希诺夫斯基亲王,拉祖莫夫斯基伯爵,A
6,海顿为埃斯特哈齐亲王服务了多少年？担任什么职位？,30年、乐长,20年、宫廷音乐家,40年、私人教师,A
7,在音乐经纪人萨洛蒙的安排下，海顿完成的一套交响曲是？,12首《伦敦交响曲》,9首《巴黎交响曲》,6首《米兰交响曲》,A
8,海顿共创作了多少部交响曲？,104部,41部,9部,A
9,海顿共创作了多少部弦乐四重奏？,68部,23部,32部,A
10,海顿最重要的创作题材是？,弦乐四重奏和交响曲,歌剧和清唱剧,钢琴协奏曲和小提琴协奏曲,A
11,海顿从第几交响曲开始采用四个乐章的格式？,第三交响曲,第一交响曲,第七交响曲,A
12,海顿的交响曲有什么特点？,慢乐章使用小号、定音鼓、单簧管、第一乐章慢引子更长、终曲为奏鸣曲式或回旋奏鸣曲式,没有慢引子、不使用铜管乐器、终曲多为变奏曲式,大量使用对位法、忽略木管乐器、终曲多为赋格曲式,A
13,海顿交响曲的终曲一般用什么曲式？,奏鸣曲式或回旋奏鸣曲式,变奏曲式,赋格曲式,A
14,海顿的第94号交响曲是？,《惊愕》交响曲,《军队》交响曲,《告别》交响曲,A
15,海顿第45号交响曲是？,《告别》交响曲,《惊愕》交响曲,《钟》交响曲,A
16,古典时期最重要的室内乐体裁是？,弦乐四重奏,钢琴三重奏,木管五重奏,A
17,海顿的弦乐四重奏有什么特点？,四个乐章、大提琴更重要、晚期作品更有交响性,三个乐章、小提琴独奏性强、早期作品更具戏剧性,五个乐章、中提琴更加突出、中期作品最为成熟,A
18,海顿弦乐四重奏的巅峰之作是？别称是？,Op. 76、《皇帝弦乐四重奏》,Op. 33、《俄罗斯弦乐四重奏》,Op. 20、《太阳弦乐四重奏》,A
19,海顿的哪一首弦乐四重奏主题被写成了奥匈帝国的国歌（现德国国歌）？,《皇帝弦乐四重奏》,《俄罗斯弦乐四重奏》,《太阳弦乐四重奏》,A
