题号,问题,选项A,选项B,选项C,正确答案
1,现今看到最完整的古希腊音乐词曲刻在哪个国家发现的墓碑上？,土耳其,希腊,埃及,A
2,《梅索梅德斯的缪斯赞美诗》共有多少首？,三,四,五,A
3,古罗马时期产生的最早的管风琴称为什么？,水压风琴,气鸣风琴,管道风琴,A
4,和谐论的作者是谁？,毕达哥拉斯,亚里士多德,柏拉图,A
5,古希腊音乐理论最后一位重要的解释者,提出天体的音乐的音乐理论家是谁？,托勒密,亚里士多德,欧几里得,A
6,柏拉图称哪位抒情诗人为第十位缪斯？,萨福,梅索梅德斯,品达,A
7,古希腊的调式理论一共有几种？,7种,5种,9种,A
8,古希腊的调式理论中没有下列哪种调式？,副混合利第亚,弗里几亚,多利亚,A
9,中世纪在西方音乐史上通常是指哪个时期？,5至14世纪未,3至10世纪,7至15世纪,A
10,罗马教皇格里高利一世选编的《唱经歌集》被后人称为格里高利圣咏最初出现于哪个世纪？,6世纪,7世纪,5世纪,A
11,素歌是指什么？,格里高利圣咏,吟诵词,圣诗,A
12,格里高利圣咏是无伴奏的纯什么声部音乐形式？,男声、单声,混声、多声,童声、合唱,A
13,素歌歌词采用哪种语言形式？,拉丁文,希腊文,德文,A
14,以下哪项不属于格里高利圣咏的特征？,有节奏标记,无伴奏,单声部,A
15,根据旋律和歌词的搭配情况,素歌分为三种风格, 下列哪种风格不在其列？,交普式,音节式,纽姆式,A
16,一个音节对2到5个音符的圣咏段落叫做什么？,纽姆式,音节式,美丽式,A
17,格里高利圣咏有哪种歌唱形式不包括？,A.独唱或齐唱B.交替C.合唱D.应答,A.独唱B.应答C.齐唱D.对位,A.独唱B.重唱C.合唱D.齐唱,A
18,中世纪基督教会最重要和公开的仪式是什么？,弥撒,告解,圣餐,A
19,教会调式理论是在哪个世纪确立的？,11,9,13,A
20,圣咏扩展的三种类型是附加段、什么和宗教剧？,继叙咏,经文歌,清唱剧,A
21,中世纪的记谱法纽姆谱诞生于哪个世纪,又在哪个世纪被普遍使用？,8、9,7、8,9、10,A
22,规多手诞生于哪个世纪？,11,12,10,A
23,哪个世纪的弗朗科有量记谱法有音高有节奏,以个别音符的形状和它们的时值关系为基础,有3种音符时值？,13,12,14,A
24,华丽奥尔加农产生于哪个世纪？,12,11,13,A
25,第斯康特运用节奏模式,共有多少种节奏型？,6,5,7,A
26,加了节奏模式的奥尔加农成为什么？,第斯康特,孔杜克图斯,经文歌,A
27,孔杜克图斯主要流行于哪个时期？,12至13世纪,11至12世纪,13至14世纪,A
28,经文歌产生于哪个世纪并于该世纪下半叶最流行？,13,12,14,A
29,晚期中世纪的复调中心在哪里？,巴黎圣母院,圣彼得大教堂,诺特丹大教堂,A
30,12、13世纪巴黎圣母院乐派中对华丽奥尔加农做出贡献,把华丽奥尔加农上发展到顶峰的是谁？,莱奥南,佩罗廷,马肖,A
31,法国南部的游吟诗人的歌词用普罗旺斯语即什么？,奥克语,欧伊尔语,拉丁语,A
32,《卡米纳·布拉那》意为《博伊伦之歌》是一本包200多首世俗诗歌的选集,保存在哪个世纪德国博伊伦修道院的一份世俗歌曲手稿中,20C奥尔夫以根据其中的一些诗歌创作了清唱剧《卡米纳·布拉那》(《啊,命运》)？,13,12,14,A
33,新艺术特指的是14世纪哪个国家的音乐？,法国,意大利,英国,A
34,有记载新艺术相关的最早乐谱叫什么？,《弗威尔的传奇》,《卡米纳·布拉那》,《圣母颂》,A
35,新艺术出现的新的对位音响称为什么,也即自然音级之外的变化音？,伪音,假音,对音,A
36,马肖共创作了多少首经文歌,其中20首是等节奏经文歌,经常出现分解旋律？,23,25,30,A
37,第一次把常规弥撒各段落视为一个整体来统一构思的是谁？,马肖,若斯堪,兰迪尼,A
38,巴拉塔与猎歌属于哪个国家的世俗音乐？,意大利,法国,英国,A
39,下列不属于14C意大利复调音乐主要世俗体裁的是哪一项？ A.维勒莱B.牧歌C.猎歌D.巴拉塔,A,B,C,A
40,哪种音乐形式通常二到三声部,用于伴舞？,巴拉塔,猎歌,牧歌,A
41,兰迪尼是14C后半叶最著名的哪个国家的盲人音乐家？,意大利,法国,英国,A
42,兰迪尼绝大部分作品为什么形式？,巴拉塔,猎歌,牧歌,A
43,《爱神啊,把那个姑娘的爱还给我吧》属于什么音乐形式？,巴拉塔,猎歌,维勒莱,A
44,佛罗伦萨藏有的《斯考契亚鲁皮手抄本》是哪个世纪最重要的一本乐谱？,14C,13C,15C,A
45,什么乐器是中世纪最典型的拨弦乐器？,竖琴,鲁特琴,维奥尔琴,A
46,15世纪前20年,在欧洲北方的作曲家被称为什么？,勃良第乐派,巴黎圣母院乐派,诺特丹乐派,A
47,杜费奠定了哪种体裁的范式？,弥撒曲,经文歌,康塔塔,A
48,若斯堪有多少首经文歌,代表作有《圣母颂》？,100,90,110,A
49,若斯堪有多少首弥撒曲？,18,15,20,A
50,若斯堪有多少首世俗声乐作品？,70,60,80,A
51,音乐对一个词或一个句子进行音画式的表现,此种创作手法被称为什么,是诺斯坎后期创作的一种手法,在诺斯堪的音乐创作中广泛使用？,绘词法,对位法,音画法,A 
