题号,问题,选项A,选项B,选项C,正确答案
1,巴赫是哪国人？,德国,法国,意大利,A
2,巴赫共有多少首作品？,上千首,几百首,不到一百首,A
3,巴赫的创作中除了什么之外，涉及到了当时所有的音乐体裁？,歌剧,清唱剧,协奏曲,A
4,西方音乐史上，哪位作曲家的创作大都由其职位所决定？,巴赫,亨德尔,维瓦尔第,A
5,巴赫大部分管风琴作品都是在哪儿创作的？,阿恩施塔特和魏玛时期,莱比锡时期,科滕时期,A
6,巴赫大部分古钢琴和其他器乐题材是在哪儿创作的？,科滕担任宫廷乐长期间,莱比锡时期,阿恩施塔特时期,A
7,巴赫在哪儿担任过管风琴乐师？,阿恩施塔特和魏玛时期,莱比锡和科滕时期,汉堡和德累斯顿时期,A
8,巴赫人生最后一个职位是在哪个城市？,莱比锡,柏林,德累斯顿,A
9,巴赫人生最后一个职位是？,圣托马斯学校的教堂乐监和莱比锡市的音乐指导,科滕宫廷乐长,魏玛宫廷管风琴师,A
10,他的音乐不是小溪而是大海是谁对巴赫的评价？,贝多芬,莫扎特,海顿,A
11,巴赫大部分的康塔塔和宗教音乐作品都是在哪儿写的？,莱比锡,科滕,魏玛,A
12,巴赫最擅长的乐器是？,管风琴,小提琴,大键琴,A
13,巴赫的管风琴创作可分为哪两类？最重要的形式是？,托卡塔与赋格、众赞歌为基础的作品,前奏曲与赋格、幻想曲,幻想曲与赋格、协奏曲,A
14,巴赫所创作的题材托卡塔与赋格遵循了谁的创作先例？,布克斯特胡德,帕赫贝尔,弗雷斯科巴尔迪,A
15,《平均律钢琴曲集》有几卷？各有前奏曲与赋格？,2卷各24首,3卷各12首,4卷各10首,A
16,巴赫《平均律钢琴曲集》一共多少首？,共48首，24首前奏曲，24首赋格,共60首，30首前奏曲，30首赋格,共36首，18首前奏曲，18首赋格,A
17,巴赫《平均律钢琴曲集·第一卷》出版于哪年？,1722年,1700年,1750年,A
18,巴赫所创作的古钢琴作品中，被称为钢琴家的旧约全书的是？,两卷《平均律钢琴曲集》,《哥德堡变奏曲》,《英国组曲》,A
19,在音乐史上，1722年发生了什么？,巴赫出版《平均律钢琴曲集·第一卷》、拉莫出版《和声学》,亨德尔创作《弥赛亚》、巴赫逝世,维瓦尔第创作《四季》、泰勒曼出版第一部自传,A
20,巴赫的古钢琴组曲较为著名的分别有哪些？,《英国组曲》、《法国组曲》、《哥德堡变奏曲》,《意大利组曲》、《德国组曲》、《西班牙组曲》,《波兰组曲》、《匈牙利组曲》、《俄罗斯组曲》,A
21,《哥德堡变奏曲》是巴赫在哪儿创作的古钢琴作品？,莱比锡,科滕,阿恩施塔特,A
22,巴赫的《哥德堡变奏曲》共有多少个变奏？,30个,24个,12个,A
23,巴赫的《哥德堡变奏曲》是以一首以什么为低音线条为基础创作？,萨拉班德舞曲,吉格舞曲,库朗特舞曲,A
24,巴赫在协奏曲方面的代表作是？,《六首勃兰登堡协奏曲》,《四季小提琴协奏曲》,《布兰登堡交响曲》,A
25,巴赫的《勃兰登堡协奏曲》一共多少首？,6首,4首,12首,A
26,最早为一架或两架羽管键琴写作协奏曲的作曲家是？,巴赫,亨德尔,斯卡拉蒂,A
27,巴赫晚年两部重要作品是？,《音乐的奉献》、《赋格的艺术》,《b小调弥撒》、《约翰受难乐》,《勃兰登堡协奏曲》、《英国组曲》,A
28,巴赫生前未完成的最后一部作品是？,《赋格的艺术》,《b小调弥撒》,《音乐的奉献》,A
29,巴赫人生中最后一部作品是？,《赋格的艺术》,《b小调弥撒》,《马太受难乐》,A
30,巴赫《音乐的奉献》采用谁给的主题？,普鲁士腓德烈大帝,奥地利皇帝,法国路易十四,A
31,巴赫的创作中把巴洛克赋格题材发挥到极致的一部作品是？,《赋格的艺术》,《平均律钢琴曲集》,《音乐的奉献》,A
32,巴赫的声乐作品集中创作于哪个时期？,莱比锡时期,科滕时期,阿恩施塔特时期,A
33,巴赫为莱比锡的几个主要教堂创作了四套可供教会年使用的什么类型的音乐作品？,康塔塔,清唱剧,弥撒,A
34,巴赫的康塔塔共有多少首保存至今？,200多首,100多首,50多首,A
35,巴赫的声乐作品中较为重要的两部康塔塔作品是？,《咖啡康塔塔》、《农民康塔塔》,《婚礼康塔塔》、《圣诞康塔塔》,《复活节康塔塔》、《新年康塔塔》,A
36,巴赫所创作的清唱剧风格的受难乐是哪两部作品？,《马太受难乐》、《约翰受难乐》,《路加受难乐》、《马可受难乐》,《以赛亚受难乐》、《耶利米受难乐》,A
37,巴赫为莱比锡教堂在受难节期间仪式演唱需要而创作的两部受难乐作品是？,《马太受难乐》、《约翰受难乐》,《路加受难乐》、《马可受难乐》,《以赛亚受难乐》、《耶利米受难乐》,A
38,巴赫晚年用自己以前的作品汇集而成的一部弥撒作品是？,《b小调弥撒》,《C大调弥撒》,《d小调安魂曲》,A
39,在19世纪，激发起人们对巴赫的兴趣，使得巴赫复兴的一个事件是？,1829年门德尔松在柏林指挥《马太受难乐》,1839年舒曼在莱比锡发现巴赫手稿,1810年贝多芬在维也纳演奏《平均律钢琴曲集》,A
40,巴赫的《勃兰登堡协奏曲》是什么体裁的协奏曲？,大协奏曲,独奏协奏曲,三重协奏曲,A
41,巴洛克音乐最重要的代表人物是？,亨德尔、巴赫,维瓦尔第、泰勒曼,科雷利、斯卡拉蒂,A
42,亨德尔是哪国人？,出生于德国、后加入英国国籍,出生于奥地利、后加入意大利国籍,出生于法国、后加入西班牙国籍,A
43,哪位作曲家被任命为德国汉诺威选帝侯的宫廷乐长并访问英国？,亨德尔,巴赫,泰勒曼,A
44,亨德尔的第一部清唱剧是？,《扫罗》,《弥赛亚》,《耶夫他》,A
45,亨德尔的清唱剧在中场休息时即兴演奏什么乐器？,管风琴,羽管键琴,小提琴,A
46,亨德尔在伦敦早期主要创作什么类型的音乐？,歌剧,清唱剧,协奏曲,A
47,亨德尔具有代表性的三部清唱剧作品是？,《以色列人在埃及》、《犹大马加比》、《耶夫他》,《弥赛亚》、《参孙》、《扫罗》,《所罗门》、《亚历山大盛宴》、《埃及的黑暗》,A
48,《皇家焰火音乐》的作者是？,亨德尔,巴赫,维瓦尔第,A
49,《水上音乐》的作者是？,亨德尔,巴赫,维瓦尔第,A
50,《弥赛亚》和《犹大·马加比》是谁的清唱剧作品？,亨德尔,巴赫,莫扎特,A
51,亨德尔一生大部分时间都创作什么体裁的音乐？,歌剧,协奏曲,交响曲,A
52,亨德尔的歌剧咏叹调一般是？,返始咏叹调,通达咏叹调,双段式咏叹调,A
53,亨德尔最优秀的歌剧创作类型是？,清唱剧,正歌剧,喜歌剧,A
54,亨德尔的清唱剧的特点有？,英语演唱、脚本来自《圣经》、遵循合唱的传统,意大利文演唱、脚本来自希腊神话、强调独唱,法语演唱、脚本来自历史事件、注重舞蹈,A
55,巴洛克时期，把清唱剧中的合唱放在更突出地位的是哪位作曲家？,亨德尔,巴赫,维瓦尔第,A
56,亨德尔清唱剧最重要的作品是？,《弥赛亚》,《扫罗》,《耶夫他》,A
57,亨德尔最重要的作品《弥赛亚》中最著名的合唱是？,《阿利路亚》,《荣耀归于上帝》,《以色列啊，信靠主》,A
58,亨德尔的哪部清唱剧以《圣经》和英国祈祷书的诗篇为基础，用三大部分分别叙述耶稣的诞生、受难和复活？,《弥赛亚》,《犹大马加比》,《以色列人在埃及》,A
59,哪位作曲家的清唱剧在死后一直不断上演，且是史上首位？,亨德尔,巴赫,莫扎特,A
