题号,问题,选项A,选项B,选项C,正确答案
1,《阳光照耀在塔什库尔干》是谁的什么作品？,陈钢的小提琴曲,朱践耳的钢琴曲,吴祖强的管弦乐曲,A
2,《苗岭的早晨》是谁的什么作品？由谁改编为了什么？,白诚仁为俞逊发创作的口笛曲，陈钢改编为小提琴曲,江文也的交响诗，马思聪改编为小提琴协奏曲,黄自的钢琴曲，丁善德改编为管弦乐曲,A
3,《金色的炉台》是谁的什么作品？,陈钢的小提琴曲,马思聪的钢琴曲,吕其明的管弦乐曲,A
4,《虞美人》是谁的什么作品？,吴祖强、杜鸣心的舞剧,陈钢、罗忠镕的交响诗,郑路、马洪业的管弦乐,A
5,《红色娘子军》是谁的什么作品？,吴祖强、杜鸣心、王燕樵的舞剧,谭盾、陈其钢的芭蕾舞剧,丁善德、何训田的歌剧,A
6,吴祖强和杜鸣心合作的作品有？,《虞美人》和《红色娘子军》,《嘎达梅林》和《瑶族舞曲》,《北京喜讯到边寨》和《红旗颂》,A
7,《热碧亚》是谁的什么作品？,马思聪的舞剧,吴祖强的交响诗,陈其钢的芭蕾舞剧,A
8,《瑶族舞曲》是谁的什么作品？,刘铁山、茅沅的管弦乐,陈钢、江定仙的交响诗,罗忠镕、王义平的舞剧,A
9,管弦乐《长征交响曲》的作曲是？,丁善德,朱践耳,谭盾,A
10,管弦乐《第二交响曲在烈火中永生》的作曲是？,罗忠镕,瞿小松,叶小纲,A
11,《罗铮画意》是谁的什么作品？,罗忠镕的管弦乐,马思聪的交响诗,陈其钢的钢琴协奏曲,A
12,《武汉随想曲（烟波江上）》是谁的什么作品？,江定仙的管弦乐,刘铁山的交响诗,王西麟的钢琴曲,A
13,《北京喜讯到边寨》是谁的什么作品？,郑路、马洪业的管弦乐,吴祖强、杜鸣心的舞剧,陈钢、白诚仁的小提琴曲,A
14,《红旗颂》是谁的什么作品？共几个乐章？,吕其明的管弦乐，四个乐章,丁善德的交响曲，五个乐章,辛沪光的交响诗，三个乐章,A
15,《貔貅舞曲》是谁的什么作品？,王义平的管弦乐,马思聪的交响诗,江文也的钢琴曲,A
16,《云南音诗》是谁的什么作品？第四乐章的别称是？,王西麟的管弦乐，火把节,辛沪光的交响诗，赶摆,朱践耳的交响曲，春耕,A
17,新潮音乐的代表人物是？,叶小纲,郎朗,周广仁,A
18,新潮音乐《多耶》的作者是谁？作曲素材源于哪儿？,陈怡，西南少数民族音乐,谭盾，湖南民间音乐,瞿小松，内蒙古音乐,A
19,新潮音乐《村祭》的作者是谁？,莫五平,叶小纲,郭文景,A
20,新潮音乐《抒情诗》的作者是谁？,陈其钢,谭盾,瞿小松,A
21,新潮音乐《道级》的作者是谁？作曲素材源于哪儿？,谭盾，湖南,陈其钢，北京,叶小纲，广西,A
22,新潮音乐《地平线》的作者是谁？作曲素材源于哪儿？,叶小钢，西藏,陈怡，云南,郭文景，青海,A
23,新潮音乐《蜀道难》的作者是谁？作曲素材源于哪儿？,郭文景，四川,瞿小松，重庆,何训田，陕西,A
24,新潮音乐《天籁》的作者是谁？,何训田,罗忠铭,莫五平,A
25,新潮音乐《涉江采芙蓉》的作者是谁？是一首什么类型的音乐？,罗忠铭，十二音音乐,瞿小松，无调性音乐,郭文景，偶然音乐,A
26,新潮音乐《MongDong》的作者是谁？作曲素材源于哪儿？,瞿小松，西南少数民族音乐,谭盾，江南丝竹,陈怡，东北民歌,A
27,钢琴组曲《快乐的节日》的作曲是？,丁善德,刘诗昆,郎朗,A
28,钢琴协奏曲《黄河》的作曲是？,殷承宗、储望华、刘庄、盛礼洪,丁善德、朱践耳、郑路,马思聪、吴祖强、李中汉,A
29,《新疆之春》是谁的什么作品？,马耀先、李中汉的小提琴协奏曲,陈钢、王西麟的管弦乐,罗忠镕、刘铁山的钢琴协奏曲,A
30,《嘎达梅林》是谁的什么作品？根据什么改编而成？创作于何时？,辛沪光的交响诗，根据蒙古同名民歌改编，创作于50年代,马思聪的交响组曲，根据内蒙古民间乐曲改编，创作于40年代,江文也的管弦乐曲，根据蒙古英雄史诗改编，创作于60年代,A
31,《内蒙组曲》的作者是？又称为什么？第二乐章是？,马思聪，别称《绥远组曲》，第二乐章《思乡曲》,丁善德，别称《草原组曲》，第二乐章《牧歌》,辛沪光，别称《蒙古组曲》，第二乐章《骑马》,A
32,江文也为纪念屈原逝世2230周年所作的交响诗作品是？,《汨罗沉流》,《九歌》,《天问》,A
33,辛沪光根据蒙古族民歌创作的同名叙事性交响诗是什么作品？,《嘎达梅林》,《草原英雄小姐妹》,《萨斯克》,A
34,马思聪根据西南地区创作的管弦乐组曲是？,《山林之歌》,《云南民歌》,《峨嵋印象》,A
35,朱践耳共有几部交响曲？,10部,8部,12部,A
36,《黄鹤的故事》是谁的什么作品？加入了什么民族乐器？,施咏康的管弦乐，加入了竹笛,陈其钢的交响诗，加入了二胡,瞿小松的协奏曲，加入了琵琶,A
37,我国目前所见最早的小提琴曲是？,李四光《行路难》,刘天华《光明行》,黄自《思乡曲》,A
38,参与《末代皇帝》音乐创作的华人音乐家是？,苏聪,谭盾,周文中,A
39,获得奥斯卡奖作品《卧虎藏龙》的配乐是？,谭盾,周文中,黄英,A 
