题号,问题,选项A,选项B,选项C,正确答案
1,19世纪民族主义音乐中挪威代表性的作曲家是？,格里格,西贝柳斯,肖邦,A
2,格里格是哪国人？,挪威,芬兰,瑞典,A
3,第一个对格里格作品大加支持的是？,李斯特,勃拉姆斯,瓦格纳,A
4,格里格为挪威戏剧家易卜生的什么作品进行配乐？,《培尔·金特》,《玩偶之家》,《海达·高布乐》,A
5,格里格的《培尔·金特》是根据什么诗剧配乐而来？,易卜生,莎士比亚,歌德,A
6,格里格著名诗剧配乐《培尔·金特》中最著名的一首作品是？,《索尔维格之歌》,《晨曲》,《阿尼特拉之舞》,A
7,格里格为了丰富音乐色彩常用什么调式？,利底亚调式,多利亚调式,弗里几亚调式,A
8,格里格的民族主义倾向，最鲜明的体现在他的什么体裁作品上？,歌曲和钢琴小品,交响曲和协奏曲,歌剧和清唱剧,A
9,19世纪捷克民族主义音乐的杰出代表人物是？,斯美塔那、德沃夏克,肖邦、莫尼乌什科,格林卡、柴可夫斯基,A
10,斯美塔那是哪国人？,捷克,波兰,匈牙利,A
11,德沃夏克是哪国人？,捷克,匈牙利,俄罗斯,A
12,捷克音乐之父是？,斯美塔那,德沃夏克,雅纳切克,A
13,民族歌剧《被出卖的新嫁娘》的作者是？,斯美塔那,德沃夏克,格里格,A
14,斯美塔那的交响诗套曲《我的祖国》中共多少首作品，最为著名的是？,共有6首，第二首《沃尔塔瓦河》最著名,共有4首，第一首《高山》最著名,共有8首，第三首《波西米亚森林》最著名,A
15,斯美塔那晚年在耳聋的折磨下，创作的弦乐四重奏是？,《来自我的生活》,《命运》,《致远方的人》,A
16,德沃夏克的作曲生涯中受到了谁的帮助？,勃拉姆斯,舒曼,瓦格纳,A
17,德沃夏克曾在哪个学校任过院长？,纽约音乐学院,柏林音乐学院,布拉格音乐学院,A
18,德沃夏克的第九交响曲《自新世界》第二乐章主旋律由什么乐器奏出？,英国管,大提琴,小提琴,A
19,歌剧《水仙女》的作者是？,德沃夏克,斯美塔那,普契尼,A
20,德沃夏克是否创作过大提琴协奏曲？,创作过,未创作过,只写了草稿未完成,A
21,德沃夏克的创作特点是？,题材广泛，涉及各个民族,仅限于捷克民族音乐,只专注于交响曲创作,A 
