题号,问题,选项A,选项B,选项C,正确答案
1,2008年奥运会的音乐总监是谁？,陈其钢,谭盾,周广仁,A
2,2022年肖邦钢琴大赛冠军是？,刘晓禹,郎朗,王羽佳,A
3,我国第一位女指挥家是？,郑小瑛,周小燕,李谷一,A
4,郭兰英是我国著名的歌唱家，她的演唱类型是什么？,民族唱法,美声唱法,通俗唱法,A
5,认为《二泉映月》应当跪下来听的世界级指挥家是谁？,小泽征尔,祖宾·梅塔,卡拉扬,A
6,声名卓著的指挥家彭修文生前主要执棒于哪儿？,中国广播民族管弦乐团,中央交响乐团,上海交响乐团,A
7,周广仁的身份是？,钢琴教育家,小提琴演奏家,作曲家,A
8,彭修文是我国著名的什么？,指挥家,小提琴家,钢琴家,A
9,声名卓著的指挥家彭修文生前主要执棒于哪？,中央民族广播乐团,中国爱乐乐团,国家交响乐团,A
10,彭修文最著名的作品是什么？,民族管弦乐《秦·兵马俑》,交响诗《黄河》,管弦乐《丝绸之路》,A
11,第一位在肖邦钢琴大赛获奖的中国人是哪位？,傅聪,李云迪,殷承宗,A
12,音乐界唯一获共和国奖章的是？,吕其明,朱践耳,施光南,A
13,中央音乐学院现任院长是谁？,俞峰,王次炤,于润洋,A
14,上海音乐学院现任院长是谁？,廖昌永,杨立青,徐舒亚,A
15,中国音乐学院现任院长是谁？,李心草,周海宏,谭小麟,A
16,李叔同曾留学于哪国？,日本,德国,法国,A
17,曾志忞曾留学于哪国？,日本,美国,俄国,A
18,沈心工曾留学于哪国？,日本,德国,意大利,A
19,萧友梅曾留学于哪国？,日本,德国,英国,A
20,江文也曾留学于哪国？,日本,法国,奥地利,A
21,萧友梅曾留学于哪国？,德国,日本,美国,A
22,王光祈曾留学于哪国？,德国,法国,英国,A
23,赵元任曾留学于哪国？,美国,德国,俄国,A
24,黄自曾留学于哪国？,美国,英国,法国,A
25,周淑安曾留学于哪国？,美国,德国,奥地利,A
26,谭小麟曾留学于哪国？,美国,法国,意大利,A
27,谭盾曾留学于哪国？,美国,德国,澳大利亚,A
28,洗星海曾留学于哪国？,法国,美国,英国,A
29,马思聪曾留学于哪国？,法国,德国,俄国,A
30,丁善德曾留学于哪国？,法国,美国,奥地利,A
31,陈其钢曾留学于哪国？,法国,德国,加拿大,A
32,郎朗是我国什么类型的音乐家？,钢琴家,小提琴家,指挥家,A
33,王羽佳是我国什么类型的音乐家？,钢琴家,大提琴家,作曲家,A
34,殷承宗是我国什么类型的音乐家？,钢琴家,声乐家,指挥家,A
35,周广仁是我国什么类型的音乐家？,钢琴家,小提琴家,作曲家,A
36,朱晓枚是我国什么类型的音乐家？,钢琴家,长笛演奏家,古筝演奏家,A
37,刘晓禹是我国什么类型的音乐家？,钢琴家,小提琴家,指挥家,A
38,马思聪是我国什么类型的音乐家？,小提琴家,大提琴家,指挥家,A
39,林耀基是我国什么类型的音乐家？,小提琴家,钢琴家,指挥家,A
40,吕思清是我国什么类型的音乐家？,小提琴家,大提琴家,钢琴家,A
41,俞丽拿是我国什么类型的音乐家？,小提琴家,钢琴家,古典吉他演奏家,A
