题号,问题,选项A,选项B,选项C,正确答案
1,中国小提琴第一人是？,马思聪,江文也,曹安和,A
2,马思聪留学于哪儿？,法国·巴黎音乐学院,美国·耶鲁大学音乐学院,德国·柏林音乐学院,A
3,《西藏音诗》是谁的作品？,马思聪,江文也,丁善德,A
4,马思聪的《山林之歌》描写的是？,西南地区的山林,西北地区的草原,东北地区的密林,A
5,马思聪的《山林之歌》是什么体裁的作品？,管弦乐组曲,小提琴协奏曲,室内乐四重奏,A
6,马思聪与陈洪一创办的音乐学院是？,广州音乐学院,中央音乐学院,上海音乐学院,A
7,马思聪在哪举办了个人独奏音乐会？,香港,上海,北京,A
8,中央音乐学院的首任院长是？,马思聪,黄自,江文也,A
9,马思聪的三部合唱曲是什么？,《民主》《春天》《祖国》,《解放》《新中国》《和平》,《黄河》《保卫黄河》《黄水谣》,A
10,马思聪的创作特点是什么？4点,取材民间、自由变奏、突出技巧、良好开端,民族风格、抒情优美、结构严谨、西方技法,革命精神、民族特色、创新手法、宏大气势,A
11,小提琴曲《第一回旋曲》的作者是？,马思聪,江文也,贺绿汀,A
12,小提琴曲《思乡曲》共变奏了几次？,6次,4次,8次,A
13,马思聪的最后一部作品是？,舞剧作品《热碧亚》（未完成）,交响诗《西藏》,钢琴协奏曲《山谷》,A
14,小提琴曲《思乡曲》是什么时期的作品？,20世纪30年代,20世纪40年代,20世纪50年代,A 
