题号,问题,选项A,选项B,选项C,正确答案
1,到目前为止大约有多少个古希腊音乐作品或作品片段先后被发现？,40个,20个,60个,A
2,慈悲经一共有几句？,3句,5句,7句,A
3,中世纪教会调式共有几种？,8,12,6,A
4,D·斯卡拉蒂一共创作了多少首键盘奏鸣曲？,555首,300首,700首,A
5,《平均律钢琴曲集》有几卷？各有前奏曲与赋格？,2卷各24首,3卷各16首,4卷各12首,A
6,巴赫的《哥德堡变奏曲》共有多少个变奏？,30个,24个,36个,A
7,巴赫的《勃兰登堡协奏曲》一共多少首？,6首,8首,4首,A
8,巴赫的康塔塔共有多少首保存至今？,200多首,100多首,300多首,A
9,海顿为埃斯特哈齐亲王服务了多少年？,30年,20年,40年,A
10,海顿共创作了多少部交响曲？,104部,80部,120部,A
11,海顿共创作了多少部弦乐四重奏？,68部,50部,82部,A
12,莫扎特几岁创作了第一部交响曲？,8岁,10岁,6岁,A
13,莫扎特一生有多少部作品？,600部,500部,700部,A
14,莫扎特共创作了多少部歌剧？,21部,15部,27部,A
15,莫扎特共创作了多少部交响曲？,41部,35部,50部,A
16,莫扎特共创作了多少部钢琴协奏曲？,27部,20部,33部,A
17,贝多芬《悲怆奏鸣曲》是他的第几首钢琴奏鸣曲？,8,6,10,A
18,贝多芬《月光奏鸣曲》是他的第几首钢琴奏鸣曲？,14,12,16,A
19,贝多芬《暴风雨奏鸣曲》是他的第几首钢琴奏鸣曲？,17,15,19,A
20,贝多芬《黎明奏鸣曲》是他的第几首钢琴奏鸣曲？,21,19,23,A
21,贝多芬《热情奏鸣曲》是他的第几首钢琴奏鸣曲？,23,21,25,A
22,贝多芬一共有多少部钢琴协奏曲？,5部,3部,7部,A
23,贝多芬《田园交响曲》一共有几个乐章？,5个乐章,4个乐章,6个乐章,A
24,贝多芬的《升c小调弦乐四重奏》（Opus. 131）有几个乐章？,7个乐章,5个乐章,9个乐章,A
25,贝多芬一共有几部交响曲？,9部,7部,11部,A
26,舒伯特共创作了多少首艺术歌曲？,600多首,400多首,800多首,A
27,舒伯特共创作了多少部交响曲？,9部,7部,11部,A
28,柏辽兹的《幻想交响曲》一共有几个乐章？,5个,4个,6个,A
29,柏辽兹的戏剧交响曲《罗密欧与朱丽叶》共有几个乐章？,7个,5个,9个,A
30,门德尔松一共有几部交响曲？,5部,3部,7部,A
31,《无词歌》共有多少首？,8卷48首,6卷36首,10卷60首,A
32,勃拉姆斯第一部交响曲创作用了多少年？,20多年,10多年,30多年,A
33,勃拉姆斯共多少部交响曲？,4部,3部,5部,A
34,肖邦的钢琴练习曲有几首？,24首,18首,30首,A
35,肖邦的前奏曲共有几首？,24首,20首,28首,A
36,肖邦的玛祖卡共有几首？,55首,45首,65首,A
37,肖邦的波罗乃兹舞曲共有几首？,10首,8首,12首,A
38,李斯特的《超级练习曲》有几首？,12首,10首,15首,A
39,李斯特一共创作了多少首匈牙利狂想曲？,19首,15首,23首,A
40,李斯特共创作了多少首交响诗？,13首,10首,16首,A
41,威尔第共有多少部歌剧？,26部,20部,32部,A
42,斯美塔那的交响诗套曲《我的祖国》中共多少首作品？,6首,4首,8首,A
43,柴可夫斯基交响曲一共多少首？,6首,4首,8首,A
44,马勒一共有几部交响曲？,9部,7部,11部,A
45,马勒一共有几部声乐套曲？,5部,3部,7部,A
46,巴托克晚期的作品中，较为著名的作品《管弦乐协奏曲》一共有几个乐章？,5个,3个,7个,A 
