题号,问题,选项A,选项B,选项C,正确答案
1,无产阶级音乐奠基人是？,聂耳,黄自,冼星海,A
2,聂耳曾经和田汉、任光一起参加什么社会活动？,苏联之友音乐小组,抗日救亡音乐小组,音乐研究学习小组,A
3,1934年，聂耳与田汉、任光、安娥、吕骥等人是什么组织的主要骨干？,上海左翼剧联音乐小组,北京国立音乐专科学校,延安鲁迅艺术学院,A
4,第一位准确刻画工人形象的作曲家是谁？,聂耳,贺绿汀,冼星海,A
5,聂耳反应工人阶级生活和斗争的作品有？,《开路先锋》《大路歌》《码头工人》,《义勇军进行曲》《毕业歌》《前进歌》,《五月的鲜花》《青年进行曲》《嘉陵江上》,A
6,聂耳代表性爱国歌曲有？,《毕业歌》《义勇军进行曲》《前进歌》,《开路先锋》《大路歌》《码头工人》,《飞花歌》《塞外村女》《梅娘曲》,A
7,聂耳反应国民苦难（尤其是劳动妇女）的作品有？,《飞花歌》《塞外村女》《铁蹄下的歌女》《梅娘曲》,《毕业歌》《前进歌》《义勇军进行曲》,《开路先锋》《大路歌》《码头工人》,A
8,聂耳创作的儿童歌曲是？,《卖报歌》,《小小少年》,《开学歌》,A
9,聂耳的《卖报歌》由谁作词？出自哪？,安蛾·《扬子江暴风雨》,田汉·《风云儿女》,洛地·《儿童世界》,A
10,聂耳的创作特点是？3点,民族旋律、时代气息、革命音乐,简单明快、优美动听、情感细腻,对位技巧、和声精巧、复调结构,A
11,1935年《义勇军进行曲》是哪部电影的插曲？词曲是？,《风云儿女》·田汉词·聂耳曲,《新女性》·郑君里词·聂耳曲,《十字街头》·田汉词·他欣曲,A
12,聂耳在中华歌舞专修学校上过学吗？,上过,没上过,只是教过课,A
13,中国新兴音乐研究会是谁组织的？,聂耳,冼星海,黄自,A
14,聂耳从哪年开始创作？何时去世？,1933年·两年后去世，享年23岁,1930年·五年后去世，享年25岁,1935年·一年后去世，享年21岁,A
15,聂耳共创作多少首歌曲？,37首,50首,28首,A
16,聂耳、吕骥组织了什么歌咏团体？,业余合唱团,工人歌咏队,学生音乐社,A
17,聂耳生于哪年？,1912年,1910年,1915年,A
18,聂耳是什么年代的作曲家？,30年代,20年代,40年代,A 
