题号,问题,选项A,选项B,选项C,正确答案
1,被誉为是人民的音乐家的作曲家的是哪位？,冼星海,萧友梅,聂耳,A
2,《黄河大合唱》是以什么为歌词？,诗人光未然长诗《黄河吟》,田汉的《黄河颂》,郭沫若的《黄河赞》,A
3,《黄河大合唱》首演于何时何地？,1939年延安,1940年重庆,1938年武汉,A
4,《黄河大合唱》共几个乐章？,九个乐章,七个乐章,五个乐章,A
5,冼星海在哪儿留学学习小提琴和理论作曲？,法国·巴黎,德国·柏林,苏联·莫斯科,A
6,1938年冼星海在哪儿担任音乐系主任？,延安·鲁迅艺术学院,上海音乐学院,北平艺术专科学校,A
7,冼星海的创作风格特点是？,号召性旋律、鲜明节奏、简练结构、独特风格,西方技法与中国民间音乐结合、复杂和声、精致结构,浪漫主义风格、华丽旋律、复杂对位,A
8,冼星海的作品《在太行山上》是一首什么性质的作品？,群众歌曲,交响乐,室内乐,A
9,冼星海著名合唱作品有？,《黄河大合唱》《生产大合唱》,《义勇军进行曲》《松花江上》,《大江东去》《长征组歌》,A
10,歌曲《救国军歌》的作曲是？,冼星海,聂耳,贺绿汀,A
11,被誉为中国近代史上里程碑式的杰作的合唱作品是？,《黄河大合唱》,《义勇军进行曲》,《黄水谣》,A
12,冼星海的交响曲《满江红》是在哪儿创作的？,苏联,法国,中国,A
13,冼星海的儿童歌曲代表作是什么？,《只怕不抵抗》,《开学歌》,《小红花》,A
14,冼星海为我国第一部恐怖电影创作的插曲是？,《夜半歌声》,《神秘的旅伴》,《乌鸦与麻雀》,A
15,《黄河大合唱》最著名的唱段有哪些？,《黄河颂》《黄水谣》《保卫黄河》《怒吼吧！黄河》,《黄河船夫曲》《黄河之水天上来》《母亲河》,《黄河抒怀》《黄河之子》《黄河魂》,A
16,《黄河大合唱》原词名为？,《黄河吟》,《黄河颂》,《黄河赞》,A
17,《黄河大合唱》的特点有哪些？,民间音调、多声部、传统+新特征、统一,欧洲风格、单声部、纯西方技法,爵士元素、复杂和声、无固定调性,A
18,《黄河大合唱》创作于何时？,1939年,1937年,1941年,A
19,冼星海在巴黎音乐学院的老师是？,杜卡,拉威尔,德彪西,A
20,《黄河大合唱》最著名的版本是谁指挥的？,严良堃,李德伦,陈佐湟,A
21,管弦乐《中国狂想曲》是谁创作的？共几部？,冼星海 四部,黄自 三部,刘天华 五部,A
22,冼星海的交响曲《民族解放交响曲》是在哪儿创作的？,苏联,法国,中国,A
23,冼星海的交响曲《神圣之战交响曲》是在哪儿创作的？,苏联,法国,中国,A
24,歌曲《到敌人后方去》的作曲是？,冼星海,聂耳,贺绿汀,A
25,歌曲《在太行山上》的作曲是？,冼星海,聂耳,贺绿汀,A 
