题号,问题,选项A,选项B,选项C,正确答案
1,中国古代现存最早的记谱法是？,汉代鼓谱,唐代减字谱,宋代工尺谱,A
2,汉代歌诗演唱的曲调记录法是？,声曲折,减字谱,律吕谱,A
3,我国现存唯一一部文字谱是？,《碣石调·幽兰》,《广陵散》,《高山流水》,A
4,记载古琴弹奏指法、弦序和音位的记谱法是？,文字谱，后演变为减字谱,工尺谱，后演变为简谱,律吕谱，后演变为宫商谱,A
5,减字谱是由何发展而来？,文字谱发展而来,工尺谱发展而来,鼓谱发展而来,A
6,减字谱由谁创立？,唐·曹柔,宋·姜夔,元·杨抗,A
7,只记弹奏音位和指法，不记音名是我国古代哪种记谱法？,减字谱,工尺谱,二四谱,A
8,四弦四相琵琶指位谱是？,敦煌乐谱,碣石调,白石道人歌集,A
9,俗乐二十八调音高字谱是一种什么性质的记谱体系？,固定调性质的记谱体系,变化调性质的记谱体系,无调性的记谱体系,A
10,宋代广为流行的一种记谱法，且姜夔《白石道人歌集》中使用的一种记谱法是？,俗字谱,工尺谱,律吕谱,A
11,宋代流行的通过运用十个基本谱字来记谱，代表不同音高的记谱法是？,俗字谱,减字谱,二四谱,A
12,我国民间传统记谱法中，因用工、尺等字记写唱名而得名，且广泛运用于民间器乐曲的记谱法是？,工尺谱,减字谱,律吕谱,A
13,工尺谱的节拍符号是？,板眼符号,黑白音符,休止符,A
14,相传早在唐代开元年间就使用十二律吕名表示旋律音高的记谱法是？,律吕谱,工尺谱,减字谱,A
15,一种古老的弦索谱，潮州音乐常使用的记谱法是？,二四谱,减字谱,工尺谱,A 
