题号,问题,选项A,选项B,选项C,正确答案
1,学堂乐歌的时代大背景是？,康有为（《孔子改制考》）梁启超，百日维新,太平天国运动，洋务运动,辛亥革命，共和思想,A
2,学堂乐歌诞生于何时？,20世纪10年代,19世纪末期,20世纪20年代,A
3,学堂乐歌开始的标志事件是？,庚子事变,辛亥革命,甲午战争,A
4,学堂乐歌的内容是？,富国强兵,歌颂自然风光,传播宗教思想,A
5,学堂乐歌的主要形式是？,填词歌曲,原创作品,民间音乐改编,A
6,学堂乐歌的曲调大部分来自于哪儿？,日本、欧美流行歌曲,中国传统民歌,古代宫廷音乐,A
7,学堂乐歌为什么运动打下了基础？,群众歌咏运动,民族器乐复兴运动,戏曲改革运动,A
8,《中国男儿》是学堂乐歌具有代表性的作品，作词配曲分别是？,石更作词 辛汉配曲,李叔同作词 沈心工配曲,秋瑾作词 曾志忞配曲,A
9,《中国男儿》原本的曲调是？,日本歌曲《宿舍里的吊桶》,美国歌曲《梦见家和母亲》,德国歌曲《罗蕾莱》,A
10,学堂乐歌代表性的作品有？,《中国男儿》《勉女权》,《黄河大合唱》《救国军歌》,《义勇军进行曲》《松花江上》,A
11,学堂乐歌采用什么样的歌唱形式？,集体歌唱形式,独唱形式,对唱形式,A
12,学堂乐歌的意义是什么？,西方音乐、记谱法、乐理进入中国；造就一批音乐家,促进传统戏曲发展；弘扬民族音乐文化,发展管弦乐演奏；建立专业音乐院校,A
13,中国近代史上建立的第一个话剧社团，是谁？在哪儿？是什么？,李叔同 日本 春柳社,沈心工 上海 新剧社,曾志忞 北京 国剧社,A
14,中国第一个话剧社团春柳社，李叔同亲自上演哪一部作品？,《茶花女》,《雷雨》,《日出》,A
15,最早把油画带入中国，最早进行人体写生的是谁？,李叔同,徐悲鸿,林风眠,A
16,《送别》是谁的乐歌作品？,李叔同,沈心工,曾志忞,A
17,李叔同自己作曲的乐歌是？,《早秋》,《送别》,《黄河》,A
18,李叔同本人作曲的三声部合唱是？,《春游》,《忆儿时》,《体操兵操》,A
19,《忆儿时》是谁的乐歌作品？,李叔同,沈心工,曾志忞,A
20,李叔同出家僧号是什么？,弘一法师,印光法师,太虚法师,A
21,李叔同学堂乐歌的创作特点是？,文辞优美，富有意境和韵味,激昂高亢，富有号召力,简洁明快，节奏感强,A
22,李叔同的《音乐小杂志》出版年份是？,1906,1911,1919,A
23,李叔同的《音乐小杂志》一共出版了几期？,1期,3期,5期,A
24,《音乐小杂志》出版的第一篇文章是关于谁的传记？,贝多芬,莫扎特,肖邦,A
25,我国最早的音乐杂志诞生于哪儿？,日本,中国上海,中国北京,A
26,学堂乐歌的代表人物都有谁？,沈心工 李叔同 曾志忞,冼星海 聂耳 黄自,萧友梅 刘天华 赵元任,A
27,被誉为近代学堂之父的人是谁？,沈心工,李叔同,曾志忞,A
28,沈心工的创作特点是？,针对儿童心理,强调民族风格,注重和声技法,A
29,沈心工本人作曲乐歌是？,《黄河》,《送别》,《勉女权》,A
30,学堂乐歌《黄河》的创作者是谁？,沈心工,李叔同,冼星海,A
31,《革命军》、《竹马》是谁的代表性乐歌作品？,沈心工,李叔同,曾志忞,A
32,《体操兵操》又名什么？,《男儿第一志气高》,《少年壮志不言愁》,《男儿立志出乡关》,A
33,中国最早的音乐刊物是什么？谁创立的？,《音乐小杂志》 李叔同,《乐典教科书》 曾志忞,《国乐改进》 萧友梅,A
34,《送别》采用的曲调是？,美国的《梦见家和母亲》 日本的《旅愁》,英国的《故乡的橡树》,德国的《莱茵河之歌》,A
35,《勉女权》是谁填词？,秋瑾,李叔同,沈心工,A
36,我国1919年后的音乐社团都有什么？,北京大学音乐研究会 中华美育会 国乐改进社,新音乐协会 中国音乐学会 民族音乐研究所,上海音乐协会 音乐教育促进会 中国乐团,A
37,我国最早的音乐教育机构有？,女子高等师范学校音乐科 北京大学音乐传习所,上海音乐学院 中央音乐学院,天津音乐专科学校 南京艺术学院,A
38,我国最早出版、最早完备介绍西方音乐体系的乐理教科书是谁写的什么著作？,曾志忞 《乐典教科书》,萧友梅 《西洋音乐通论》,黄自 《和声学教程》,A 
