题号,问题,选项A,选项B,选项C,正确答案
1,西方音乐史上，从没有学过钢琴，只学过一点长笛和吉他，最后弃医从乐，描述的是哪位作曲家？,柏辽兹,门德尔松,李斯特,A
2,柏辽兹因为一首康塔塔获得了什么奖项？,罗马大奖,巴黎音乐学院奖,维也纳金质奖章,A
3,柏辽兹是哪国作曲家？,法国,德国,意大利,A
4,柏辽兹的哪部作品受到了贝多芬《田园交响曲》的影响？,《幻想交响曲》,《哈罗尔德在意大利》,《浮士德的责罚》,A
5,柏辽兹的哪部作品标志着浪漫主义标题交响曲的诞生？,《幻想交响曲》,《罗密欧与朱丽叶》,《特洛伊人》,A
6,柏辽兹的《幻想交响曲》一共有几个乐章？,5个,4个,6个,A
7,柏辽兹《幻想交响曲》的创作起因是？,表达对英国女演员斯密荪的疯狂爱恋,纪念贝多芬的逝世,表达对法国革命的反思,A
8,柏辽兹在《幻想交响曲》中使用了何种作曲技法？,固定乐思,十二音列,半音和声,A
9,固定乐思是谁的音乐作曲手法？代表作是？,柏辽兹《幻想交响曲》,瓦格纳《尼伯龙根的指环》,李斯特《但丁交响曲》,A
10,柏辽兹所做的一首中提琴与管弦乐队的交响曲是？,《哈罗尔德在意大利》,《幻想交响曲》,《罗密欧与朱丽叶》,A
11,柏辽兹未按帕格尼尼委托而写成小提琴协奏曲的作品是？,中提琴协奏曲《哈罗尔德在意大利》,《幻想交响曲》,《罗密欧与朱丽叶》,A
12,柏辽兹的戏剧交响曲《罗密欧与朱丽叶》共有几个乐章？,7个,5个,9个,A
13,柏辽兹所创作的一部较为著名的歌剧是？是一部什么体裁的歌剧？,《特洛伊人》抒情歌剧,《罗密欧与朱丽叶》悲剧歌剧,《浮士德的责罚》喜剧歌剧,A
14,柏辽兹的抒情歌剧《特洛伊人》是根据谁的作品改编而来？,维吉尔,莎士比亚,荷马,A
15,柏辽兹在音乐理论方面的著作是？,《配器法》,《对位法教程》,《和声学》,A
16,戏剧传奇《浮士德的责罚》的作者是？,柏辽兹,门德尔松,李斯特,A
17,柏辽兹在《幻想交响曲》中用定音鼓表现什么？,远方的雷声,心跳声,马蹄声,A
18,柏辽兹在《幻想交响曲》中用小提琴弓杆击弦表现什么？,地狱骷髅碰撞的声音,风暴,梦境幻象,A
19,门德尔松是哪国作曲家？,德国,法国,意大利,A
20,门德尔松在17岁时，根据莎士比亚同名戏剧而作一部序曲是？,《仲夏夜之梦》,《暴风雨》,《哈姆雷特》,A
21,在浪漫主义时期，标志着巴赫复兴的事件是？,1829年，门德尔松在柏林指挥巴赫的《马太受难乐》,1822年，舒曼出版巴赫全集,1835年，李斯特编写巴赫管风琴作品,A
22,萧友梅曾在德国留学的莱比锡音乐学院是由谁创立的？,门德尔松,舒曼,勃拉姆斯,A
23,门德尔松的标志音乐社会活动是？2点,①1829年指挥《马太受难乐》使得巴赫复兴 ②筹建莱比锡音乐学院,①创建柏林爱乐乐团 ②编纂德国民间音乐,①举办莱比锡音乐节 ②推广俄国音乐,A
24,门德尔松在哪里公演巴赫的马太受难乐？,1829年·柏林,1830年·莱比锡,1825年·维也纳,A
25,《马太受难乐》是谁1829年在柏林公演，成为巴赫复兴的转折点？,门德尔松,舒曼,李斯特,A
26,是谁大力推动了《马太受难乐》的重新上演？,采尔特,门德尔松,布拉姆斯,A
27,门德尔松一共有几部交响曲？,5部,3部,7部,A
28,门德尔松5部交响曲中，最为著名的两部是？,《意大利交响曲》《苏格兰交响曲》,《宗教交响曲》《改革交响曲》,《C小调交响曲》《A大调交响曲》,A
29,《意大利交响曲》《苏格兰交响曲》是谁的交响乐作品？,门德尔松,柏辽兹,舒曼,A
30,浪漫主义时期的标题交响乐序曲是谁起的头？,门德尔松,柏辽兹,瓦格纳,A
31,当今时代最为著名婚礼进行曲是出自谁的手中？,门德尔松《仲夏夜之梦》瓦格纳歌剧《罗恩格林》,普赛尔《狄多与埃涅阿斯》莫扎特《费加罗的婚礼》,舒伯特《玫瑰女郎》舒曼《爱情与生活的诗》,A
32,门德尔松的音乐会序曲代表性的两部作品是？,《仲夏夜之梦》《赫布里底群岛》,《罗密欧与朱丽叶》《暴风雨》,《美丽的梅露辛》《平静的海和幸福的航行》,A
33,门德尔松受苏格兰之行的启发而作的作品是？,《赫布里底群岛》,《仲夏夜之梦》,《平静的海和幸福的航行》,A
34,门德尔松的钢琴作品代表作是？,《无词歌》,《幻想曲》,《变奏曲》,A
35,门德尔松为她姐姐而作的一部钢琴作品集是？,《无词歌》,《严肃变奏曲》,《歌曲集》,A
36,钢琴小品《春之歌》来自哪位作曲家的什么作品？,门德尔松的《无词歌》,舒曼的《森林场景》,肖邦的《前奏曲》,A
37,钢琴小品《威尼斯船歌》来自哪位作曲家的什么作品？,门德尔松的《无词歌》,柏辽兹的《艺术歌曲集》,舒伯特的《即兴曲》,A
38,《无词歌》共有多少首？,8卷48首,6卷36首,10卷60首,A
39,门德尔松的钢琴作品《春之歌》、《威尼斯船歌》都出自哪一部作品集？,《无词歌》,《幻想曲集》,《性格小品集》,A
40,四大小提琴协奏曲指的是哪四部？,贝多芬、柴可夫斯基、勃拉姆斯《D大调小提琴协奏曲》门德尔松《e小调小提琴协奏曲》,莫扎特、贝多芬、柏辽兹、肖斯塔科维奇小提琴协奏曲,维瓦尔第《四季》中的四首小提琴协奏曲,A 
