题号,问题,选项A,选项B,选项C,正确答案
1,在西方音乐史上，1430年到1600年是指哪一时期？,文艺复兴时期,巴洛克时期,中世纪时期,A
2,在西方音乐史上，人精神的再生、文化标准的复兴、人文主义思潮的觉醒、近代世界的开端指的是哪一时期？,文艺复兴时期,古典主义时期,浪漫主义时期,A
3,文艺复兴早期的英国最重要的作曲家是？,邓斯泰布尔,亨利八世,塔利斯,A
4,文艺复兴早期的英国作曲家是邓斯泰布尔，他写了很多三声部的经文歌，其代表作是？,《你多么美丽，多么可爱》,《格洛里亚赞》,《诗篇集》,A
5,文艺复兴早期，哪国音乐爱用不完全协和的三六度音程？,英国,法国,意大利,A
6,凡四十年以前的音乐几乎都不值得一听了指的是文艺复兴时期的哪位作曲家？,英国·邓斯泰布尔,法国·杜费,意大利·帕勒斯特里纳,A
7,文艺复兴时期的勃艮第风格代表性作曲家有？,杜费、本舒瓦,若斯堪、奥克冈,帕勒斯特里纳、拉索,A
8,勃艮第乐派的最重要的世俗音乐体裁是？,尚松,牧歌,利德,A
9,文艺复兴时期的作曲家杜费的作品涉及到哪些音乐体裁？创作最为突出的是哪种音乐体裁？,弥撒曲、经文歌、尚松；弥撒曲和经文歌最为突出,众赞歌、牧歌、器乐曲；众赞歌最为突出,利德、赞美诗、协奏曲；利德最为突出,A
10,杜费的经文歌《玫瑰在今日开放》是为什么而作的？,为佛罗伦萨的圆顶大教堂落成后的献堂仪式而作的,为英国国王加冕典礼而作的,为教皇的生日庆典而作的,A
11,1436年，谁曾为弗洛伦萨圆顶大教堂落成的献堂仪式创作弥撒的是？创作的什么作品？,迪费，《玫瑰在近日开放》,帕勒斯特里纳，《教皇马采鲁斯弥撒》,若斯堪，《圣母颂》,A
12,文艺复兴时期，邓斯泰布尔创作的套曲弥撒，首先写作什么，且它成为15世纪主要的弥撒形式？,定旋律弥撒,模仿弥撒,赞美诗弥撒,A
13,第一位采用世俗歌曲作为弥撒定旋律的作曲家是？,杜费,帕勒斯特里纳,奥克冈,A
14,在文艺复兴时期，哪首作品的旋律被很多作曲家用作定旋律弥撒？它是什么类型的歌曲？,《武装的人》，世俗歌曲,《格里高利圣咏》，宗教歌曲,《安魂曲》，宗教歌曲,A
15,文艺复兴时期，佛兰德乐派的代表作曲家是？,奥克冈、若斯堪,杜费、本舒瓦,帕勒斯特里纳、拉索,A
16,文艺复兴时期，杜费死后，谁被认为是欧洲北部一流的作曲大师？,奥克冈,若斯堪,帕勒斯特里纳,A
17,文艺复兴时期，谁既是一位作曲家，又是一位声音很低的歌唱家，喜欢在自己作品中运用低音音域？,奥克冈,若斯堪,帕勒斯特里纳,A
18,文艺复兴时期作曲家若斯堪的老师是？,奥克冈,杜费,帕勒斯特里纳,A
19,文艺复兴时期的《Mi-Mi 弥撒曲》的作者是？,奥克冈,若斯堪,帕勒斯特里纳,A
20,文艺复兴时期，哪首作品的一个三音动机E-A-E作为题词出现在各乐章的开头？,《Mi-Mi 弥撒曲》,《武装的人弥撒曲》,《教皇马采鲁斯弥撒》,A
21,奥克冈在复调音乐上最突出的成就是？,创造了一种独特复调——同质复调,创造了十二音技法,发明了赋格曲式,A
22,文艺复兴时期，哪位作曲家在米兰大教堂做歌手，并在那里为斯佛扎家族的公爵小教堂作曲？,若斯堪,奥克冈,帕勒斯特里纳,A
23,16世纪的宗教改革领袖马丁·路德十分崇敬哪位作曲家，并认为他是一位可以随意指挥音符的大师？,若斯堪,奥克冈,帕勒斯特里纳,A
24,若斯堪在他的作品中大量运用卡农的手法，并使其成为统一结构的基本手段，他的代表作是？,经文歌《圣母颂》,《武装的人弥撒》,《玫瑰在今日开放》,A
25,文艺复兴时期，哪位作曲家通过低音部的频繁四五度运动，暗示了主属和声关系的萌芽？,若斯堪,奥克冈,杜费,A
26,文艺复兴时期，若斯堪常在段落结尾处使用何种作曲手法？,驱动终止式,柱式和声,持续音技法,A
27,在若斯堪的作品中，用以前的完整作品作为框架，自由地进行创作，这种弥撒曲叫？,仿作弥撒曲,定旋律弥撒,模仿弥撒,A
28,文艺复兴后期，出现在意大利的新型世俗歌曲是？,意大利牧歌,尚松,利德,A
29,16世纪文艺复兴后期，意大利最重要的世俗音乐体裁是？,意大利牧歌,尚松,利德,A
30,文艺复兴时期，意大利牧歌的重要前身是？,弗罗托拉,尚松,琉特琴歌,A
31,文艺复兴时期，早期牧歌与14世纪哪位诗人的复兴运动有着密切的联系？,彼特拉克,但丁,薄伽丘,A
32,文艺复兴时期，意大利牧歌歌词的特征是怎样的？,单诗节,复诗节,多诗节,A
33,文艺复兴时期，意大利牧歌一般是几声部？,五声部,三声部,七声部,A
34,文艺复兴时期，意大利牧歌的特征是怎样的？,五声部均为人声、主调复调间交替、通谱体、绘词法,乐器伴奏、严格模仿、分节歌、戏剧性,单声部、固定曲式、复诗节、叙事性,A
35,在文艺复兴时期，哪首意大利牧歌在16世纪特别有名并广为流传，其作者是？,阿卡代尔特《洁白而温顺的天鹅》,蒙特威尔第《残酷的牧羊女》,杰苏阿尔多《啊，我的心》,A
36,文艺复兴时期的哪位作曲家的牧歌作品运用了高度不协和音及半音体系？,杰苏阿尔多,阿卡代尔特,蒙特威尔第,A
37,意大利牧歌晚期阶段的代表性作曲家是？,杰苏阿尔多,阿卡代尔特,威拉尔特,A
38,集文艺复兴复调之大成，开巴洛克音乐之先河是指哪位作曲家？,蒙特威尔第,帕勒斯特里纳,奥克冈,A
