题号,问题,选项A,选项B,选项C,正确答案
1,中国近代音乐教育宗师是？,萧友梅,冼星海,聂耳,A
2,萧友梅曾留学于哪儿？,德国莱比锡音乐学院与莱比锡国立大学,法国巴黎音乐学院,美国柯蒂斯音乐学院,A
3,萧友梅的哲学博士毕业论文是？,《17世纪以前中国管弦乐队的历史研究》,《中国民间音乐研究》,《西方音乐史与中国传统音乐比较》,A
4,萧友梅的博士毕业论文是用什么语言写的？,德语,英语,法语,A
5,艺术歌曲《问》是谁的作品？,萧友梅,黄自,聂耳,A
6,萧友梅早期探索民族化新音乐的开山之作的作品有？,合唱曲《春江花月夜》与管弦乐《新霓裳羽衣舞》,《花非花》与《南乡子》,《牧童短笛》与《大江东去》,A
7,大提琴曲《秋思》的曲作者是？,萧友梅,马思聪,刘天华,A
8,《五四纪念爱国歌》是谁创作的？,萧友梅,冼星海,黄自,A
9,辛亥革命中国颁布的第一首国歌是什么？作曲是？,《卿云歌》萧友梅,《义勇军进行曲》聂耳,《中华民国国歌》李叔同,A
10,管弦乐《新霓裳羽衣舞》是谁的作品？,萧友梅,刘天华,冼星海,A
11,萧友梅的《新霓裳羽衣舞》是什么体裁的音乐？,管弦乐,室内乐,合唱曲,A 
