题号,问题,选项A,选项B,选项C,正确答案
1,宋代词调音乐的曲调被称为？文本被称为？,曲子(曲调)、曲子词或词(文本),宫调(曲调)、散曲(文本),板腔(曲调)、词牌(文本),A
2,词调音乐的创作手法是？,依乐填词，方式：减字、摊破、偷声、犯调,以词配乐，方式：纯曲、增字、变音,随意创作，方式：自度曲、借调、齐唱,A
3,词调音乐的体裁是？,令、慢、引、近,套曲、杂剧、诸宫调,小令、长调、散曲,A
4,南宋词人姜夔号什么？世称什么？,号：白石道人，世称：姜白石,号：东坡居士，世称：苏东坡,号：清照，世称：易安居士,A
5,姜白石在他的《白石道人歌曲》中，记录的古曲有哪两首？,《霓裳中序第一》和《醉商吟小品》,《扬州慢》和《杏花天影》,《水调歌头》和《念奴娇》,A
6,《霓裳中序第一》是一首什么类型的音乐？,填词歌曲,器乐合奏曲,宗教礼仪曲,A
7,姜白石填词的作品《玉梅令》作曲是？,诗人范成大,词人辛弃疾,自度曲,A
8,《白石道人歌曲》共收录多少首词调？,共17首，自度曲14首,共24首，自度曲21首,共12首，自度曲8首,A
9,姜夔《白石道人歌曲》的记谱方式是什么？,宋代俗字谱,工尺谱,简谱,A
10,南宋词人姜夔的自度曲的代表作是？,《扬州慢》《杏花天影》《鬲溪梅令》,《水调歌头》《念奴娇》《雨霖铃》,《阳关三叠》《梧叶儿》《醉花阴》,A
11,姜白石的歌曲有什么特点？2点,①一字一音为主，②音阶以七声为主，常出现变徵、变宫等偏音，西域音乐的影响,①一字多音为主，②以五声音阶为主，融合了中原地区的民歌元素,①复杂的节奏型，②大量使用装饰音，受宫廷燕乐影响,A
12,姜夔是哪个朝代的？,南宋,北宋,元代,A
13,宋代以娱乐为主的商业集中点是？,瓦子（瓦舍、瓦肆）,勾栏,酒楼,A
14,宋代民间瓦子中供艺人表演的场所是？,勾栏,茶园,戏台,A
15,瓦子勾栏中，民间艺人的表演形式有？,小唱、诸宫调、杂剧、唱赚,散曲、大曲、曲牌、说书,南戏、花鼓戏、皮影戏、木偶戏,A
16,宋代的唱赚的结构形式分为？,缠令、缠达,令曲、慢曲,开场、过门,A
17,宋代民间出现的艺人行会组织是？,书会、社会,班社、戏班,艺社、伶社,A
18,在中国历史上，哪个朝代的音乐主流由宫廷转向民间？,宋代,唐代,元代,A
19,宋代民间合奏形式有？,细乐、清乐、小乐器、鼓板,大乐、法曲、鼓吹、坐部伎乐,管弦、丝竹、鼓乐、唢呐,A
20,宋代民间合奏形式中，鼓板的伴奏乐器是？,鼓、拍板、笛,琵琶、箜篌、筝,笙、管、埙,A
21,宋代宫廷合奏的形式有？,教坊大乐、随军番部大乐、马后乐,雅乐、燕乐、鼓吹、军乐,大晟府乐、九部乐、法曲、杂伎,A
22,宋代的哪种宫廷燕乐是规模最大的合奏形式？,教坊大乐,随军番部大乐,马后乐,A
23,宋元时期说唱由发展走向成熟的重要标志是什么？,很多大型长篇说唱的出现,官方对说唱艺术的支持,说唱艺术与戏曲的结合,A
24,宋元时期的说唱形式有哪些？,鼓子词、诸宫调,弹词、评书,说书、平话,A
25,鼓子词是哪个时期的说唱音乐体裁？,宋代,元代,明代,A
26,宋代用鼓伴奏、以唱为主、反复使用同一曲牌的说唱形式是什么？代表作是？,鼓子词，《渔家傲》,诸宫调，《刘智远诸宫调》,唱赚，《水调歌头》,A
27,我国古代大型说唱形式诸宫调兴盛于哪儿？,北宋汴京的勾栏,南宋杭州的瓦子,元代大都的酒楼,A
28,北宋说唱诸宫调是由谁创立的？,孔三传,姜夔,王实甫,A
29,使用多种宫调、有说有唱、说唱相间、以唱为主、体制宏大是指我国古代哪一说唱形式？,诸宫调,鼓子词,南戏,A
30,宋元时期民间使用最多的伴奏乐器有？,鼓、拍板、笛,琵琶、箜篌、筝,笙、管、埙,A
31,诸宫调的伴奏乐器是什么？,鼓、拍板、笛,琵琶、箜篌、筝,胡琴、三弦、笙,A
32,音乐由多套曲牌组成，每套曲牌使用同一个宫调，不同套曲其宫调也各不相同是指我国古代哪一说唱形式？,诸宫调,鼓子词,唱赚,A
33,保存至今的宋代诸宫调有？,《刘智远诸宫调》《西厢记诸宫调》《天宝遗事诸宫调》,《水浒传诸宫调》《三国志诸宫调》《红楼梦诸宫调》,《白蛇传诸宫调》《梁祝诸宫调》《牡丹亭诸宫调》,A
34,《西厢记诸宫调》作于何时？作者是？别称为？,金章宗时期（北宋），董解元，别称《董西厢》,南宋末期，姜夔，别称《姜西厢》,元代初期，王实甫，别称《王西厢》,A
