题号,问题,选项A,选项B,选项C,正确答案
1,周朝建立初期，是由谁建立的礼乐制度？,周公,姬旦,周武王,A
2,周代的礼乐制度中，天子、诸侯、卿和大夫、士的乐队排列分别是怎样的？,"天子 - 四面 - 宫县·诸侯 - 三面 - 轩县·卿和大夫 - 两面 - 判县·士 - 一面 - 特县","天子 - 五面 - 宫县·诸侯 - 四面 - 轩县·卿和大夫 - 三面 - 判县·士 - 二面 - 特县","天子 - 三面 - 宫县·诸侯 - 二面 - 轩县·卿和大夫 - 一面 - 判县·士 - 半面 - 特县",A
3,周代的礼乐制度中，天子使用几面乐队排列？,四面 - 宫县,五面 - 宫县,三面 - 宫县,A
4,周代的礼乐制度中，诸侯使用几面乐队排列？,三面 - 轩县,四面 - 轩县,二面 - 轩县,A
5,周代的礼乐制度中，卿和大夫使用几面乐队排列？,两面 - 判县,三面 - 判县,一面 - 判县,A
6,周代的礼乐制度中，士使用几面乐队排列？,一面 - 特县,两面 - 特县,半面 - 特县,A
7,周代的礼乐制度中，天子、诸侯、卿和大夫、士的舞队排列情况分别是什么样的？,"天子八佾·诸侯六佾·卿和大夫四佾·士二佾","天子十佾·诸侯八佾·卿和大夫六佾·士四佾","天子六佾·诸侯四佾·卿和大夫二佾·士一佾",A
8,周代的礼乐制度中，天子使用的舞队是怎样的？,八佾,十佾,六佾,A
9,周代的礼乐制度中，诸侯使用的舞队是怎样的？,六佾,八佾,四佾,A
10,周代的礼乐制度中，卿和大夫使用的舞队是怎样的？,四佾,六佾,二佾,A
11,周代的礼乐制度中，士使用的舞队是怎样的？,二佾,四佾,一佾,A
12,西周乐舞有？4点,"①六代乐舞·②小舞·③散乐·④四夷之乐","①商周乐舞·②庙堂乐舞·③祭祀乐舞·④宴飨乐舞","①黄帝乐舞·②唐尧乐舞·③虞舜乐舞·④禹夏乐舞",A
13,西周统治者用于祭祀大典和重大宴飨的活动是？,六代乐舞,四夷之乐,小舞,A
14,被奉为雅乐的最高典范是？,六代乐舞,四夷之乐,散乐,A
15,周代宫廷音乐代表性作品是？,六代乐舞,小舞,散乐,A
16,六代乐舞中，黄帝时期的作品是？,《云门》（或称《云门大卷》）,《咸池》,《箫韶》,A
17,六代乐舞中，尧时期的作品是？,《咸池》,《云门》,《大夏》,A
18,六代乐舞中，舜时期的作品是？,《箫韶》（或称《九韶》）,《咸池》,《大武》,A
19,哪部六代乐舞作品曾让孔子"三月不知肉味"？,《箫韶》（或称《九韶》）,《云门》,《大武》,A
20,六代乐舞中，夏时期的作品是？,《大夏》,《大濩》,《箫韶》,A
21,六代乐舞中，歌颂大禹治水功绩的是？,《大夏》,《咸池》,《大武》,A
22,六代乐舞中，商时期的作品是？,《大濩》,《大夏》,《大武》,A
23,六代乐舞中，歌颂商汤伐桀功绩的是？,《大濩》,《大夏》,《咸池》,A
