题号,问题,选项A,选项B,选项C,正确答案
1,在浙江余姚河姆渡遗址出土的吹奏乐器是什么？,骨哨,陶埙,贾湖骨笛,A
2,考古发现的我国最古老的乐器是什么？,贾湖骨笛,骨哨,编钟,A
3,河南二里头遗址出土的带有玉舌的乐器是什么？,玉铃铛,编钟,陶埙,A
4,根据《周礼》记载，天子在礼乐活动中使用的是什么乐器？,宫县,特磬,大钟,A
5,上古六代乐舞中，黄帝时期创立的乐舞是什么？,云门,咸池,韶乐,A
6,上古六代乐舞中，用来歌颂商汤伐桀功绩的一部乐舞是什么？,大濩,大武,大夏,A
7,在中国传统八音分类法中，埙属于哪一类？,土类,石类,木类,A
8,周代管理音乐事务的机构是什么？,大司乐,太乐署,鼓吹署,A
9,中国古代十二律中排在第一位的律名是什么？,黄钟,大吕,太簇,A
10,西汉时期根据新声二十八解创造出作品的协律都尉是谁？,李延年,李陵,李广,A
11,汉代由北方民族传入中原地区的一种音乐是什么？,鼓吹乐,相和歌,清商乐,A
12,魏晋时期嵇康著名的音乐美学著作是什么？,声无哀乐论,乐记,毛诗序,A
13,中国戏曲早期重要的表演形式是什么？,歌舞戏,散乐,伎乐,A
14,隋朝时期关于是否设立乐制的重要讨论是什么？,开皇乐议,大业乐议,隋乐改革,A
15,唐代大曲的完整结构包括散序-中序之后是什么？,破,三台,入破,A
16,唐代设立在皇家禁苑内的音乐培训场所是什么？,梨园,教坊,鼓吹署,A
17,唐代变文属于什么艺术形式？,说唱,歌舞,散曲,A
18,唐末五代时期胡族音乐家苏诋婆带到中原的音乐调式是什么？,五旦七调,七声音阶,五声音阶,A
19,南宋时期诸宫调的创立者是谁？,孔三传,魏良辅,梁辰鱼,A
20,宋代在温州、嘉兴一带流行的戏曲形式叫什么？,南戏,杂剧,院本,A
21,古琴名曲《高山流水》中，伯牙遇知音的相关琴曲是什么？,流水,高山,广陵散,A
22,古琴名曲《广陵散》通常被认为与哪位历史人物的故事有关？,聂政刺韩王,伯牙绝弦,屈原投江,A
23,《声无哀乐论》的作者是哪位魏晋时期的音乐理论家？,嵇康,阮籍,王羲之,A
24,古琴曲《碣石调幽兰》采用何种记谱法记录？,文字谱,减字谱,工尺谱,A
25,《胡笳十八拍》创作与哪位东汉女诗人颠沛流离的生活经历有关？,蔡文姬,李清照,卓文君,A
26,南宋古琴名曲《潇湘水云》的作者是谁？,郭沔,杨抡,朱权,A
27,明清时期戏曲四大声腔之一是什么？,海盐腔,昆山腔,余姚腔,A
28,明代剧作家梁辰鱼创作的著名昆曲剧本是什么？,浣纱记,牡丹亭,桃花扇,A
29,明代剧作家汤显祖哪部作品歌颂了善良坚强的女性形象？,窦娥冤,牡丹亭,长生殿,A
30,明代古琴谱集《神奇秘谱》的编纂者是谁？,朱权,姚旅,杨抡,A
31,明代徐上瀛所著的重要古琴理论著作是什么？,溪山琴况,琴史,琴学入门,A
32,明代哪位音乐理论家提出了新法密律或异径管律？,朱载堉,徐上瀛,魏良辅,A
33,清代康熙年间，哪位葡萄牙传教士向康熙皇帝进贡了管风琴和古钢琴？,徐日升,利玛窦,汤若望,A
34,民国时期李叔同创作的代表作品是什么？,送别,春晓,长亭送别,A
35,民国时期刘天华与刘北茂共同创建的音乐组织是什么？,国乐改进社,国立音乐院,中华音乐会,A
36,民国时期萧友梅创作的代表作品是什么？,问,玫瑰三愿,春江花月夜,A
37,民国时期华彦钧（阿炳）除了擅长二胡演奏外，还精通哪种乐器？,琵琶,古琴,扬琴,A
38,黎锦晖创作的儿童歌舞剧作品有哪一部？,三蝴蝶,小天使,小公主,A
39,民国时期黄自创作的清唱剧是什么？,《长恨歌》,《春》,《国风》,A
40,民国时期青主（李叔同之子）与赵元任共同创办的歌曲集是什么？,《音境》,《春江花月夜》,《雨后庭花》,A
41,苏轼的《念奴娇·赤壁怀古》中哪句词句被青主用来创作同名艺术歌曲？,大江东去,大江东流,滚滚长江,A
42,艺术歌曲《岁月悠悠》的作曲家是谁？,江定仙,黄自,刘雪庵,A
43,抗战歌曲《松花江上》的作曲家是谁？,张寒晖,聂耳,冼星海,A
44,电影《渔光曲》中同名插曲的作曲家是谁？,任光,田汉,聂耳,A
45,马思聪哪部作品获得了齐尔品小提琴比赛头等奖？,《牧童短笛》,《思乡曲》,《二泉映月》,A
46,抗战歌曲《垦春泥》的作曲家是谁？,贺绿汀,田汉,光未然,A
47,冼星海与光未然合作创作的经典合唱作品是什么？,《黄河大合唱》,《长江之歌》,《黄河颂》,A
48,马思聪创作的交响音诗是什么？,《山林之歌》,《台湾舞曲》,《梁祝》,A
49,黄源洛与洪深合作创作的歌剧作品是什么？,《秋子》,《小二黑结婚》,《白毛女》,A
50,江文也创作并获得国际奖项的作品是什么？,《台湾舞曲》,《山林之歌》,《渔光曲》,A
51,《延安颂》的作曲家是谁？,郑律成,马可,刘炽,A
52,秧歌剧《兄妹开荒》首次成功演出的地点是哪里？,延安,重庆,上海,A
53,歌剧《白毛女》中杨白劳的唱段是以哪首民歌为基础创作的？,《捡麦根》,《小放牛》,《小河淌水》,A
54,抗战歌曲《全世界人民心一条》的作曲家是谁？,瞿希贤,刘炽,郑律成,A
55,国统区抗战讽刺作品《古怪歌》的作曲家是谁？,贺绿汀,聂耳,吕骥,A
56,京剧表演艺术家梅兰芳将青衣与花旦结合创造的新角色类型是什么？,花衫,刀马旦,青衣,A
57,《种大烟》是我国哪个地区的民歌？,河北张家口,湖南,陕北,A
58,中国钢琴作品《五梆子》的作曲家是谁？,冯子存,聂耳,冼星海,A
59,管弦乐作品《快乐的节日》的作曲家是谁？,丁善德,生茂,江文也,A
60,马耀先与李中汉合作创作的作品是什么？,《新疆之春》,《草原英雄小姐妹》,《长征组歌》,A
61,交响合唱《嘎达梅林》的作曲家是谁？,辛沪光,贺绿汀,丁善德,A
62,富连成班是哪种戏曲剧种的著名剧团？,京剧,越剧,豫剧,A
63,交响曲《浣溪沙》的作曲家是谁？,罗中镕,贺绿汀,丁善德,A
64,民族管弦乐《瑶族舞曲》的作曲家是谁？,刘铁山 茅沅,王西麟,马可,A
65,大型交响诗《云南音诗》的作曲家是谁？,王西麟,辛沪光,罗忠镕,A
66,吴祖强与杜鸣心合作创作的舞剧作品是什么？,《鱼美人》,《小刀会》,《红色娘子军》,A
67,歌剧《小二黑结婚》的主要创作者是谁？,马可 乔谷,光未然,郑律成,A
68,游行歌曲《真是乐死人》的作曲家是谁？,生茂,丁善德,马可,A
69,少先队队歌《我们是共产主义接班人》的作曲家是谁？,寄明,郑律成,刘炽,A
70,交响诗《剑器》的作曲家是谁？,徐昌俊,田汉,洪深,A 
