题号,问题,选项A,选项B,选项C,正确答案
1,开皇乐议发生在哪个朝代？,隋代,唐代,南北朝,A
2,中国古代音乐最繁荣的朝代是？,唐代,宋代,元代,A
3,隋唐时期，天子及诸侯宴饮宾客时所用的音乐是？,燕乐,雅乐,鼓吹乐,A
4,标志着我国古代音乐发展达到空前高度和水平的是？,唐代燕乐,隋代雅乐,宋代民间音乐,A
5,唐代燕乐中多部伎建立于什么时期？共有几部伎？,隋初，七部,唐初，五部,隋末，九部,A
6,多部伎是什么时期发展到了九部伎？,隋炀帝时期,唐太宗时期,唐玄宗时期,A
7,唐代九部伎是在隋七部伎的基础上进行了怎样的调整？,废除文康伎、天竺伎，加入扶南伎、燕乐，并将燕乐列为诸部之首,增加文康伎、天竺伎，删除安国伎、龟兹伎,保留原有七部，新增高昌伎和西凉伎,A
8,唐代九部伎中新加入并列为诸部之首的燕乐来源于？,《景云河清歌》即《燕乐》,《霓裳羽衣曲》,《菩萨蛮》,A
9,唐太宗时期将多部伎扩充至十部伎，在九部伎的基础上加入了什么？,加入了高昌伎（唐太宗统一高昌）,加入了西凉伎（唐太宗平定西域）,加入了林邑伎（唐太宗南征交趾）,A
10,唐代燕乐坐立部伎的大部分音乐都具有什么风格？,西域音乐和中原音乐相融合的新风格,单纯保留西域音乐特色的异域风格,完全继承中原传统的古典风格,A
11,堂上表演，六部乐舞，注重个人技巧的是什么？,坐部伎,立部伎,散部伎,A
12,唐代坐、立部伎共有多少部乐舞？,14部,12部,16部,A
13,堂下表演，八部乐舞，注重气势、场面宏伟的是什么？,立部伎,坐部伎,行部伎,A
14,唐代大曲又称为什么？,燕乐歌舞大曲,宫廷法曲,民间清乐,A
15,唐代大曲是建立在什么基础上的，并将其更高程度的发展？,相和大曲、清商大曲,雅乐、俗乐,九部伎、十部伎,A
16,唐代大曲的结构是什么？,散序 - 中序 - 破,引子 - 主题 - 尾声,开场 - 中板 - 大收,A
17,唐代大曲的结构中，以器乐演奏为主、以散板形式自由节拍的段落是什么？,散序,中序,破,A
18,唐代大曲的结构中，以歌唱为主、由器乐伴奏多为抒情的慢板的是？,中序,散序,破,A
19,唐代大曲的结构中，以舞蹈为主、气氛热烈、节奏欢快的是什么？,破,散序,中序,A
20,唐代大曲的代表作是什么？,唐玄宗《霓裳羽衣舞》,隋炀帝《秦王破阵乐》,唐太宗《秦王破阵乐》,A
21,唐玄宗创作的《霓裳羽衣曲》是什么类型的？,法曲,大曲,俗曲,A
22,隋唐宫廷燕乐中最重要的、被用于佛教法会而得名的音乐形式是什么？其风格特点是？,法曲，风格清淡,燕乐，风格恢宏,清商乐，风格婉转,A
23,隋唐法曲中最著名的一首是？,《霓裳羽衣曲》,《秦王破阵乐》,《凉州》,A
24,宋代词调歌曲《霓裳羽衣中序第一》的曲作者是？,姜夔,柳永,苏轼,A
25,唐代宫廷最高的音乐机构是？,太常寺,教坊,梨园,A
