题号,问题,选项A,选项B,选项C,正确答案
1,儿童文化周刊《小朋友》的主编是？,黎锦晖,聂耳,赵元任,A
2,黎锦晖的儿童歌舞剧和儿童歌舞表演曲各有多少？,儿童歌舞剧12部、儿童歌舞表演曲24首,儿童歌舞剧8部、儿童歌舞表演曲16首,儿童歌舞剧16部、儿童歌舞表演曲32首,A
3,黎锦晖的《小小画家》《麻雀与小孩》《葡萄仙子》是什么体裁的作品？,儿童歌舞剧,儿童歌舞表演曲,流行歌曲,A
4,黎锦晖第一部儿童歌舞剧作品是？,《麻雀与小孩》,《小小画家》,《葡萄仙子》,A
5,《老虎叫门》是黎锦晖的什么体裁的作品?,儿童歌舞表演曲,儿童歌舞剧,流行歌曲,A
6,黎锦晖的《可怜的秋香》是什么体裁的作品？,儿童歌舞表演曲,儿童歌舞剧,教育歌曲,A
7,黎锦晖在哪个年代创作了大量作品？,20年代,30年代,40年代,A
8,谁曾经考入黎锦晖主办的明月歌舞团？,聂耳,冼星海,黄自,A
9,中国流行音乐的鼻祖是？,黎锦晖,李叔同,刘天华,A
10,中国最早的儿童刊物是？由谁创办？,黎锦晖《小朋友》,赵元任《儿童世界》,黄自《少年音乐》,A
11,黎锦晖创办的我国第一所专门培养歌舞人才的学校是？,中华歌舞专修学校,上海音乐学院,北京音乐学院,A
12,中国最早培养歌舞人才的学校是？,中华歌舞专修学校,国立音乐院,北平艺术专科学校,A
13,我国第一首流行歌曲是谁的什么作品？,黎锦晖·《毛毛雨》,李叔同·《送别》,黄自·《花非花》,A
14,流行歌曲《毛毛雨》是谁的作品？,黎锦晖,刘天华,聂耳,A
15,流行歌曲《毛毛雨》首唱者是谁？,黎明晖,周璇,白光,A
16,流行歌曲《桃花江》是谁的作品？,黎锦晖,李叔同,聂耳,A
17,歌曲《桃花江》的曲作者是？,黎锦晖,黄自,李叔同,A
18,文革时期被批为黄色音乐的鼻祖的是？,黎锦晖,贺绿汀,江文也,A
19,中华歌舞专修学校后改名为？,明月歌舞剧社,中国歌舞团,新华歌舞团,A
20,中华歌舞专修学校培养出来的最早的歌星是？,周璇,白光,姚莉,A
21,黎锦晖的儿童歌舞音乐反映了？,民主科学精神,革命斗争精神,民族团结精神,A
22,黎锦晖的儿童歌舞音乐特点是？2点,针对儿童、旋律上口,气势恢宏、民族特色,技巧复杂、情感丰富,A 
