题号,问题,选项A,选项B,选项C,正确答案
1,俄罗斯音乐之父是？,格林卡,柴可夫斯基,里姆斯基·科萨科夫,A
2,第一位取得国际声誉的俄罗斯作曲家是？,格林卡,鲍罗丁,穆索尔斯基,A
3,格林卡的第一部歌剧是？后改名为？,《为沙皇献身》后改名为《伊万·苏萨宁》,《鲁斯兰与柳德米拉》后改名为《魔王》,《叶甫根尼·奥涅金》后改名为《沙王》,A
4,格林卡第一部歌剧《为沙皇献身》被贵族斥为？,马车夫的音乐,农民的噪音,粗鄙的舞曲,A
5,格林卡的第二部歌剧是？,《鲁斯兰与柳德米拉》,《伊万·苏萨宁》,《叶甫根尼·奥涅金》,A
6,格林卡的神话歌剧作品《鲁斯兰与柳德米拉》是根据什么而改编的？,普希金长诗改编,果戈理小说改编,托尔斯泰故事改编,A
7,格林卡的作品《卡马林斯卡亚》是一部什么体裁的作品？,管弦乐幻想曲,交响诗,弦乐四重奏,A
8,提出创作音乐的是人民，作曲家只是记写谱子这一说法的是？,格林卡,柴可夫斯基,穆索尔斯基,A
9,强力集团的五位代表性作曲家都有谁？,巴拉基列夫、居伊、鲍罗丁、穆索尔斯基、里姆斯基·科萨科夫,柴可夫斯基、格林卡、斯特拉文斯基、普罗科菲耶夫、拉赫玛尼诺夫,格里格、西贝柳斯、德沃夏克、斯美塔那、肖邦,A
10,强力五人团中作曲水准较专业的是？,巴拉基列夫,鲍罗丁,穆索尔斯基,A
11,强力五人团中居伊曾是？,工程师,化学家,医生,A
12,里姆斯基·科萨科夫曾是？,海军军官,陆军军官,空军飞行员,A
13,穆索尔斯基曾是？,陆军军官,海军军官,工程师,A
14,鲍罗丁曾是？,化学家,物理学家,数学家,A
15,歌剧《包里斯·戈杜诺夫》的作者是？,穆索尔斯基,格林卡,柴可夫斯基,A
16,歌剧《包里斯·戈杜诺夫》是穆索尔斯基是依据什么而创作的？,普希金同名悲剧,托尔斯泰同名小说,果戈理同名讽刺剧,A
17,穆索尔斯基的歌剧《包里斯·戈杜诺夫》启发到了谁？,德彪西,瓦格纳,普契尼,A
18,穆索尔斯基的钢琴套曲《展览会上的图画》被谁配成管弦乐而出名？,拉威尔,德彪西,斯特拉文斯基,A
19,钢琴套曲《展览会上的图画》的作者是？,穆索尔斯基,柴可夫斯基,里姆斯基·科萨科夫,A
20,交响音画《荒山之夜》的作者是？,穆索尔斯基,鲍罗丁,里姆斯基·科萨科夫,A
21,穆索尔斯基的《荒山之夜》是一部什么体裁的作品？,交响音画,歌剧,弦乐四重奏,A
22,强力集团中年龄最小，但作曲水准最高的作曲家是？,里姆斯基·科萨科夫,穆索尔斯基,鲍罗丁,A
23,歌剧《金鸡》的作者是？,里姆斯基·科萨科夫,格林卡,穆索尔斯基,A
24,里姆斯基·科萨科夫的哪部作品取材于阿拉伯神话《一千零一夜》？,交响组曲《舍赫拉查德》,歌剧《金鸡》,管弦乐《西班牙随想曲》,A
25,《舍赫拉查德》的作者是？,里姆斯基·科萨科夫,鲍罗丁,巴拉基列夫,A
26,《西班牙随想曲》的作者是？,里姆斯基·科萨科夫,柴可夫斯基,格林卡,A
27,里姆斯基·科萨科夫的管弦乐创作中有两部表现异国情调的作品是？,《西班牙随想曲》《舍赫拉查德》,《金鸡》《沙皇的新娘》,《雪姑娘》《五月之夜》,A
28,里姆斯基·科萨科夫曾经在哪儿教书，培养了普罗科菲耶夫、斯特拉文斯基等优秀作曲家？,圣彼得堡音乐学院,莫斯科音乐学院,柏林音乐学院,A
29,歌剧《伊戈尔王》的作者是？,鲍罗丁,穆索尔斯基,柴可夫斯基,A
30,管弦乐《在中亚西亚草原上》的作者是？,鲍罗丁,里姆斯基·科萨科夫,柴可夫斯基,A
31,在俄罗斯诸位作曲家中，被誉为是旋律大师的是哪位作曲家？,柴可夫斯基,格林卡,穆索尔斯基,A
32,柴可夫斯基是哪个学校的首届学生？,圣彼得堡音乐学院,莫斯科音乐学院,维也纳音乐学院,A
33,柴可夫斯基的《罗密欧与朱丽叶》是一部什么体裁的作品？,幻想序曲,交响诗,歌剧,A
34,柴可夫斯基的三部芭蕾舞剧是？,《天鹅湖》《睡美人》《胡桃夹子》,《罗密欧与朱丽叶》《仙女》《火鸟》,《灰姑娘》《海盗》《唐·吉诃德》,A
35,《胡桃夹子》是柴可夫斯基的什么类型音乐？,舞剧音乐,歌剧音乐,交响乐,A
36,柴可夫斯基较为著名的两部歌剧是？,《叶甫根尼·奥涅金》《黑桃皇后》,《伊戈尔王》《金鸡》,《包里斯·戈杜诺夫》《鲁斯兰与柳德米拉》,A
37,资助柴可夫斯基的人是？,梅克夫人,冯·梅克男爵,尼古拉二世,A
38,柴可夫斯基较为著名的钢琴协奏曲是哪一部？,《第一钢琴协奏曲》,《第二钢琴协奏曲》,《第三钢琴协奏曲》,A
39,柴可夫斯基最后一部作品是？,《第六交响曲》（悲怆）,《第五交响曲》,《第四交响曲》,A
40,柴可夫斯基《第六首交响曲》又被称为？,《悲怆》,《命运》,《英雄》,A
41,柴可夫斯基交响曲一共多少首？,6首,9首,4首,A
42,柴可夫斯基曾经接受过哪个大学的名誉音乐博士学位？,英国剑桥大学,美国哈佛大学,法国巴黎大学,A
43,柴可夫斯基的创作特点有？,比强力集团更注重浪漫主义技巧，个人情感，音乐的悲剧性,专注于民族素材，避免西方技法，强调史诗性,倾向于实验性创作，使用无调性，注重音响效果,A
44,《1812庄严序曲》的作者是？,柴可夫斯基,穆索尔斯基,格林卡,A 
