题号,问题,选项A,选项B,选项C,正确答案
1,建国后第一首歌颂社会主义的歌曲是？词曲作者是？,《歌唱祖国》、王莘（词曲）,《我的祖国》、刘炽（曲）乔羽（词）,《我爱你中国》、瞿希贤（曲）,A
2,歌曲《全世界人民一条心》的曲作者是？,瞿希贤（曲）,印青,郭文景,A
3,歌曲《听妈妈讲过去的故事》的曲作者是？,瞿希贤（曲）,王立平,张千一,A
4,歌曲《我们走在大路上》的作者是谁？,李劫夫（词曲）,阎述诗,施光南,A
5,歌曲《我的祖国》的词曲作者是谁？首唱者是谁？,刘炽（曲）、乔羽（词）、郭兰英（首唱）,王莘（词曲）、王昆（首唱）,印青（曲）、叶佩英（首唱）,A
6,歌曲《我和我的祖国》的曲作者是？,秦咏诚,郑秋枫,陆在易,A
7,歌曲《让我们荡起双桨》的词曲作者是？,刘炽（曲）、乔羽（词）,郑秋枫（曲）、洛枫（词）,王立平（曲）、宫振鹏（词）,A
8,歌曲《我爱你中国》的作曲是？首唱者是？,郑秋枫（曲）、叶佩英（首唱）,王莘（曲）、郭兰英（首唱）,秦咏诚（曲）、谭晶（首唱）,A
9,歌曲《祖国，慈祥的母亲》的作曲是？,陆在易,王立平,施光南,A
10,歌曲《草原上升起不落的太阳》的作者是？,美丽其格（词曲）,阿拉腾奥勒,乌兰托嘎,A
11,歌曲《远方的客人请你留下来》的作曲是？,麦丁编曲,阎述诗,刘炽,A
12,歌曲《洞庭鱼米香》的作曲是？,白诚仁,谷建芬,施光南,A
13,歌曲《克拉玛依之歌》的曲作者是？,吕远,赵季平,王立平,A
14,歌曲《乌苏里船歌》的曲作者是？,郭颂,吕远,张寒晖,A
15,中国第一首摇滚乐是？曲作者是？,崔健《一无所有》,朴树《平凡之路》,刀郎《西海情歌》,A
16,歌曲《黄土高坡》的曲作者是？,苏越,赵季平,谷建芬,A
17,歌曲《让世界充满爱》的曲作者是？,郭峰,苏越,谷建芬,A
18,歌曲《我们是民主青年》的曲作者是？,马可,谷建芬,寄明,A
19,歌曲《我们是共产主义接班人》的曲作者是？,寄明,瞿希贤,施光南,A
20,歌曲《学习雷锋好榜样》的曲作者是？,生茂,马可,李劫夫,A
21,歌曲《马儿啊你慢些走》的曲作者是？,生茂,谷建芬,王立平,A
22,歌曲《真是乐死人》的曲作者是？,生茂,印青,吕远,A
23,歌曲《我为祖国献石油》的曲作者是？,秦咏诚,张千一,施光南,A
24,歌曲《北京颂歌》的曲作者是？,田光、傅晶,王立平,印青,A
25,歌曲《唱支山歌给党听》的曲作者是？,朱践耳,李劫夫,吕远,A
26,歌曲《唱支山歌给党听》首唱者是谁？,才旦卓玛,郭兰英,王昆,A
27,合唱《英雄的诗篇》的曲作者是？,朱践耳,施光南,金湘,A
28,歌曲《谁不说俺家乡好》的曲作者是？,吕其明,朱践耳,施光南,A
29,歌曲《花儿为什么这样红》的曲作者是？,雷振邦,谷建芬,苏越,A
30,歌曲《大海航行靠舵手》的曲作者是？,王双印,朱践耳,傅庚辰,A
31,歌曲《红星照我去战斗》的曲作者是？,傅庚辰,王双印,施光南,A
32,歌曲《闪闪的红星》的曲作者是？,傅庚辰,生茂,寄明,A
33,歌曲《祝酒歌》的曲作者是？,施光南,傅庚辰,谷建芬,A
34,歌曲《在希望的田野上》的曲作者是？作于何时？,施光南、80年代,谷建芬、70年代,印青、90年代,A
35,歌曲《打起手鼓唱起歌》的曲作者是？,施光南,谷建芬,阿拉腾奥勒,A
36,歌曲《多情的土地》的曲作者是？,施光南,吕其明,赵季平,A
37,歌曲《美丽的草原我的家》的曲作者是？,阿拉腾奥勒,美丽其格,郭颂,A
38,歌曲《送上我心头的思念》的曲作者是？,施万春,施光南,谷建芬,A
39,歌曲《年轻的朋友来相会》的曲作者是？,谷建芬,施光南,施万春,A
40,歌曲《那就是我》的曲作者是？,谷建芬,王立平,施光南,A
41,歌曲《歌声与微笑》的曲作者是？,谷建芬,施光南,印青,A
42,歌曲《滚滚长江东逝水》的曲作者是？,谷建芬,王立平,赵季平,A
43,歌曲《大海啊！故乡》的曲作者是？,王立平,谷建芬,施光南,A
44,歌曲《太阳岛上》的曲作者是？,王立平,谷建芬,赵季平,A
45,歌曲《枉凝眉》的曲作者是？,王立平,赵季平,谷建芬,A
46,歌曲《走进新时代》的曲作者是？,印青,王立平,施光南,A
47,歌曲《天路》的曲作者是？,印青,张千一,赵季平,A
48,歌曲《好汉歌》的曲作者是？,赵季平,印青,王立平,A
49,歌曲《红高粱》的曲作者是？,赵季平,谷建芬,张千一,A
50,为《霸王别姬》电影配乐的作曲家是？,赵季平,印青,郭文景,A
