题号,问题,选项A,选项B,选项C,正确答案
1,中世纪这个名词是谁发明的？,文艺复兴时期的学者,古希腊时期的哲学家,中世纪时期的教会人士,A
2,格里高利圣咏是以什么命名的？,罗马教皇格里高利一世,圣咏作者格里高利,拜占庭皇帝格里高利,A
3,现今见到最早的格里高利圣咏的手抄本是谁完成的？,9世纪的法兰克人,7世纪的罗马教士,11世纪的英国修士,A
4,格里高利圣咏用于什么宗教活动？,日课和弥撒,受洗仪式和婚礼,忏悔和告解,A
5,弥撒曲分为？,特定弥撒和常规弥撒,简短弥撒和完整弥撒,低声弥撒和高声弥撒,A
6,哪种弥撒曲的歌词在全年的使用中固定不变？,常规弥撒,特定弥撒,变动弥撒,A
7,常规弥撒的五个段落是？,慈悲经、荣耀经、信经、圣哉经、羔羊经,颂主经、赞美经、感恩经、信仰经、平安经,开端曲、中间曲、高潮曲、沉思曲、结束曲,A
8,慈悲经一共有几句？,3句,5句,7句,A
9,常规弥撒的第一段是？,慈悲经,荣耀经,信经,A
10,格里高利圣咏中最丰富的段落是？,阿里路亚,信经,慈悲经,A
11,中世纪圣咏中附加新的段落是？,附加段,副歌段,终结段,A
12,10至11世纪附加段的创作中心在哪儿？,圣加尔修道院,圣彼得大教堂,圣雅各修道院,A
13,中世纪中，专门为阿里录用所做的附加段是？,继续咏,赞美咏,慈悲咏,A
14,中世纪中，圣加尔修道院的哪位僧侣以擅长创作继续咏而著名？,诺特克（口吃者）,贝内迪克特,安瑟伦,A
15,中世纪的哪位作曲家创作了大量的宗教作品？,修女·希尔德加德,僧侣·格雷戈里,主教·安布罗斯,A
16,希尔德加德的代表作是？,宗教剧《美德》,弥撒曲《圣母颂》,赞美诗《荣耀颂》,A
17,游吟诗人的调式多采用什么调式？,多利亚和混合利底亚,爱奥尼亚和利底亚,弗里几亚和米索利底亚,A
18,格里高利圣咏的特征有哪些？,单音织体、拉丁文歌词、节奏自由、旋律呈级进、歌词段落、节制的风格,多声部、民族语言、固定节奏、大跳旋律、无词段落、华丽风格,纯器乐、希腊文歌词、强弱规则、波浪旋律、固定结构、激情风格,A
19,中世纪的教会调式系统是依据什么来制定的？,圣咏的音域、结束音、旋律,古希腊理论、数学比例、哲学思想,民间音乐、宫廷习惯、教会仪式,A
20,中世纪教会调式系统八个调式是哪些？,多利亚、弗里几亚、利底亚、混合利底亚及其副调式,爱奥尼亚、多利亚、弗里几亚、利底亚及其主调式,大调、小调、教会调、民族调及其变体,A
21,中世纪教会调式共有几种？,8种,6种,12种,A
22,中世纪教会调式系统八个调式是哪几个结束音？,多利亚-D、弗里几亚-E、利底亚-F、混合利底亚-G及其副调式,多利亚-C、弗里几亚-D、利底亚-E、混合利底亚-F及其副调式,多利亚-E、弗里几亚-F、利底亚-G、混合利底亚-A及其副调式,A
23,西方记谱法最早的根源是？,纽姆谱（符号谱）,数字谱,字母谱,A
24,11世纪谁发明了四线谱？,规多·达莱佐,诺特克,雷奥南,A
25,规多·达莱佐发明的教学工具是？,规多手,音符表,节拍器,A
26,规多·达莱佐发明的唱名法是？体现在哪一个作品里？,ut、re、mi、fa、sol、la（六声音阶），来自赞美诗《你的信徒们》,do、re、mi、fa、sol（五声音阶），来自圣咏《主的荣耀》,la、ti、do、re、mi（五声音阶），来自弥撒《圣灵颂》,A
27,中世纪时期的世俗音乐较为著名的一部诗歌集叫做？,《卡米纳·布拉那》（《博伊伦之歌》）,《国王之书》,《骑士之歌》,A
28,法国游吟诗人最早出现于哪儿？叫做什么？,法国南部（普罗旺斯），特罗巴多,法国北部（诺曼底），特罗威尔,法国中部（巴黎），吟游诗人,A
29,法国的游吟诗人最早出现在哪里？,南部（普罗旺斯）,北部（诺曼底）,中部（巴黎）,A
30,法国的游吟诗人在北部叫做？,特罗威尔,特罗巴多,诗人-作曲家,A
31,特罗威尔是来自法国哪里的游吟诗人？,北部,南部,中部,A
32,特罗巴多是来自法国哪里的游吟诗人？,南部,北部,中部,A
33,法国游吟诗人中心题材是？,爱情和宫廷之恋,战争和英雄史诗,宗教和道德故事,A
34,法国游吟诗人的记功歌内容是？代表作有？,内容：记功歌、民族史诗，代表作：《罗兰之歌》,内容：爱情诗歌、骑士传说，代表作：《亚瑟王》,内容：宗教寓言、道德故事，代表作：《圣徒传》,A
35,法国游吟诗人的特点有？,单声、旋律南方自由北方规整、调式以多利亚和混合利底亚为主、结构为AAB式（巴歌体）,多声部、旋律全部规整、调式以利底亚和爱奥尼亚为主、结构为ABA式,重复节奏、旋律统一风格、调式以弗里几亚为主、结构为通谱式,A
36,南部法国游吟诗人的代表作是？,伯尔纳《我看到云雀高飞》,吉约姆《骑士之恋》,皮埃尔《圣地之歌》,A
37,德国恋诗歌手代表作是？是什么结构？,瓦尔特·福格尔威德《我的生命有福了》，AAB曲式结构,汉斯·萨克斯《春天的喜悦》，ABA曲式结构,沃尔夫拉姆《骑士之歌》，ABCD曲式结构,A
38,中世纪福格尔威德的《我的生命有福了》别名是？,《巴勒斯坦之歌》,《爱之歌》,《春之歌》,A
39,中世纪时期，德国除了恋诗歌手还有什么题材的世俗音乐？,工匠歌手（19世纪德国作曲家瓦格纳《纽伦堡的名歌手》对此有描述）,教堂歌手（专为教会创作的世俗音乐）,骑士歌手（专为贵族宫廷创作的音乐）,A
40,中世纪的主要弓弦乐器是，且是维奥尔琴和现代小提琴的祖先？,维埃尔琴,里拉琴,鲁特琴,A
41,中世纪最流行的弓弦乐器是？,雷贝克,维埃尔琴,琵琶,A
42,中世纪的雷贝克最早是12世纪从哪里传到欧洲的？,中东一带,北非,远东,A
43,西方复调音乐的祖先是？,9世纪的奥尔加农,8世纪的赞美诗,10世纪的经文歌,A
44,奥尔加农最早记录于哪两本文献？,《音乐手册》和《学习手册》,《圣咏全书》和《音乐理论》,《教会音乐》和《和声原理》,A
45,中世纪最早解释奥尔加农现象两篇论文《音乐手册》和《学习手册》的作者是？,无名氏,规多·达莱佐,雷奥南,A
46,中世纪的早期奥尔加农新加的声部都在圣咏的什么位置？一般是几度音程？,下方，四、五度音程,上方，三、六度音程,同声部，八度音程,A
47,已知最早的两声部的11世纪奥尔加农曲集来源于哪儿？,英国南部的温彻斯特大教堂,法国巴黎圣母院,意大利罗马教堂,A
48,12世纪法国南部出现的复调形式是？包括什么？,圣玛蒂亚复调，包括花腔奥尔加农、迪斯康特奥尔加农,巴黎圣母院复调，包括孔杜克图斯、经文歌,诺特丹姆复调，包括对位法、卡农,A
49,在圣玛蒂亚复调的花腔奥尔加农中，圣咏声部位于？,下方,上方,中间,A
50,圣玛蒂亚复调中的哪种奥尔加农，上方演唱华丽的旋律？,花腔奥尔加农,迪斯康特奥尔加农,混合奥尔加农,A
51,圣玛蒂亚复调中的哪种奥尔加农，奥尔加农声部和支撑声部之间采用一音对一音的织体？,迪斯康特奥尔加农,花腔奥尔加农,卡农式奥尔加农,A
52,中世纪位于西班牙的复调音乐发展中心是？,康波斯特大教堂,塞维利亚大教堂,托莱多教堂,A
53,巴黎圣母院复调著名的两个人物是？,雷奥南和佩罗坦,弗朗科和格里高利,诺特克和规多,A
54,奥尔加农的最佳作者是？代表作品是？,雷奥南，《奥尔加农大全》,佩罗坦，《弥撒曲集》,马绍，《圣母弥撒曲》,A
55,《奥尔加农大全》的作者是？,雷奥南,佩罗坦,弗朗科,A
56,中世纪巴黎圣母院复调的一大特点是？,节奏模式,卡农技法,同音复调,A
57,在中世纪，由长、短两种时值构成，大体接近诗歌的韵律模式的是？,节奏模式,音高模式,重复音型,A
58,记谱法中最早标记节奏的系统是？,节奏模式,时值记号,节拍器,A
59,迪斯康特的最佳作者是？他的音乐贡献是？,佩罗坦，对《奥尔加农大全》进行修订,雷奥南，创作了《奥尔加农大全》,弗朗科，提出了三分法,A
60,巴黎圣母院复调还出现了一种复调音乐形式是？,孔杜克图斯,经文歌,花腔奥尔加农,A
61,孔杜克图斯的特点有？,内容有宗教也有世俗、同样的节奏、新作旋律,内容纯宗教、不同的节奏、引用旋律,内容纯世俗、自由节奏、即兴旋律,A
62,13世纪后半叶最流行的复调体裁是？是什么语言？,经文歌，法语,奥尔加农，拉丁语,牧歌，意大利语,A
63,经文歌最早是由什么派生的？,克劳苏拉,奥尔加农,弥撒,A
64,经文歌的特点是？最典型的是？代表性作品是？,特点：三个声部三个歌词，最典型：二重经文歌，代表作：弗朗科经文歌,特点：两个声部一个歌词，最典型：单声经文歌，代表作：佩罗坦经文歌,特点：四个声部两个歌词，最典型：四重经文歌，代表作：马绍经文歌,A
65,早期经文歌是为三或四个声部而作的，最低的声部是？第二声部是？,最低声部是支撑声部，第二声部是经文歌声部,最低声部是奥尔加农声部，第二声部是支撑声部,最低声部是花腔声部，第二声部是对位声部,A
66,早期经文歌中，第几声部被称为经文歌声部？,第二声部,第一声部,第三声部,A
67,早期经文歌最下方的支撑声部来自于？常用什么节奏型？,来自圣咏，常用重复节奏型,来自世俗歌曲，常用自由节奏型,来自器乐曲，常用变化节奏型,A
68,哪种类型的经文歌中，三个声部之间的时值节奏的对比增大了？,弗朗克经文歌,早期经文歌,后期经文歌,A
69,弗朗克经文歌与早期经文歌的不同之处是？,第三声部的歌词比第二声部的更长,第三声部与第二声部使用相同的歌词,第三声部完全没有歌词,A
70,有量记谱法又叫？,三分法,二分法,四分法,A
71,是谁提出的三分法？,弗朗科,规多·达莱佐,马绍,A
72,有量记谱法（三分法）象征着什么？,神的三位一体（3是完美的数字）,两种情感（2代表人的两面性）,四季循环（4代表自然规律）,A
73,有量记谱法（三分法）把节拍分为三个部分，分别是哪三个部分？,长音符、短音符、小音符,强拍、弱拍、次弱拍,起始音、中间音、结束音,A
74,西方音乐中，新艺术指的是哪一时期的音乐？,14世纪的法国和意大利音乐,12世纪的英国和德国音乐,16世纪的荷兰和比利时音乐,A
75,西方音乐中，新艺术最早是被谁提出来的？,14世纪法国作曲家维特里在论文《新艺术》中提出的,13世纪意大利理论家在《音乐新论》中提出的,15世纪英国学者在《艺术变革》中提出的,A
76,14世纪法国新艺术的主要特征是？,节奏范围加宽、二分法、等节奏,旋律更加复杂、多声部、自由节奏,和声更为丰富、三分法、交替节奏,A
77,14世纪法国新艺术时期的等节奏的手法是？,塔利亚和克勒周期性反复结合在一起,长音符和短音符交替使用,强拍和弱拍规律性变化,A
78,14世纪法国新艺术的塔利亚、克勒分别是？,塔利亚：不断重复的节奏，克勒：不断重复的旋律,塔利亚：不断变化的节奏，克勒：不断变化的旋律,塔利亚：固定的节拍，克勒：固定的音高,A
79,14世纪法国新艺术时期提出了一个叫伪音的说法是指？,乐谱上没有的音，通常即兴处理,乐谱上有但不演奏的音,错误记录的音,A
80,法国新艺术时期的代表作品是？,诗剧《弗威尔的故事》,歌剧《爱情与死亡》,弥撒《圣母颂》,A
81,法国新艺术时期的等节奏经文歌《愤怒的命运女神/盗贼们的阴谋/我们命该受苦》源于哪部诗剧？,《弗威尔的故事》,《爱情与死亡》,《国王的游戏》,A
82,法国新艺术时期的代表性作曲家是？,马绍,维特里,雷奥南,A
83,马绍世俗复调音乐常作的三种类型是？,叙事歌、维勒莱、回旋歌,牧歌、巴拉塔、猎歌,奥尔加农、孔杜克图斯、经文歌,A
84,哪位作曲家创作了最早的常规弥撒套曲，是什么？,马绍《圣母弥撒曲》（为常规弥撒的歌词谱写的复调作品）,雷奥南《奥尔加农弥撒》（为特定场合而作的复调弥撒）,佩罗坦《巴黎弥撒》（为节日弥撒创作的作品）,A
85,14世纪法国新艺术时期结束的标志是？,马绍去世,黑死病爆发,百年战争开始,A
86,在马绍的创作中出现了一种什么样的作曲技法？,分解旋律,整体序列,主题与变奏,A
87,马绍的代表作是？类型是？,叙事歌《只有他能数天上的星》,弥撒曲《圣母颂》,回旋歌《爱的花园》,A
