题号,问题,选项A,选项B,选项C,正确答案
1,19世纪的法国歌剧较为著名的有哪些体裁？,大歌剧、喜歌剧、谐歌剧、抒情歌剧,交响诗、清唱剧、室内乐、管弦乐,民族歌剧、轻歌剧、歌舞剧、音乐剧,A
2,法国大歌剧的特点有？,大戏剧、大场面、大冲突、大乐队、大舞蹈、大合唱、历史题材,小型场景、心理描写、简单伴奏、少量独唱、现代题材,即兴表演、宗教主题、复调织体、大量咏叹调、神话题材,A
3,19世纪脚本作者斯克里布和作曲家梅耶贝尔创立的歌剧体裁是？,法国大歌剧,意大利抒情歌剧,德国浪漫歌剧,A
4,第一部法国大歌剧是？,奥柏《波蒂契哑女》,比才《卡门》,古诺《浮士德》,A
5,梅耶贝尔所创作的法国大歌剧作品是？,《胡格诺教徒》,《浮士德》,《卡门》,A
6,法国比才的喜歌剧代表作是？,《卡门》,《波西米亚人》,《霍夫曼的故事》,A
7,作曲家比才是哪国人？,法国,意大利,西班牙,A
8,喜歌剧《卡门》讲的是哪国的故事？,西班牙,法国,意大利,A
9,法国作曲家比才所创作的喜歌剧《卡门》是根据谁的小说改编的？,梅里美,雨果,大仲马,A
10,喜歌剧《卡门》的男主角是？,唐·何塞,费加罗,唐·乔万尼,A
11,法国的谐歌剧又被称为？,轻歌剧,大歌剧,正歌剧,A
12,法国谐歌剧的代表作品有？,奥芬巴赫《地狱中的奥菲欧》、小约翰·施特劳斯《蝙蝠》,比才《卡门》、古诺《浮士德》,威尔第《茶花女》、普契尼《图兰朵》,A
13,抒情歌剧是指什么？,介于大歌剧与喜歌剧之间、规模比大歌剧小，比喜歌剧大,纯粹戏剧性的大场面歌剧、使用大型舞蹈场景,全部由咏叹调组成的歌剧、没有宣叙调,A
14,抒情歌剧的代表性作品有？,古诺《浮士德》、《罗密欧与朱丽叶》、柏辽兹《特洛伊人》,比才《卡门》、圣桑《参孙与达丽拉》,罗西尼《威廉·退尔》、多尼采蒂《军中女郎》,A
15,古诺的抒情歌剧《浮士德》是根据谁的作品改编的？,歌德,莎士比亚,但丁,A
16,真正使意大利美声风格歌剧进入黄金时代的浪漫主义作曲家是？,罗西尼,威尔第,贝里尼,A
17,罗西尼的《坦克雷迪》是一部什么类型的歌剧？,正歌剧,喜歌剧,轻歌剧,A
18,罗西尼著名的三部喜歌剧是？,《塞维利亚的理发师》《意大利少女在阿尔及利亚》《灰姑娘》,《威廉·退尔》《奥赛罗》《赛米拉米德》,《诺尔玛》《梦游女》《清教徒》,A
19,罗西尼的歌剧作品中，与莫扎特《费加罗的婚礼》、威尔第《法尔斯塔夫》并称为意大利喜歌剧的最优秀典范是哪一部作品？,《塞维利亚的理发师》,《威廉·退尔》,《意大利少女在阿尔及利亚》,A
20,音乐史上哪两部著名歌剧是依据博马舍作品创作的？,罗西尼《塞维利亚的理发师》、莫扎特《费加罗的婚礼》,普契尼《蝴蝶夫人》、比才《卡门》,威尔第《奥赛罗》、古诺《浮士德》,A
21,罗西尼最后一部歌剧是？什么类型？,《威廉退尔》、大歌剧,《塞维利亚的理发师》、喜歌剧,《坦克雷迪》、正歌剧,A
22,罗西尼的歌剧创作特征有？,旋律易记，伴奏简洁、咏叹调由一段慢速的卡瓦蒂纳和一段渐快的卡巴莱塔组成,复杂的配器、大量重唱、强调戏剧性对比,朴素的和声、无伴奏合唱、大量舞蹈场景,A
23,罗西尼的最后一部歌剧是？是什么类型的？,《威廉·退尔》、大歌剧,《塞维利亚的理发师》、喜歌剧,《灰姑娘》、喜歌剧,A
24,罗西尼大歌剧代表作是？,《威廉·退尔》,《塞维利亚的理发师》,《坦克雷迪》,A
25,多尼采蒂的法国喜歌剧代表作是？,《军中女郎》,《拉美摩尔的露契亚》,《爱的甘醇》,A
26,多尼采蒂的《拉美摩尔的露契亚》是什么类型的歌剧？,正歌剧,喜歌剧,轻歌剧,A
27,多尼采蒂喜歌剧代表作有？,《爱的甘醇》《唐·帕斯夸勒》,《诺尔玛》《梦游女》,《拉美摩尔的露契亚》《安娜·博莱纳》,A
28,威尔第直接的先驱者是？,多尼采蒂,罗西尼,贝里尼,A
29,意大利的夜莺是指哪位作曲家？,贝里尼,普契尼,罗西尼,A
30,贝利尼的风格抒情细腻，人们常常把他的音乐与什么相联系？,肖邦的《夜曲》,莫扎特的《安魂曲》,舒伯特的《冬之旅》,A
31,贝利尼最著名的三部正歌剧是？,《诺尔玛》《梦游女》《清教徒》,《爱的甘醇》《唐·帕斯夸勒》《军中女郎》,《茶花女》《利戈莱托》《游吟武士》,A
32,贝利尼《诺尔玛》中著名旋律是？,圣洁女神,《月亮颂》,《祈祷曲》,A
33,唱段圣洁女神出自哪部歌剧？,《诺尔玛》,《清教徒》,《梦游女》,A
34,最伟大的意大利作曲家是指？,威尔第,普契尼,罗西尼,A
35,威尔第共有多少部歌剧？,26部,41部,15部,A
36,威尔第坚持了意大利的旋律基础，并向哪些作曲家学习？,梅耶贝尔和瓦格纳,莫扎特和贝多芬,罗西尼和贝里尼,A
37,意大利第二国歌出自于？,威尔第歌剧《纳布科》著名合唱《飞吧我的思想》,罗西尼歌剧《威廉·退尔》序曲,普契尼歌剧《图兰朵》咏叹调《今夜无人入睡》,A
38,威尔第逝世时，人们唱着哪部作品中的合唱为他送葬？,《纳布科》,《阿伊达》,《奥赛罗》,A
39,威尔第早期的三部歌剧是？,《茶花女》《利戈莱托》《游吟武士》,《纳布科》《伦巴第人》《埃尔纳尼》,《奥赛罗》《法尔斯塔夫》《阿伊达》,A
40,威尔第早期作品《利戈莱托》的别称是？,《弄臣》,《丑角》,《小丑》,A
41,威尔第最重要的歌剧是？作于何时？,中期、《阿伊达》,早期、《纳布科》,晚期、《奥赛罗》,A
42,威尔第中期作品是？,《命运的力量》《阿伊达》,《茶花女》《利戈莱托》,《奥赛罗》《法尔斯塔夫》,A
43,威尔第最后两部作品是？,《奥赛罗》《法尔斯塔夫》,《阿伊达》《命运的力量》,《游吟武士》《茶花女》,A
44,威尔第运用了什么并在他的歌剧作品《奥赛罗》中加以发展？,咏叙调,无伴奏合唱,管弦乐间奏,A
45,意大利悲剧性歌剧的高峰是指威尔第哪部作品？,《奥赛罗》,《阿伊达》,《法尔斯塔夫》,A
46,威尔第歌剧作品《奥赛罗》是以什么为脚本的？,莎士比亚的同名作品,拜伦的诗歌,歌德的戏剧,A
47,威尔第最后一部作品是？,《法尔斯塔夫》,《奥赛罗》,《阿伊达》,A
48,威尔第哪部作品达到了喜歌剧的顶点？,《法尔斯塔夫》,《塞维利亚的理发师》,《爱的甘醇》,A
49,威尔第的歌剧《法尔斯塔夫》最后是以什么结束的？,赋格形式的九重唱,悲情的二重唱,管弦乐间奏,A
50,浪漫主义时期的真实主义歌剧受到了什么的影响？,法国自然主义文学,德国理想主义哲学,意大利文艺复兴艺术,A
51,真实主义歌剧的特征是否包括神话故事？,不包括,包括,只在序曲中包括,A
