题号,问题,选项A,选项B,选项C,正确答案
1,贝多芬出生于何时何地？,1770年德国·波恩,1756年奥地利·萨尔茨堡,1685年德国·埃森纳赫,A
2,贝多芬22岁的时候跟谁学过作曲？,海顿,莫扎特,萨列里,A
3,贝多芬在1802年写下的重要遗嘱是？,海利根什塔特遗嘱,维也纳遗嘱,波恩遗嘱,A
4,我要扼住命运的咽喉出自哪位作曲家之口？,贝多芬,舒伯特,莫扎特,A
5,贝多芬一共有多少首钢琴奏鸣曲？,32首,27首,35首,A
6,钢琴家的新约全书是？,贝多芬32首钢琴奏鸣曲,巴赫《平均律钢琴曲集》,肖邦《24首前奏曲》,A
7,贝多芬《悲怆奏鸣曲》是什么调的？,c小调,降B大调,降E大调,A
8,贝多芬的第8首钢琴奏鸣曲的别称为？,《悲怆奏鸣曲》,《月光奏鸣曲》,《田园奏鸣曲》,A
9,贝多芬的第14首钢琴奏鸣曲的别称为？,《月光奏鸣曲》,《悲怆奏鸣曲》,《热情奏鸣曲》,A
10,贝多芬的第17首钢琴奏鸣曲的别称为？,《暴风雨奏鸣曲》,《月光奏鸣曲》,《黎明奏鸣曲》,A
11,贝多芬的第21首钢琴奏鸣曲的别称为？,《黎明奏鸣曲》,《悲怆奏鸣曲》,《热情奏鸣曲》,A
12,贝多芬的第23首钢琴奏鸣曲的别称为？,《热情奏鸣曲》,《月光奏鸣曲》,《黎明奏鸣曲》,A
13,贝多芬《悲怆奏鸣曲》是他的第几首钢琴奏鸣曲？,8,14,23,A
14,贝多芬《月光奏鸣曲》是他的第几首钢琴奏鸣曲？,14,8,21,A
15,贝多芬《暴风雨奏鸣曲》是他的第几首钢琴奏鸣曲？,17,14,23,A
16,贝多芬《黎明奏鸣曲》是他的第几首钢琴奏鸣曲？,21,17,14,A
17,贝多芬《热情奏鸣曲》是他的第几首钢琴奏鸣曲？,23,21,17,A
18,贝多芬一共有多少部钢琴协奏曲？,5部,3部,7部,A
19,贝多芬的哪部交响曲在很多方面遵循着海顿的风范？,《第一交响曲》,《第五交响曲》,《第九交响曲》,A
20,贝多芬《田园交响曲》一共有几个乐章？,5个乐章,4个乐章,3个乐章,A
21,贝多芬最后一部作品是？,《庄严弥撒》,《第九交响曲》,《迪亚贝利变奏曲》,A
22,贝多芬最后一部钢琴协奏曲是？,《皇帝钢琴协奏曲》,《第四钢琴协奏曲》,《三重协奏曲》,A
23,贝多芬的第五部钢琴协奏曲是？,《皇帝钢琴协奏曲》,《命运钢琴协奏曲》,《英雄钢琴协奏曲》,A
24,贝多芬的《英雄交响曲》是献给谁的？,拿破仑,歌德,莫扎特,A
25,贝多芬的《英雄交响曲》的特征有？4点,①展开部比呈示部长 ②二乐章是葬礼进行曲 ③三乐章是谐谑曲 ④末乐章是大变奏曲,①呈示部较短 ②二乐章是谐谑曲 ③三乐章是小步舞曲 ④末乐章是回旋曲,①最后一个乐章有合唱 ②二乐章是小步舞曲 ③三乐章是回旋曲 ④末乐章是奏鸣曲式,A
26,贝多芬《英雄交响曲》末乐章的主题来自于哪儿？,贝多芬的芭蕾舞音乐《普罗米修斯的创造》,莫扎特的《唐·乔瓦尼》,海顿的《交响曲第94号》,A
27,贝多芬的唯一一部歌剧是？,《费德里奥》,《魔笛》,《浮士德》,A
28,贝多芬共创作了多少部歌剧？是哪部？,1部，《费德里奥》,2部，《费德里奥》和《浮士德》,3部，《费德里奥》《莱奥诺雷》和《浮士德》,A
