题号,问题,选项A,选项B,选项C,正确答案
1,赵元任留学于哪国？,美国,英国,法国,A
2,赵元任是什么学家？,语言学家,物理学家,历史学家,A
3,目前能见到最早发表的中国钢琴曲是？,1915赵元任《和平进行曲》,1920黄自《花非花》,1910李叔同《送别》,A
4,歌曲《卖布谣》的词曲作者是？,词 刘大白 曲 赵元任,词 刘半农 曲 赵元任,词 徐志摩 曲 赵元任,A
5,《教我如何不想他》的词曲作者是？,词 刘半农 曲 赵元任,词 胡适 曲 赵元任,词 徐志摩 曲 黄自,A
6,赵元任所创作的《西洋镜歌》来源于哪儿？,电影《都市风光》插曲,京剧《贵妃醉酒》插曲,舞剧《红色娘子军》插曲,A
7,赵元任的《海韵》是一部什么作品？,合唱曲,钢琴曲,交响乐,A
8,赵元任的男女混声合唱作品是？,《海韵》,《卖布谣》,《老天爷》,A
9,赵元任的特点是什么？,采用新诗、曲调优美、民族和声、语言音韵特点,创作交响乐、创新调式、融合西方技法、宏大结构,复杂对位法、十二音技法、复调织体、无调性探索,A
10,赵元任留学于哪儿？,康奈尔大学 哈佛大学,牛津大学 剑桥大学,巴黎音乐学院 柏林艺术学院,A
11,赵元任的《海韵》的词作是？,徐志摩,胡适,刘半农,A
12,徐志摩的女友是？,林徽因,张爱玲,萧红,A
13,第一首中国人创作的风琴曲是？,1913年的《花八板与湘江浪》,1920年的《梅花三弄》,1905年的《春江花月夜》,A
14,赵元任最早拿中国民间小调《鲜花》、《孟姜女》、《凤阳花鼓》做怎样的实验？,多声配置钢琴伴奏实验,交响乐编曲实验,民族管弦乐改编实验,A
15,赵元任的作品大多选用什么时期谁的什么作品？,五四时期的胡适、刘半农、刘大白、徐志摩等人的新诗,清末民初的文言诗词,抗战时期的革命诗歌,A
16,赵元任的音乐创作对什么进行了有益的探索？,和声的民族化,交响乐的中国化,电子音乐的发展,A
17,赵元任在创作中十分注意什么？,歌词声调 语言音韵,旋律技巧 形式结构,配器法 节奏变化,A
18,《也是微云》的词曲作者是？,词 胡适 曲 赵元任,词 徐志摩 曲 赵元任,词 刘半农 曲 黄自,A
19,刘半农和刘天华的关系是？,兄弟关系,师生关系,朋友关系,A
20,《老天爷》的曲作者是？,赵元任,黄自,聂耳,A
21,赵元任的作品主要集中在什么领域？,艺术歌曲,交响乐,民族管弦乐,A
22,《新诗歌曲》是谁的作品集？,赵元任,黄自,萧友梅,A
23,被誉为是中国的舒伯特的是哪位作曲家？,赵元任,萧友梅,黄自,A
24,中国近代作曲家中，创作跟语言关系最密切的是谁？,赵元任,聂耳,冼星海,A 
