题号,问题,选项A,选项B,选项C,正确答案
1,印象主义一词最早是用于形容法国的什么流派？,绘画流派,文学流派,音乐流派,A
2,印象主义的著名的代表性人物有？,德彪西、拉威尔,勋伯格、贝尔格、韦伯恩,斯特拉文斯基、普罗科菲耶夫,A
3,印象主义音乐的特征有？,和声不重功能而重色彩，避免终止式，复杂和弦,无调性，强烈的节奏，简单和声,强烈的民族风格，保守的和声，传统的终止式,A
4,德彪西是哪国作曲家？,法国,德国,俄罗斯,A
5,第一部印象主义音乐是谁的什么作品？,德彪西《牧神午后前奏曲》,拉威尔《达芙妮和克罗埃》,拉赫玛尼诺夫《第二钢琴协奏曲》,A
6,德彪西的《牧神午后前奏曲》是根据什么而改编？,马拉美的诗歌,雨果的小说,莎士比亚的戏剧,A
7,德彪西对东方音乐尤其是什么类型的音乐发现，促使他为西方音乐增添了新的色彩?,加美兰音乐,印度拉格音乐,中国民歌,A
8,德彪西著名的管弦乐有？,《夜曲》《大海》《牧神午后前奏曲》,《春之祭》《火鸟》《彼得鲁什卡》,《行星组曲》《c大调交响曲》《诗篇交响曲》,A
9,德彪西的《大海》被誉为？,交响素描,印象主义交响乐,浪漫主义管弦乐,A
10,德彪西唯一一部歌剧是？,《佩利亚斯与梅里桑德》,《波吉与贝丝》,《沃采克》,A
11,德彪西的音乐还受到哪种东方音乐的影响？,加美兰音乐,非洲鼓乐,印度拉格音乐,A
12,德彪西的钢琴作品都有什么？,《月光》《亚麻色头发的少女》《水中倒影》,《小奏鸣曲》《结构》《时值与力度的模式》,《即兴曲》《船歌》《小狗圆舞曲》,A
13,《水中倒影》的作者是？,德彪西,拉威尔,萨蒂,A
14,拉威尔代表性的芭蕾舞曲作品是？,《达芙妮和克罗埃》,《春之祭》,《天鹅湖》,A
15,拉威尔的老师是？,福雷,德彪西,萨蒂,A
16,拉威尔的哪部作品被誉为是交响乐配器的百科全书？,《波莱罗舞曲》,《左手钢琴协奏曲》,《鹅妈妈》,A
17,体现拉威尔作为配器大师的代表作有？,《鹅妈妈》《波莱罗舞曲》,《牧神午后前奏曲》《大海》,《春之祭》《火鸟》,A
18,拉威尔为一位二战失去右臂的钢琴家作的钢琴协奏曲是？,《左手钢琴协奏曲》,《G大调钢琴协奏曲》,《D小调钢琴协奏曲》,A
19,印象派钢琴作品《镜子组曲》、《夜之幽灵》的作曲家是？,拉威尔,德彪西,萨蒂,A 
