题号,问题,选项A,选项B,选项C,正确答案
1,被誉为钢琴诗人的作曲家是？,肖邦,李斯特,舒曼,A
2,肖邦父亲是哪国人？,法国,波兰,德国,A
3,肖邦生于哪儿，逝于哪儿？,生于波兰华沙、逝于法国巴黎,生于法国巴黎、逝于波兰华沙,生于德国、逝于奥地利,A
4,肖邦共创作了多少部钢琴协奏曲？,两部,三部,五部,A
5,肖邦在华沙时期最重要的创作是？,第一第二钢琴协奏曲,《革命练习曲》《军队波罗乃兹》,夜曲和玛祖卡舞曲,A
6,肖邦《第二钢琴协奏曲》是什么调的？,f小调,降E大调,c小调,A
7,肖邦《第二钢琴协奏曲》中第二乐章别称是？,康斯坦丁的画像,《梦幻曲》,《悲歌》,A
8,肖邦的哪部作品倾诉了他对康斯坦丁·格拉德科夫斯卡亚的感情？,《第二钢琴协奏曲》的第二乐章,《革命练习曲》,《离别圆舞曲》,A
9,肖邦在巴黎听闻华沙沦陷，在绝望的情绪下写了什么作品？,《革命练习曲》,《葬礼进行曲》,《军队波罗乃兹》,A
10,肖邦的《革命练习曲》是什么调的？,c小调,降E大调,a小调,A
11,肖邦与法国女作家乔治桑是什么关系？,情人关系,师生关系,仅为朋友,A
12,肖邦的钢琴练习曲有几首？,24首,18首,36首,A
13,肖邦的前奏曲共有几首？,24首,12首,48首,A
14,肖邦的玛祖卡共有几首？,55首,40首,70首,A
15,肖邦的波罗乃兹舞曲共有几首？,10首,6首,15首,A
16,玛祖卡舞曲是几拍子？,三拍子,四拍子,二拍子,A
17,肖邦的玛祖卡舞曲融合了哪三种波兰民间舞曲？,马祖儿舞曲、库娅维亚克舞曲、奥别列克舞曲,波罗乃兹舞曲、克拉科维亚克舞曲、奥别列克舞曲,弗洛托拉、埃斯特兰佩达、马祖儿舞曲,A
18,肖邦代表性的爱国题材钢琴作品是？,波罗乃兹舞曲,玛祖卡舞曲,夜曲,A
19,哪位作曲家被称为钢琴诗人？,肖邦,舒曼,李斯特,A
20,首创夜曲这种体裁的人是？,菲尔德,肖邦,舒曼,A
21,肖邦早期的夜曲是在谁的影响下创作的？,菲尔德,贝多芬,莫扎特,A
22,肖邦的玛祖卡舞曲、波罗乃兹舞曲都是在哪儿完成的？,巴黎,华沙,维也纳,A
23,李斯特是哪国作曲家？,匈牙利,奥地利,法国,A
24,交响诗是谁发明的标题性音乐体裁？特点是？,李斯特、单乐章,勃拉姆斯、多乐章,贝多芬、圆舞曲式,A
25,浪漫主义时期，哪位作曲家的作曲技术预示了一些20世纪的思想和技巧？,李斯特,肖邦,舒曼,A
26,浪漫主义时期，新德国乐派最具有影响力的人物是？,李斯特,瓦格纳,勃拉姆斯,A
27,音乐史上第一个开钢琴独奏音乐会，并且让钢琴倒对着观众的是哪位作曲家？,李斯特,肖邦,莫扎特,A
28,1822年，李斯特首次音乐会成功举办，被哪一位作曲家亲吻额头，李斯特将其视之为艺术上的洗礼？,贝多芬,莫扎特,李斯特,A
29,李斯特的钢琴老师是？,车尔尼（贝多芬的学生）,赫米勒,萨利埃里,A
30,李斯特受到了哪位小提琴家的影响，并将他的哪部小提琴作品改编成了钢琴曲？,帕格尼尼《钟》,维尼亚夫斯基《传奇》,萨拉萨蒂《流浪者之歌》,A
31,李斯特与沙皇的妹妹维特根斯坦公主在哪定居，并使其成为新德国乐派的中心？,魏玛,维也纳,巴黎,A
32,被誉为19世纪钢琴文献杰作之一 的是李斯特的哪部作品？,《b小调奏鸣曲》,《超级练习曲》,《匈牙利狂想曲》,A
33,李斯特的《超级练习曲》有几首？,12首,10首,15首,A
34,《旅游的岁月》是哪位作曲家的钢琴作品？,李斯特,肖邦,门德尔松,A
35,李斯特采用匈牙利旋律和装饰性技巧作为高难度的音乐会基础的是哪个作品？,《匈牙利狂想曲》,《但丁交响曲》,《超级练习曲》,A
36,李斯特一共创作了多少首匈牙利狂想曲？,19首,12首,24首,A
37,李斯特的音乐社会活动有？,资助贝多芬纪念碑、建立布达佩斯音乐学院,创办新音乐杂志、举办欧洲音乐节,推广肖邦作品、创建古典乐团,A
38,从布达佩斯音乐学院毕业的著名作曲家是？,巴托克,科达伊,李格蒂,A
39,李斯特著名交响诗《前奏曲》是根据谁的诗作而写的？,拉马丁,雨果,歌德,A
40,李斯特著名的交响诗《前奏曲》使用了何种创作手法？,主题变形,十二音技法,复调写作,A
41,主题变形是谁的作曲手法？,李斯特,瓦格纳,贝多芬,A
42,李斯特的著名的交响诗《前奏曲》是单乐章作品，其特点有？,采用主题变形手法、在单乐章中融合了奏鸣曲四个乐章的对比,使用序列技术、多声部赋格写作,采用十二音技法、无调性和弱化节奏感,A
43,李斯特在魏玛创作的两部著名交响曲是？,《浮士德交响曲》《但丁交响曲》,《命运交响曲》《田园交响曲》,《新世界交响曲》《英雄交响曲》,A
44,李斯特的《浮士德交响曲》《但丁交响曲》都是在哪儿创作的？,魏玛,布达佩斯,巴黎,A
45,李斯特的标题音乐思想有别于其他作曲家的是？,他企图表现一般概括性思想,他侧重于具体事物的描绘,他完全依赖文学程序,A
46,李斯特的交响诗代表作有？,《塔索》、《前奏曲》,《春之祭》、《大海》,《幻想交响曲》、《英雄的生涯》,A
47,李斯特的交响诗《塔索》是根据谁的诗作创作的？,拜伦,歌德,莎士比亚,A
48,李斯特最著名的交响诗是？,《前奏曲》,《塔索》,《马捷帕》,A
49,李斯特共创作了多少首交响诗？,13首,9首,17首,A 
