题号,问题,选项A,选项B,选项C,正确答案
1,《豫北叙事曲》是谁的什么乐器的作品？,刘文金·二胡曲,阿炳·二胡曲,吴厚元·二胡曲,A
2,《长城随想曲》是谁的什么体裁的作品？共几个乐章？,刘文金·二胡协奏曲·4个,吴厚元·二胡协奏曲·3个,何训田·二胡协奏曲·5个,A
3,《三门峡畅想曲》是谁的什么作品？,刘文金·二胡曲,黄海怀·二胡曲,胡天泉·二胡曲,A
4,刘文金的创作集中于哪个年代？,80年代,70年代,90年代,A
5,《草原小姐妹》是谁的什么作品？,刘德海、吴祖强、王燕樵·琵琶协奏曲,刘文金、何训田·琵琶协奏曲,王惠然、吕绍恩·琵琶协奏曲,A
6,《欢庆胜利》是什么乐器的协奏曲？,唢呐,笛子,二胡,A
7,《苏武》是什么乐器的协奏曲？,中胡,高胡,大提琴,A
8,《汨罗江幻想曲》是谁的什么作品？,李焕之·筝协奏曲,瞿小松·筝协奏曲,严老烈·筝协奏曲,A
9,《神曲》是谁的什么作品？,瞿小松·管乐协奏曲,刘星·管乐协奏曲,郭文景·管乐协奏曲,A
10,我国第一首中阮协奏曲是？作者是谁？,《云南回忆》·刘星,《太行随想》·吴厚元,《江山如画》·刘文金,A
11,《红梅随想曲》是谁的什么作品？改编自哪？,吴厚元·二胡曲·歌剧《江姐》中的选段《红梅赞》,刘文金·二胡曲·交响曲《红旗颂》,黄海怀·二胡曲·民歌《红梅花开》,A
12,《愁空山》是谁的什么作品？,郭文景·竹笛协奏曲,冯子存·竹笛协奏曲,魏显忠·竹笛协奏曲,A
13,《喜相逢》、《五梆子》是谁的什么作品？风格是什么？,冯子存·笛曲·北派笛子风格,陈春龄·笛曲·南派笛子风格,魏显忠·笛曲·江南笛子风格,A
14,《彝族舞曲》是谁的什么作品？采用了什么作素材？,王惠然·琵琶曲·彝族民歌《海菜腔》,吕绍恩·琵琶曲·彝族民歌《阿细跳月》,刘德海·琵琶曲·彝族民歌《左脚舞》,A
15,《战台风》是谁的什么乐器的作品？,王昌元·古筝,严老烈·古筝,何训田·古筝,A
16,《狼牙山五壮士》是谁的什么乐器的作品？,吕绍恩·琵琶曲,王惠然·琵琶曲,刘德海·琵琶曲,A
17,《流波曲》是谁的什么乐器的作品？,孙文明·二胡,黄海怀·二胡,吴厚元·二胡,A
18,《欢乐的夜晚》是谁的什么体裁的作品？,胡登跳·丝弦五重奏,孙文明·丝弦四重奏,王昌元·丝弦三重奏,A
19,《赛马》、《江河水》是谁的什么作品？,黄海怀·二胡曲,刘文金·二胡曲,阿炳·二胡曲,A
20,黄海怀的《江河水》是由什么改编的？,辽南鼓吹乐,河北民间音乐,山西道情,A
21,《天籁》作者是？采用了什么作曲技法？,何训田·RD作曲法,刘文金·十二音列技法,郭文景·复调技法,A
22,《今昔》是谁的什么作品？是什么风格？,陈春龄·笛曲·南派笛子,冯子存·笛曲·北派笛子,魏显忠·笛曲·江南笛子,A
23,《牧民新歌》是谁的什么作品？,简广易·笛曲,陈春龄·笛曲,冯子存·笛曲,A
24,《扬鞭催马运粮忙》是谁的什么作品？,魏显忠·笛曲,简广易·笛曲,陈春龄·笛曲,A
25,《剑器》是谁的什么作品？,徐昌俊·柳琴曲,何训田·柳琴曲,刘星·柳琴曲,A
26,《凤凰展翅》是谁的什么作品？,胡天泉·笙曲,徐昌俊·笙曲,简广易·笙曲,A
27,阿炳著名二胡曲有？3点,《二泉映月》《听松》《寒春风曲》,《江河水》《赛马》《良宵》,《流波曲》《豫北叙事曲》《长城随想》,A
28,阿炳著名琵琶曲有？3点,《大浪淘沙》《昭君出塞》《龙船》,《十面埋伏》《春江花月夜》《彝族舞曲》,《阳春白雪》《霸王卸甲》《夕阳箫鼓》,A
29,《步步高》、《平湖秋月》是谁的什么作品？哪个地区？,吕文成·高胡曲·广东音乐,严老烈·高胡曲·江南音乐,何训田·高胡曲·闽南音乐,A
30,《旱天雷》是谁的什么作品？,严老烈·扬琴曲,胡天泉·扬琴曲,徐昌俊·扬琴曲,A
31,严老烈是何地音乐的代表？,广东音乐,江南音乐,客家音乐,A
32,大同乐会的创办人是？,郑觐文,柳尧章,严老烈,A
33,将琵琶曲改编成丝竹合奏《夕阳箫鼓》的团体是？,上海·大同乐会,北京·国乐改进社,广州·粤乐团,A
34,大同乐会的谁将琵琶曲《夕阳箫鼓》改编成了什么？,柳尧章·改编为《春江花月夜》,郑觐文·改编为《高山流水》,华彦钧·改编为《月夜》,A
35,近代把我国哪位民间艺人纳入了学院派？,冯子存,阿炳,华彦钧,A 
