题号,问题,选项A,选项B,选项C,正确答案
1,江文也为纪念屈原而作了？,《汨罗沉流》,《梁山伯与祝英台》,《黄河大合唱》,A
2,江文也是哪儿的人？,台湾,上海,北京,A
3,江文也受到了20世纪作曲技法来创作具有民族音乐内涵这一思想，启发他的人是？,齐尔品,黄自,贺绿汀,A
4,江文也《台湾舞曲》、《台湾山地同胞歌》、《十六首断章》是在哪儿创作的？,日本,中国大陆,台湾,A
5,《台湾舞曲》的作曲者是？,江文也,聂耳,马思聪,A
6,《台湾山地同胞歌》的作曲者是？,江文也,丁善德,刘雪庵,A
7,钢琴曲集《十六首断章小品》的作曲者是？,江文也,黄自,赵元任,A
8,江文也的《孔庙大晟乐章》是一部根据什么而创作的管弦乐作品？,国子监祭孔典礼音乐,京剧音乐,民族舞蹈音乐,A
9,江文也在大陆期间创作的钢琴小品套曲是？,《北京万华集》,《乡土节令诗》,《台湾印象》,A
10,江文也的《汨罗沉流》是什么体裁？,交响诗,钢琴协奏曲,合唱曲,A
11,江文也的《乡土节令诗》是什么体裁？,钢琴组曲,交响曲,声乐套曲,A
12,钢琴组曲《乡土节令诗》的作者是？作于何时？,江文也、50年代,黄自、40年代,贺绿汀、60年代,A
13,1936年8月，江文也在柏林第十一届奥林匹克国际音乐比赛中获得作曲特别奖的是？,管弦乐《台湾舞曲》,交响诗《汨罗沉流》,钢琴组曲《十六首断章》,A
14,我国第一次获国际大奖的作曲家是谁？,江文也,马思聪,冼星海,A
15,我国最早获得国际大奖的音乐作品是江文也创作的？,《台湾舞曲》,《孔庙大晟乐章》,《汨罗沉流》,A
16,中国近代作曲家中，能体现出20世纪欧洲民族乐派的影响的是？,江文也,黄自,贺绿汀,A
17,江文也的作品质量颇高，集中体现在？,近代钢琴和管弦乐,民族声乐作品,室内乐组曲,A
18,江文也的《台湾舞曲》创作于哪年？,1934年,1940年,1926年,A
19,标志江文也从日本作曲家向中国作曲家转变的作品是？,《孔庙大晟乐章》,《台湾舞曲》,《汨罗沉流》,A
20,江文也的创作走向成熟是从哪部作品开始？,《汨罗沉流》,《台湾舞曲》,《北京万华集》,A
21,管弦乐《台湾舞曲》的作者是？,江文也,赵元任,马思聪,A 
